topology,amplitude,sample,K,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,filter_length_s,filter_length_frames,selected_frequencies_hz,decay_times_s,mechanical_degree,number_linear_features,number_candidate_features,number_raw_features,svd_rank,condition_number,train_nmse_x,train_nmse_y,train_nmse_2d,validation_nmse_x,validation_nmse_y,validation_nmse_2d,selection_metric_value
topology_10_prestress,amp=2.5,sample_0,1,fft_prefix,fft_prefix_K1,nan,u,1,1,3.0,90,0.20046978,0.2 0.5 1 2 5,2,10,65,65,12,33.729461669921875,0.3913139121844942,0.6190482464699006,0.39970099343563187,1.503115280447633,1.5196182649930476,1.5036179004362178,1.5036179004362178
topology_10_prestress,amp=2.5,sample_0,2,fft_prefix,fft_prefix_K2,nan,u,1,1,3.0,90,0.20046978 0.70164423,0.2 0.5 1 2 5,2,20,230,230,24,40.54981231689453,0.32377171868131266,0.5733846241583086,0.33296455175208,0.8228029402590176,0.8745417319972331,0.8243787128619222,0.8243787128619222
topology_10_prestress,amp=2.5,sample_0,3,fft_prefix,fft_prefix_K3,nan,u,1,1,3.0,90,0.20046978 0.70164423 1.1025838,0.2 0.5 1 2 5,2,30,495,495,36,44.59157943725586,0.15829431938878127,0.464426014541212,0.1695686465948588,2.163877802979982,1.9206325400768398,2.1564694502103894,2.1564694502103894
topology_10_prestress,amp=2.5,sample_0,4,fft_prefix,fft_prefix_K4,nan,u,1,1,3.0,90,0.20046978 0.70164423 1.1025838 1.6037582,0.2 0.5 1 2 5,2,40,860,860,50,37.668495178222656,0.08759551012210755,0.40283788731923703,0.09920536877451672,2.172832876595142,1.8040214834283854,2.1616002430243424,2.1616002430243424
topology_10_prestress,amp=2.5,sample_0,5,fft_prefix,fft_prefix_K5,nan,u,1,1,3.0,90,0.20046978 0.70164423 1.1025838 1.6037582 6.1143283,0.2 0.5 1 2 5,2,50,1325,1325,50,15.198960304260254,0.22300878538326527,0.48129109493501193,0.23252089835797007,0.5939216821457199,0.7928725266395666,0.599980990443146,0.599980990443146
topology_10_prestress,amp=2.5,sample_0,1,refined_single,refined_5.4000Hz,5.4,u,1,1,3.0,90,5.4,0.2 0.5 1 2 5,2,10,65,65,22,41.33604049682617,0.45441651556825774,0.6858404265277929,0.4629394778644971,0.37295925324841106,0.5744564505342638,0.3790961140520353,0.3790961140520353
topology_10_prestress,amp=2.5,sample_0,1,refined_single,refined_5.4100Hz,5.41,u,1,1,3.0,90,5.41,0.2 0.5 1 2 5,2,10,65,65,22,40.596866607666016,0.4575482598836841,0.6891266364320437,0.4660769108936962,0.3774459882967236,0.5793194951458644,0.38359431010050093,0.38359431010050093
topology_10_prestress,amp=2.5,sample_0,1,refined_single,refined_5.4200Hz,5.42,u,1,1,3.0,90,5.42,0.2 0.5 1 2 5,2,10,65,65,22,40.06044006347656,0.4598674744764582,0.6918202145371617,0.4684099126793644,0.3829587902246299,0.5840223191769917,0.3890824430917002,0.3890824430917002
topology_10_prestress,amp=2.5,sample_0,1,refined_single,refined_5.4300Hz,5.430000000000001,u,1,1,3.0,90,5.43,0.2 0.5 1 2 5,2,10,65,65,22,39.79010009765625,0.4613049844971275,0.6936618304647757,0.4698623052564401,0.38933235997747145,0.5887639701735329,0.39540631062344267,0.39540631062344267
topology_10_prestress,amp=2.5,sample_0,1,refined_single,refined_5.4400Hz,5.44,u,1,1,3.0,90,5.44,0.2 0.5 1 2 5,2,10,65,65,22,39.76462936401367,0.46174414131388414,0.6943009186801896,0.47030882521802264,0.3961793095410735,0.5936826583641767,0.40219453246378983,0.40219453246378983
topology_10_prestress,amp=2.5,sample_0,1,refined_single,refined_5.4500Hz,5.45,u,1,1,3.0,90,5.45,0.2 0.5 1 2 5,2,10,65,65,22,39.920589447021484,0.46107505807643556,0.6933919281471477,0.46963090658916445,0.4029163665750584,0.5988306246724983,0.40888319166039,0.40888319166039
