topology,amplitude,sample,candidate_id,mode_index,raw_feature_name,drive_channel,frequency_hz,decay_time_s,phase,product_degree,factor_indices,number_factors,loading
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_cos,u,5.82,0.2,cos,1,0,1,0.008272489532828331
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_sin,u,5.82,0.2,sin,1,1,1,0.0049262200482189655
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_cos,u,5.82,0.5,cos,1,2,1,0.009432544000446796
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_sin,u,5.82,0.5,sin,1,3,1,0.007509167771786451
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=1.000s_cos,u,5.82,1.0,cos,1,4,1,0.009072729386389256
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=1.000s_sin,u,5.82,1.0,sin,1,5,1,0.011319352313876152
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=2.000s_cos,u,5.82,2.0,cos,1,6,1,0.008157475851476192
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=2.000s_sin,u,5.82,2.0,sin,1,7,1,0.016463100910186768
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=5.000s_cos,u,5.82,5.0,cos,1,8,1,0.007000531069934368
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=5.000s_sin,u,5.82,5.0,sin,1,9,1,0.021087409928441048
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.200s_cos,u*u,5.82*5.82,0.2*0.2,cos*cos,2,0 0,2,0.14310741424560547
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.200s_sin,u*u,5.82*5.82,0.2*0.2,cos*sin,2,0 1,2,0.14556388556957245
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.500s_cos,u*u,5.82*5.82,0.2*0.5,cos*cos,2,0 2,2,0.1459650844335556
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.500s_sin,u*u,5.82*5.82,0.2*0.5,cos*sin,2,0 3,2,0.15187807381153107
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=1.000s_cos,u*u,5.82*5.82,0.2*1.0,cos*cos,2,0 4,2,0.1467319130897522
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=1.000s_sin,u*u,5.82*5.82,0.2*1.0,cos*sin,2,0 5,2,0.15652833878993988
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=2.000s_cos,u*u,5.82*5.82,0.2*2.0,cos*cos,2,0 6,2,0.1403532773256302
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=2.000s_sin,u*u,5.82*5.82,0.2*2.0,cos*sin,2,0 7,2,0.15296176075935364
