frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,K,filter_length_s,filter_length_frames,num_topology_sample_pairs,selected_frequencies_hz,decay_times_s,mechanical_degree,number_linear_features_mean,number_linear_features_std,number_candidate_features_mean,number_candidate_features_std,number_raw_features_mean,number_raw_features_std,number_drive_channels_mean,number_drive_channels_std,svd_rank_mean,svd_rank_std,condition_number_mean,condition_number_std,train_nmse_x_mean,train_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,selection_metric_value_mean,selection_metric_value_std
fft_prefix,fft_prefix_K1,nan,u,1,1,1,3.0,90,5,0.20046978,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,12.0,0.0,33.43993453979492,0.2227696387206238,0.39557646481849684,0.002247079782651367,0.6182104762508278,0.00971132145169629,0.4040654930742756,0.0023687477800849307,1.401056704969528,0.09686391094680796,1.7483650275886848,0.3402634676581492,1.4121361279753961,0.08380683781553062,1.4121361279753961,0.08380683781553062
refined_single,refined_5.4000Hz,5.4,u,1,1,1,3.0,90,5,5.4,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,41.58297348022461,0.46227008442822415,0.4567656258882942,0.0019629530720167206,0.6791689077339012,0.0074903256386390565,0.465244583932195,0.001797828855289476,0.36715331695356895,0.0046445624568240045,0.6066323058925182,0.07237095726768057,0.37465296329840525,0.0025797159357825415,0.37465296329840525,0.0025797159357825415
refined_single,refined_5.4100Hz,5.41,u,1,1,1,3.0,90,5,5.41,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,40.8192138671875,0.44273599199086133,0.4598575467068498,0.001977787429064666,0.6826058780609002,0.007586606501239735,0.46834965788064375,0.001800252450217522,0.3715902921607552,0.004748203698966241,0.6114942915375364,0.07389420601035382,0.3791045492937032,0.0026103053125280666,0.3791045492937032,0.0026103053125280666
refined_single,refined_5.4200Hz,5.42,u,1,1,1,3.0,90,5,5.42,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,40.25707015991211,0.4245285108919064,0.4621588827344107,0.0020068741724296206,0.6854061642193165,0.007663043194304623,0.47066994508071547,0.0018189126405714644,0.37706697815388346,0.00478297229299529,0.6163418314781746,0.07506208020754035,0.38456272886224807,0.0026099699244720364,0.38456272886224807,0.0026099699244720364
refined_single,refined_5.4300Hz,5.430000000000001,u,1,1,1,3.0,90,5,5.43,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,39.959686279296875,0.4061398004804094,0.4635974768202288,0.002045159417443968,0.6873411384167888,0.00775345391699037,0.4721273277794501,0.0018479591729229433,0.3834233652663567,0.004764580026054193,0.6214300931239054,0.07604115603614175,0.39088055092834484,0.0025797555528463347,0.39088055092834484,0.0025797555528463347
refined_single,refined_5.4400Hz,5.44,u,1,1,1,3.0,90,5,5.44,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,39.90624465942383,0.38853530726859886,0.4640481114204779,0.002087312684637098,0.6880861628146604,0.007880179099703677,0.4725889975685936,0.0018809193985715022,0.39028012219159197,0.00470400795017402,0.6268653243022964,0.07680813054095958,0.397693759571225,0.002526075169550913,0.397693759571225,0.002526075169550913
refined_single,refined_5.4500Hz,5.45,u,1,1,1,3.0,90,5,5.45,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,40.03256530761719,0.3728112995959946,0.4633893008949358,0.0021295461891673003,0.6873277977168255,0.008049463071976603,0.47192617756651495,0.001913193762669902,0.397071360596112,0.004605605405629866,0.6325574338331489,0.0771998370288664,0.4044511134618352,0.002454758912657026,0.4044511134618352,0.002454758912657026
refined_single,refined_5.4600Hz,5.46,u,1,1,1,3.0,90,5,5.46,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,40.28555145263672,0.3593336507910131,0.4615814363390611,0.0021705592304523654,0.6849616497908,0.008250417348076843,0.470096829536219,0.001943098794937929,0.4031635183026512,0.004466550237240288,0.6380882514227739,0.07699933418294284,0.4105255589677791,0.0023688597733460626,0.4105255589677791,0.0023688597733460626
refined_single,refined_5.4700Hz,5.470000000000001,u,1,1,1,3.0,90,5,5.47,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,40.64479217529297,0.34925330241833524,0.45873236223999553,0.002210914878561555,0.6811905183194817,0.008462060444409161,0.4672124575856175,0.0019711479357496452,0.4080574295357863,0.004280995045511847,0.6427841621733723,0.0760608540437236,0.41541238864136903,0.002269955007034043,0.41541238864136903,0.002269955007034043
refined_single,refined_5.4800Hz,5.48,u,1,1,1,3.0,90,5,5.48,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.2,0.39999999999999997,42.58328018188477,2.924823531881191,0.4541449336710087,0.0032121052318939457,0.6739514870588112,0.006749631812233459,0.46252544217843905,0.0030591643579322733,0.41182979807137643,0.00416889684214341,0.6455522252702897,0.07462815741307915,0.4191525528922556,0.0021985813068082873,0.4191525528922556,0.0021985813068082873
