topology,amplitude,sample,K,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,filter_length_s,filter_length_frames,selected_frequencies_hz,decay_times_s,mechanical_degree,number_linear_features,number_candidate_features,number_raw_features,svd_rank,condition_number,train_nmse_x,train_nmse_y,train_nmse_2d,validation_nmse_x,validation_nmse_y,validation_nmse_2d,selection_metric_value
topology_17_prestress,amp=1,sample_0,1,fft_prefix,fft_prefix_K1,nan,u,1,1,3.0,90,5.9138162,0.2 0.5 1 2 5,2,10,65,65,20,46.81205749511719,0.37961393949516214,0.3224791501145911,0.3687826962384478,0.34310160014490515,0.6443347264991227,0.3743045792902312,0.3743045792902312
topology_17_prestress,amp=1,sample_0,2,fft_prefix,fft_prefix_K2,nan,u,1,1,3.0,90,5.9138162 0.20046835,0.2 0.5 1 2 5,2,20,230,230,43,60.46185302734375,0.31111151514901014,0.15684201780311025,0.2818661031861768,0.6631754488844193,0.7623376694619195,0.6734470838076171,0.6734470838076171
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4000Hz,5.4,u,1,1,3.0,90,5.4,0.2 0.5 1 2 5,2,10,65,65,22,40.935447692871094,0.5585381916235789,0.6204270961221326,0.5702706892276287,0.409138880087731,0.7961790427584045,0.44923010866667457,0.44923010866667457
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4100Hz,5.41,u,1,1,3.0,90,5.41,0.2 0.5 1 2 5,2,10,65,65,22,40.07511520385742,0.5599706909315223,0.6084430937004612,0.5691597750485694,0.41717065454111224,0.7913116434569905,0.455925733093881,0.455925733093881
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4200Hz,5.42,u,1,1,3.0,90,5.42,0.2 0.5 1 2 5,2,10,65,65,22,39.49245071411133,0.5607098608918207,0.5987289880904035,0.5679172807416236,0.42634716395174094,0.786168127225607,0.4636189147348312,0.4636189147348312
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4300Hz,5.430000000000001,u,1,1,3.0,90,5.43,0.2 0.5 1 2 5,2,10,65,65,22,39.21963882446289,0.5607257874437598,0.5900797346937664,0.5662905186111727,0.4365187802377951,0.7825669118928422,0.4723638838822541,0.4723638838822541
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4400Hz,5.44,u,1,1,3.0,90,5.44,0.2 0.5 1 2 5,2,10,65,65,22,39.19877243041992,0.559850435977143,0.5809494052401346,0.563850241892786,0.4475474178968714,0.7828177880649568,0.4822761162143965,0.4822761162143965
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4500Hz,5.45,u,1,1,3.0,90,5.45,0.2 0.5 1 2 5,2,10,65,65,22,39.33247756958008,0.557805072010116,0.5698150855281378,0.5600818525730699,0.4593280247557116,0.7881783367893911,0.4933917067700694,0.4933917067700694
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4600Hz,5.46,u,1,1,3.0,90,5.46,0.2 0.5 1 2 5,2,10,65,65,22,39.55369186401367,0.5543362176987398,0.5560665516968051,0.5546642432091446,0.4718076404568146,0.7976095093970783,0.5055555520663009,0.5055555520663009
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4700Hz,5.470000000000001,u,1,1,3.0,90,5.47,0.2 0.5 1 2 5,2,10,65,65,22,39.84525680541992,0.549390699736133,0.5403556936233813,0.5476779018052391,0.48501812918247666,0.8083878229356036,0.518514105978018,0.518514105978018
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4800Hz,5.48,u,1,1,3.0,90,5.48,0.2 0.5 1 2 5,2,10,65,65,22,40.21210479736328,0.5431879460085793,0.5240752905972472,0.5395646926057712,0.4991465420327448,0.8182200103831075,0.5321974979460595,0.5321974979460595
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4900Hz,5.49,u,1,1,3.0,90,5.49,0.2 0.5 1 2 5,2,10,65,65,23,47.437355041503906,0.5361112947480385,0.5082030628024937,0.5308206329228322,0.5146261278122535,0.8362118859897472,0.5479373171468773,0.5479373171468773
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.5000Hz,5.5,u,1,1,3.0,90,5.5,0.2 0.5 1 2 5,2,10,65,65,23,47.51893997192383,0.5283486396063704,0.4936830296775121,0.5217769578367776,0.5319484062738463,0.8531002929367338,0.5652146533938289,0.5652146533938289
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.5100Hz,5.510000000000001,u,1,1,3.0,90,5.51,0.2 0.5 1 2 5,2,10,65,65,23,47.949581146240234,0.5199234755689196,0.48075467217929546,0.5124981075543192,0.5521268410240707,0.8745218905721064,0.5855218601222512,0.5855218601222512
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.5200Hz,5.5200000000000005,u,1,1,3.0,90,5.52,0.2 0.5 1 2 5,2,10,65,65,23,48.303775787353516,0.5110148060028233,0.47060961133309936,0.5033550509385737,0.5784522832857626,0.8963284170928332,0.6113792143109902,0.6113792143109902
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.5300Hz,5.53,u,1,1,3.0,90,5.53,0.2 0.5 1 2 5,2,10,65,65,23,48.26983642578125,0.5044222500438803,0.4616829940005834,0.4963200187442695,0.5981613974306287,0.9042967964686769,0.6298721743542721,0.6298721743542721
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.5400Hz,5.54,u,1,1,3.0,90,5.54,0.2 0.5 1 2 5,2,10,65,65,23,49.003719329833984,0.49899416408347763,0.4523082174761838,0.49014374475305256,0.6097828227417745,0.9067050980409211,0.6405392660190247,0.6405392660190247
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.5500Hz,5.550000000000001,u,1,1,3.0,90,5.55,0.2 0.5 1 2 5,2,10,65,65,23,50.418697357177734,0.4930819297254626,0.4437331053538594,0.4837266992783637,0.6212148621803252,0.9034191573936105,0.6504467559127136,0.6504467559127136
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.5600Hz,5.5600000000000005,u,1,1,3.0,90,5.56,0.2 0.5 1 2 5,2,10,65,65,23,51.27079772949219,0.4857810477491744,0.4361746654953967,0.4763769911472099,0.636519595556502,0.8993104785880337,0.6637405673734348,0.6637405673734348
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.5700Hz,5.57,u,1,1,3.0,90,5.57,0.2 0.5 1 2 5,2,10,65,65,23,50.27842330932617,0.4820804146836499,0.4285940002542643,0.47194080671633515,0.6336710748519664,0.897551483170399,0.6610049042261574,0.6610049042261574
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.5800Hz,5.58,u,1,1,3.0,90,5.58,0.2 0.5 1 2 5,2,10,65,65,23,48.71729278564453,0.48090606517978934,0.4219338980844812,0.4697265037582839,0.6178114239395839,0.8873847101542093,0.6457349452657245,0.6457349452657245
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.5900Hz,5.590000000000001,u,1,1,3.0,90,5.59,0.2 0.5 1 2 5,2,10,65,65,23,47.67744445800781,0.48031873138622705,0.4158732546913984,0.46810157538645425,0.598449839764048,0.8726354964877808,0.6268511295964218,0.6268511295964218
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.6000Hz,5.6000000000000005,u,1,1,3.0,90,5.6,0.2 0.5 1 2 5,2,10,65,65,22,43.67557907104492,0.48267346021015717,0.4137826867705349,0.46961359364974076,0.5643127672804836,0.8647910843914285,0.5954375601474222,0.5954375601474222
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.6100Hz,5.61,u,1,1,3.0,90,5.61,0.2 0.5 1 2 5,2,10,65,65,22,44.09148406982422,0.4838804505030229,0.4103533373603486,0.4699416566954957,0.5359964670174929,0.8543555430515725,0.5689734232056903,0.5689734232056903
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.6200Hz,5.62,u,1,1,3.0,90,5.62,0.2 0.5 1 2 5,2,10,65,65,22,44.77949523925781,0.4839796311748917,0.4071015269255276,0.4694055781807789,0.512372835688368,0.8403663547354622,0.5463477675243646,0.5463477675243646
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.6300Hz,5.630000000000001,u,1,1,3.0,90,5.63,0.2 0.5 1 2 5,2,10,65,65,22,45.3462028503418,0.48339656829242694,0.4033312832564821,0.46821831021106647,0.4913897882264468,0.8224300245313002,0.5256803116980844,0.5256803116980844
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.6400Hz,5.640000000000001,u,1,1,3.0,90,5.64,0.2 0.5 1 2 5,2,10,65,65,22,45.27971649169922,0.48221319774608423,0.39749901138968696,0.46615363106755886,0.4719691592623263,0.7989030812436331,0.5058343336305888,0.5058343336305888
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.6500Hz,5.65,u,1,1,3.0,90,5.65,0.2 0.5 1 2 5,2,10,65,65,22,44.30392074584961,0.48059519341421153,0.39057158113574103,0.46352910016336585,0.4568656312241066,0.7744769909657833,0.48976513585124604,0.48976513585124604
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.6600Hz,5.66,u,1,1,3.0,90,5.66,0.2 0.5 1 2 5,2,10,65,65,22,42.92192840576172,0.47955841687319206,0.3852707726752504,0.4616839760730702,0.44588544508391326,0.7551677354481788,0.47792219008953035,0.47792219008953035
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.6700Hz,5.67,u,1,1,3.0,90,5.67,0.2 0.5 1 2 5,2,10,65,65,22,42.04591751098633,0.47964871739840365,0.38108253717881707,0.46096317945527193,0.43451785489946687,0.7386893170845844,0.4660251990818101,0.4660251990818101
