topology,amplitude,sample,candidate_id,mode_index,raw_feature_name,drive_channel,frequency_hz,decay_time_s,phase,product_degree,factor_indices,number_factors,loading
topology_17_prestress,amp=1,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_cos,u,5.82,0.2,cos,1,0,1,0.02167261764407158
topology_17_prestress,amp=1,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_sin,u,5.82,0.2,sin,1,1,1,0.018087338656187057
topology_17_prestress,amp=1,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_cos,u,5.82,0.5,cos,1,2,1,0.021956970915198326
topology_17_prestress,amp=1,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_sin,u,5.82,0.5,sin,1,3,1,0.01997740939259529
topology_17_prestress,amp=1,sample_0,K1_L3,0,u_f=5.8200Hz_Td=1.000s_cos,u,5.82,1.0,cos,1,4,1,0.01982503943145275
topology_17_prestress,amp=1,sample_0,K1_L3,0,u_f=5.8200Hz_Td=1.000s_sin,u,5.82,1.0,sin,1,5,1,0.02321331761777401
topology_17_prestress,amp=1,sample_0,K1_L3,0,u_f=5.8200Hz_Td=2.000s_cos,u,5.82,2.0,cos,1,6,1,0.01636054553091526
topology_17_prestress,amp=1,sample_0,K1_L3,0,u_f=5.8200Hz_Td=2.000s_sin,u,5.82,2.0,sin,1,7,1,0.02767154574394226
topology_17_prestress,amp=1,sample_0,K1_L3,0,u_f=5.8200Hz_Td=5.000s_cos,u,5.82,5.0,cos,1,8,1,0.012722906656563282
topology_17_prestress,amp=1,sample_0,K1_L3,0,u_f=5.8200Hz_Td=5.000s_sin,u,5.82,5.0,sin,1,9,1,0.03114793822169304
topology_17_prestress,amp=1,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.200s_cos,u*u,5.82*5.82,0.2*0.2,cos*cos,2,0 0,2,0.14294551312923431
topology_17_prestress,amp=1,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.200s_sin,u*u,5.82*5.82,0.2*0.2,cos*sin,2,0 1,2,0.14495965838432312
topology_17_prestress,amp=1,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.500s_cos,u*u,5.82*5.82,0.2*0.5,cos*cos,2,0 2,2,0.1460087150335312
topology_17_prestress,amp=1,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.500s_sin,u*u,5.82*5.82,0.2*0.5,cos*sin,2,0 3,2,0.15101677179336548
topology_17_prestress,amp=1,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=1.000s_cos,u*u,5.82*5.82,0.2*1.0,cos*cos,2,0 4,2,0.1466287225484848
topology_17_prestress,amp=1,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=1.000s_sin,u*u,5.82*5.82,0.2*1.0,cos*sin,2,0 5,2,0.1558517962694168
