frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,K,filter_length_s,filter_length_frames,num_topology_sample_pairs,selected_frequencies_hz,decay_times_s,mechanical_degree,number_linear_features_mean,number_linear_features_std,number_candidate_features_mean,number_candidate_features_std,number_raw_features_mean,number_raw_features_std,number_drive_channels_mean,number_drive_channels_std,svd_rank_mean,svd_rank_std,condition_number_mean,condition_number_std,train_nmse_x_mean,train_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,selection_metric_value_mean,selection_metric_value_std
fft_prefix,fft_prefix_K1,nan,u,1,1,1,3.0,90,4,5.9138162,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,20.0,0.0,46.669548988342285,0.21623008695357726,0.37062637299916856,0.005536117944544631,0.33726031494808467,0.008757851531695065,0.36437229671348054,0.0031780507345764496,0.3520948458036809,0.005287817263251571,0.6143012399859596,0.01941255760770121,0.3802285840315802,0.0036368681565344787,0.3802285840315802,0.0036368681565344787
refined_single,refined_5.4000Hz,5.4,u,1,1,1,3.0,90,4,5.4,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,40.617427825927734,0.23213439814559433,0.5713487909225679,0.009203135670700887,0.636108731986629,0.010853219378389678,0.583442483576241,0.009373921763460089,0.4226076746214701,0.007811962660106739,0.8099880704671234,0.012513552747807301,0.4642541857034377,0.008863950830765003,0.4642541857034377,0.008863950830765003
refined_single,refined_5.4100Hz,5.41,u,1,1,1,3.0,90,4,5.41,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,39.751150131225586,0.2532775837455763,0.5722195327960876,0.008925771065653006,0.624845022729941,0.011231002161992338,0.5820456386286319,0.009231738993387787,0.4311616864284853,0.008119607815328472,0.806448752457287,0.013310950510967715,0.47150934579170917,0.009202368954883758,0.47150934579170917,0.009202368954883758
refined_single,refined_5.4200Hz,5.42,u,1,1,1,3.0,90,4,5.42,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,39.18076133728027,0.2648373346045463,0.5724370105788523,0.008668762678868631,0.6157852521025957,0.0115400567960057,0.580529241666803,0.009082263703946807,0.4408970776740446,0.008450632274857024,0.8032667289097176,0.014384463967238281,0.47985807067201713,0.009599221296345597,0.47985807067201713,0.009599221296345597
refined_single,refined_5.4300Hz,5.430000000000001,u,1,1,1,3.0,90,4,5.43,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,38.92914390563965,0.27027897683889823,0.5719725631628901,0.0084281908582256,0.6077049672288601,0.011786301264538104,0.5786413175723274,0.008929138032114288,0.45169755523763205,0.008826118005691714,0.8025662047677293,0.015868462239348034,0.4894252709173259,0.010096953275338397,0.4894252709173259,0.010096953275338397
refined_single,refined_5.4400Hz,5.44,u,1,1,1,3.0,90,4,5.44,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,38.92728042602539,0.2753220033535924,0.5706385265061421,0.00819114403169657,0.5989028853115119,0.01191741663930099,0.5759116492407779,0.008758260284384027,0.4634857871075425,0.009285681649732255,0.8064498459103288,0.017675141161704266,0.5003675905400491,0.010723670575924237,0.5003675905400491,0.010723670575924237
refined_single,refined_5.4500Hz,5.45,u,1,1,1,3.0,90,4,5.45,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.5,0.5,43.15818405151367,3.9992006482048543,0.5677293275431682,0.007990012842125655,0.5834205780934941,0.012148232619808722,0.5706591897018187,0.00867109917558364,0.4782269069002307,0.011035320736572844,0.8165857761432984,0.019495068307104933,0.5146159782968754,0.012467733967442,0.5146159782968754,0.012467733967442
refined_single,refined_5.4600Hz,5.46,u,1,1,1,3.0,90,4,5.46,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.5,0.5,43.434871673583984,4.0532746358781955,0.5637700147470672,0.007702903922027617,0.5703856425873677,0.011760167114832054,0.565003123153426,0.008394621847519592,0.4916338135658008,0.011587900889426203,0.8301903634144252,0.021679058033411764,0.5280483376467922,0.013275596525802305,0.5280483376467922,0.013275596525802305
refined_single,refined_5.4700Hz,5.470000000000001,u,1,1,1,3.0,90,4,5.47,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.75,0.4330127018922193,45.728516578674316,3.3975784567576244,0.5582974084810491,0.007262798523650508,0.5556864770082597,0.010377708601637435,0.5578041222653021,0.007745535462799825,0.5057735649215485,0.012233211356912117,0.8465662918520027,0.024928370125139848,0.5424344760899299,0.01426277414525071,0.5424344760899299,0.01426277414525071
refined_single,refined_5.4800Hz,5.48,u,1,1,1,3.0,90,4,5.48,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.75,0.4330127018922193,45.673874855041504,3.1545784135506754,0.5516885018185037,0.006959600653303948,0.5398986180825606,0.010852047380579767,0.5494802769676647,0.007611719618900987,0.5211627413545958,0.01315187518275503,0.855020726584056,0.02443129076966072,0.5570744975737681,0.015026630104156955,0.5570744975737681,0.015026630104156955
refined_single,refined_5.4900Hz,5.49,u,1,1,1,3.0,90,4,5.49,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,23.0,0.0,47.3723726272583,0.10582615748695365,0.543985091473594,0.006542456693697238,0.5237002834832577,0.010752701946914751,0.5401900778161068,0.007275310089877153,0.5388998735222505,0.014635713108061244,0.8670270517088923,0.021512165235217734,0.5741845544839869,0.016012233923358765,0.5741845544839869,0.016012233923358765
refined_single,refined_5.5000Hz,5.5,u,1,1,1,3.0,90,4,5.5,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,23.0,0.0,47.50720691680908,0.11451676730067092,0.5355023740869724,0.0060753346437836826,0.5087611656927293,0.010516840261253423,0.5305012361186983,0.006863206542487478,0.5586912084484337,0.016240745773304602,0.882062278109801,0.02059714625244112,0.5934586979162373,0.017339424629821302,0.5934586979162373,0.017339424629821302
refined_single,refined_5.5100Hz,5.510000000000001,u,1,1,1,3.0,90,4,5.51,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,23.0,0.0,47.93220615386963,0.13130611530809072,0.5262353146526101,0.005547849931106422,0.4954804008657702,0.01030597706223415,0.5204841149948818,0.00639656057689876,0.5823341380154803,0.01841857601623226,0.9024056131077763,0.020207763932690494,0.6167407886306284,0.0192305153248269,0.6167407886306284,0.0192305153248269
refined_single,refined_5.5200Hz,5.5200000000000005,u,1,1,1,3.0,90,4,5.52,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,23.0,0.0,48.10171031951904,0.1865360910115727,0.5167498024954911,0.0051611224712534405,0.485057941369545,0.010188367025970506,0.5108234090021859,0.006065357462409163,0.6125467138196528,0.021042349989835864,0.9197644060771392,0.018537180540287097,0.6455604340305212,0.02133045182412352,0.6455604340305212,0.02133045182412352
refined_single,refined_5.5300Hz,5.53,u,1,1,1,3.0,90,4,5.53,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,23.0,0.0,47.9705810546875,0.2219588575969307,0.5100047226551097,0.004936581840550776,0.4757465780585026,0.009881279306034167,0.5035992088341006,0.005837092793066391,0.631942080724071,0.02117712716568258,0.923328605333044,0.016312538272190983,0.6632481710998757,0.021163223512501272,0.6632481710998757,0.021163223512501272
refined_single,refined_5.5400Hz,5.54,u,1,1,1,3.0,90,4,5.54,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,23.0,0.0,48.774638175964355,0.18276293338531574,0.5039588296394794,0.0045516540255568245,0.4665817592834637,0.009814424818197755,0.49696995458143456,0.005499777091838321,0.6443494059608809,0.021816380625898052,0.9223488396921169,0.014649128670523929,0.6742106002321089,0.021502563827303537,0.6742106002321089,0.021502563827303537
refined_single,refined_5.5500Hz,5.550000000000001,u,1,1,1,3.0,90,4,5.55,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,23.0,0.0,50.209489822387695,0.14589842302722153,0.4972097574210594,0.004142845376927827,0.4584070309192849,0.009874822495053307,0.48995342072815745,0.005143586258036703,0.6570809989106438,0.022966247495642994,0.9168338988191385,0.014058144465294868,0.6849758128124901,0.022394308605121614,0.6849758128124901,0.022394308605121614
refined_single,refined_5.5600Hz,5.5600000000000005,u,1,1,1,3.0,90,4,5.56,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,23.0,0.0,50.96536922454834,0.1963666728355793,0.489389117994936,0.0037782480991108073,0.4509468174124752,0.009871633161318534,0.4821995873288745,0.00483153230602609,0.6722782983219351,0.02357123728173263,0.9134694054452306,0.016332846364277242,0.6981792252489436,0.023085135172895444,0.6981792252489436,0.023085135172895444
refined_single,refined_5.5700Hz,5.57,u,1,1,1,3.0,90,4,5.57,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,23.0,0.0,49.96784496307373,0.2777146104325812,0.48558989425481214,0.003491130397223083,0.4437033776746169,0.009918617560738415,0.4777566260318736,0.004614864730025914,0.6667770518150442,0.022119504754351146,0.9096161494664983,0.015327740969217102,0.6928558184002513,0.021666415985857085,0.6928558184002513,0.021666415985857085
refined_single,refined_5.5800Hz,5.58,u,1,1,1,3.0,90,4,5.58,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,23.0,0.0,48.4681339263916,0.26073379746014275,0.48408532966321766,0.0032138859549305163,0.4372886453525484,0.009919071041486488,0.4753343926418785,0.004377744099520774,0.648186480582482,0.02074392326161487,0.8972341075770334,0.013887762495198868,0.6749330523839365,0.02029801481301578,0.6749330523839365,0.02029801481301578
refined_single,refined_5.5900Hz,5.590000000000001,u,1,1,1,3.0,90,4,5.59,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,23.0,0.0,47.52324199676514,0.19144930528204157,0.48318935467631874,0.0029695745972046317,0.4312521816925053,0.009834542715831661,0.47347796859939684,0.004154470939973625,0.6255514766612842,0.019019887322926567,0.8809036517291664,0.012881784700931542,0.6529778763013872,0.018664273969292548,0.6529778763013872,0.018664273969292548
refined_single,refined_5.6000Hz,5.6000000000000005,u,1,1,1,3.0,90,4,5.6,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.25,0.4330127018922193,44.51334476470947,1.614848470929532,0.4846251054488748,0.001963530513912732,0.4292012493276613,0.009203062736196132,0.4742604972847579,0.0031558040734755415,0.5905710520968606,0.02009991405688641,0.8702616746363241,0.012606150275017346,0.6206114625831533,0.01931519830592551,0.6206114625831533,0.01931519830592551
