topology,amplitude,sample,mode_index,coefficient_x,coefficient_y,q_norm_sq,c_mech_x,c_mech_y,c_mech_2d,dominant_raw_feature_name,dominant_product_degree,dominant_factor_indices,dominant_drive_channel,dominant_frequency_hz,dominant_decay_time_s,dominant_phase,dominant_raw_feature_loading
topology_17_prestress,amp=1,sample_0,0,154.54432678222656,-187.76263427734375,1.0,0.005348561724286039,0.05163246298157073,0.011487060719003541,u_f=5.8200Hz_Td=1.000s_cos * u_f=5.8200Hz_Td=1.000s_sin,2,4 5,u*u,5.82*5.82,1.0*1.0,cos*sin,0.16440844535827637
topology_17_prestress,amp=1,sample_0,1,420.8282470703125,21.027530670166016,1.0,0.039658898169808755,0.0006475615488010219,0.034484938237186354,u_f=5.8200Hz_Td=1.000s_cos * u_f=5.8200Hz_Td=5.000s_cos,2,4 8,u*u,5.82*5.82,1.0*5.0,cos*cos,-0.2042258381843567
topology_17_prestress,amp=1,sample_0,2,1295.7711181640625,-146.8215789794922,1.0,0.3759996747069179,0.03157070525054842,0.3303190638395109,u_f=5.8200Hz_Td=0.200s_cos,1,0,u,5.82,0.2,cos,0.33610302209854126
topology_17_prestress,amp=1,sample_0,3,37.24866485595703,186.98739624023438,1.0,0.00031070790234813026,0.051206980921745776,0.007060932327633946,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,8 9,u*u,5.82*5.82,5.0*5.0,cos*sin,-0.3064359128475189
topology_17_prestress,amp=1,sample_0,4,-50.657073974609375,-43.42544174194336,1.0,0.0005746601467442226,0.0027618048812546397,0.0008647347815392047,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,9 9,u*u,5.82*5.82,5.0*5.0,sin*sin,0.25993308424949646
topology_17_prestress,amp=1,sample_0,5,-279.8910217285156,431.3620300292969,1.0,0.017543199938209547,0.27251369454618873,0.051359193886804475,u_f=5.8200Hz_Td=5.000s_sin,1,9,u,5.82,5.0,sin,-0.4421212375164032
topology_17_prestress,amp=1,sample_0,6,-18.44377326965332,-156.4632110595703,1.0,7.61781510565837e-05,0.03585328726321824,0.004821191910767186,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=0.500s_cos,2,2 2,u*u,5.82*5.82,0.5*0.5,cos*cos,-0.2576957941055298
topology_17_prestress,amp=1,sample_0,7,32.402503967285156,136.7771453857422,0.9999999403953552,0.00023511914677458304,0.02739880037094345,0.0038377590573664576,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,9 9,u*u,5.82*5.82,5.0*5.0,sin*sin,-0.35652366280555725
topology_17_prestress,amp=1,sample_0,8,-846.0665893554688,67.76223754882812,1.0,0.16030237941037784,0.006724809394315347,0.13993383368398707,u_f=5.8200Hz_Td=5.000s_cos,1,8,u,5.82,5.0,cos,0.45417121052742004
topology_17_prestress,amp=1,sample_0,9,-35.95058822631836,-109.532958984375,1.0,0.0002894295567357663,0.017570905503803132,0.002581421369150483,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,8 9,u*u,5.82*5.82,5.0*5.0,cos*sin,-0.39318737387657166
topology_17_prestress,amp=1,sample_0,10,-164.6383056640625,82.16246795654297,1.0,0.00607005538905831,0.009886702243090292,0.006576246143083815,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=0.200s_sin,2,1 1,u*u,5.82*5.82,0.2*0.2,sin*sin,-0.343980073928833
topology_17_prestress,amp=1,sample_0,11,172.78094482421875,95.97528839111328,1.0,0.006685325649898675,0.01349035425934582,0.0075878567707285205,u_f=5.8200Hz_Td=5.000s_sin,1,9,u,5.82,5.0,sin,0.31252896785736084
topology_17_prestress,amp=1,sample_0,12,-81.41632843017578,32.357669830322266,1.0,0.0014844101144948364,0.00153341243731029,0.0014909091498218146,u_f=5.8200Hz_Td=0.500s_cos,1,2,u,5.82,0.5,cos,-0.3196731209754944
topology_17_prestress,amp=1,sample_0,13,104.10675048828125,-42.545692443847656,1.0,0.0024271055306759807,0.002651036428809487,0.002456804833365214,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.200s_cos,2,0 0,u*u,5.82*5.82,0.2*0.2,cos*cos,0.38596877455711365
topology_17_prestress,amp=1,sample_0,14,0.7306151986122131,-39.7044677734375,1.0,1.195386323575625e-07,0.0023087837685346656,0.00030631095010429056,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,1 9,u*u,5.82*5.82,0.2*5.0,sin*sin,0.36892831325531006
