topology,amplitude,sample,K,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,filter_length_s,filter_length_frames,selected_frequencies_hz,decay_times_s,number_raw_features,svd_rank,condition_number,train_nmse_x,train_nmse_y,train_nmse_2d,validation_nmse_x,validation_nmse_y,validation_nmse_2d,selection_metric_value
topology_17_prestress,amp=1,sample_0,1,fft_prefix,fft_prefix_K1,nan,u,1,1,1.0,30,5.9138162,0.5 1 2 5 10 100,12,4,8.85901520099519,0.5843410763424858,0.5608043225213188,0.5798791310220551,0.37922638859166113,0.945017497654955,0.4378333830825431,0.945017497654955
topology_17_prestress,amp=1,sample_0,1,fft_prefix,fft_prefix_K1,nan,u,1,1,2.0,60,5.9138162,0.5 1 2 5 10 100,12,5,26.56700719973589,0.46062517807024095,0.43168318645118475,0.4551385427827334,0.3685708701288799,0.9097861582570766,0.4246321989507901,0.9097861582570766
topology_17_prestress,amp=1,sample_0,1,fft_prefix,fft_prefix_K1,nan,u,1,1,3.0,90,5.9138162,0.5 1 2 5 10 100,12,5,19.66352930239223,0.4683736018422029,0.38929630768720597,0.45338264067193584,0.3532581677374048,0.853888521947126,0.40511554043403913,0.853888521947126
topology_17_prestress,amp=1,sample_0,1,fft_prefix,fft_prefix_K1,nan,u,1,1,5.0,150,5.9138162,0.5 1 2 5 10 100,12,5,20.28946131689485,0.5218622056201262,0.3942405698238634,0.49761856546400834,0.4244065025260032,0.8801878399723299,0.47161822767486117,0.8801878399723299
topology_17_prestress,amp=1,sample_0,1,fft_prefix,fft_prefix_K1,nan,u,1,1,8.0,240,5.9138162,0.5 1 2 5 10 100,12,5,25.01927354891713,0.44908433043964646,0.3754174627078087,0.43547377013334976,0.4035660933507682,0.6533741341403595,0.42944224841190354,0.6533741341403595
topology_17_prestress,amp=1,sample_0,2,fft_prefix,fft_prefix_K2,nan,u,1,1,1.0,30,5.9138162 0.20046835,0.5 1 2 5 10 100,24,6,11.913546437737995,0.518004457877639,0.556660978306726,0.525332710607105,0.3333685021698057,0.9331415996776913,0.3954954922520972,0.9331415996776913
topology_17_prestress,amp=1,sample_0,2,fft_prefix,fft_prefix_K2,nan,u,1,1,2.0,60,5.9138162 0.20046835,0.5 1 2 5 10 100,24,7,14.520460976262415,0.528201282445857,0.45417007408394383,0.5141669255321505,0.3513657156751338,0.9141817568042121,0.40966454026507976,0.9141817568042121
topology_17_prestress,amp=1,sample_0,2,fft_prefix,fft_prefix_K2,nan,u,1,1,3.0,90,5.9138162 0.20046835,0.5 1 2 5 10 100,24,8,18.456991145754973,0.4474415368377479,0.43233229160767417,0.44457722400336963,0.3947082450339346,0.9119554554798858,0.4482868607587688,0.9119554554798858
topology_17_prestress,amp=1,sample_0,2,fft_prefix,fft_prefix_K2,nan,u,1,1,5.0,150,5.9138162 0.20046835,0.5 1 2 5 10 100,24,9,27.318498471166436,0.4690038835840447,0.39174444367923256,0.45432729643619124,0.40127182052954613,0.8600010006004636,0.44878889546862155,0.8600010006004636
topology_17_prestress,amp=1,sample_0,2,fft_prefix,fft_prefix_K2,nan,u,1,1,8.0,240,5.9138162 0.20046835,0.5 1 2 5 10 100,24,9,30.78041819794999,0.3877500595727396,0.3715519793114159,0.38475733088709047,0.3947123274373209,0.6617064691397228,0.42236869025602325,0.6617064691397228
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4000Hz,5.4,u,1,1,1.0,30,5.4,0.5 1 2 5 10 100,12,4,8.360123616976686,0.6340317460420071,0.6641617253523416,0.6397435923403508,0.42643034900384125,0.8934465660362619,0.4748058296721135,0.8934465660362619
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4000Hz,5.4,u,1,1,2.0,60,5.4,0.5 1 2 5 10 100,12,5,23.38395719781598,0.6016459059556561,0.664226423344694,0.6135095150512776,0.41942385718709085,0.9271226596928125,0.4720134091345248,0.9271226596928125
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4000Hz,5.4,u,1,1,3.0,90,5.4,0.5 1 2 5 10 100,12,6,20.79899893860741,0.5909105334601495,0.7246354450738961,0.6162612359458703,0.4210985906284772,0.9092760970412659,0.4716660455965726,0.9092760970412659
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4000Hz,5.4,u,1,1,5.0,150,5.4,0.5 1 2 5 10 100,12,6,13.303182264756664,0.6309753706106247,0.779710034224842,0.6592297464529842,0.4146488383389203,0.917859515253279,0.4667734915850595,0.917859515253279
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4000Hz,5.4,u,1,1,8.0,240,5.4,0.5 1 2 5 10 100,12,6,11.231617291182545,0.5590441779681222,0.7315586754970181,0.5909176516832622,0.4136337097522245,0.990232553714197,0.4733602143405955,0.990232553714197
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4100Hz,5.41,u,1,1,1.0,30,5.41,0.5 1 2 5 10 100,12,4,8.169328847756171,0.6348745304651867,0.6568647696610612,0.6390432975611389,0.42579139691380175,0.8945725581431353,0.4743496978370555,0.8945725581431353
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4100Hz,5.41,u,1,1,2.0,60,5.41,0.5 1 2 5 10 100,12,5,23.286336213365118,0.6024720590342458,0.6596131527077863,0.613304497417983,0.4188790660377004,0.9288435429733884,0.4717033059586777,0.9288435429733884
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4100Hz,5.41,u,1,1,3.0,90,5.41,0.5 1 2 5 10 100,12,6,21.086345797057568,0.5939192412356111,0.7137555838748075,0.6166370387840443,0.4249492688557045,0.9217947973019365,0.47641459357011273,0.9217947973019365
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4100Hz,5.41,u,1,1,5.0,150,5.41,0.5 1 2 5 10 100,12,6,13.634208894915608,0.6306855625868824,0.7647983967250851,0.6561623030382762,0.4174080975135992,0.9217969447324577,0.469654790536326,0.9217969447324577
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4100Hz,5.41,u,1,1,8.0,240,5.41,0.5 1 2 5 10 100,12,6,11.703256805442187,0.5578554530272584,0.7129893527736337,0.5865177182091458,0.4085211771037628,0.9999553972987377,0.46978439161781094,0.9999553972987377
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4200Hz,5.42,u,1,1,1.0,30,5.42,0.5 1 2 5 10 100,12,4,7.978154191470282,0.6357072529673854,0.6500839852301247,0.6384327007385708,0.42502046883112543,0.8960390899671918,0.47381053515034727,0.8960390899671918
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4200Hz,5.42,u,1,1,2.0,60,5.42,0.5 1 2 5 10 100,12,5,23.296475600179253,0.603430684264538,0.6549780035367637,0.6132026911332445,0.41833221747794846,0.9306311096928626,0.47139826583532174,0.9306311096928626
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4200Hz,5.42,u,1,1,3.0,90,5.42,0.5 1 2 5 10 100,12,6,21.233710195433726,0.5970438503312921,0.7013001253491219,0.6168080795863506,0.4288809288827724,0.9347004866041436,0.4812758208453475,0.9347004866041436
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4200Hz,5.42,u,1,1,5.0,150,5.42,0.5 1 2 5 10 100,12,6,13.894647935692358,0.6308734618330945,0.7449040494970257,0.6525352789447975,0.4213290135988315,0.9288316788186641,0.47389824883105075,0.9288316788186641
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4200Hz,5.42,u,1,1,8.0,240,5.42,0.5 1 2 5 10 100,12,6,11.998782233881192,0.554859601214292,0.6984707135581938,0.5813929365574779,0.404370095039801,1.0059141081278802,0.4666805239177712,1.0059141081278802
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4300Hz,5.430000000000001,u,1,1,1.0,30,5.43,0.5 1 2 5 10 100,12,4,7.78939742194621,0.6365358259271727,0.6438269755103129,0.6379180348337299,0.42414200289321624,0.8978006546286105,0.4732055345538202,0.8978006546286105
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4300Hz,5.430000000000001,u,1,1,2.0,60,5.43,0.5 1 2 5 10 100,12,5,23.409213130825265,0.6045237619742253,0.650316229537505,0.613204801335364,0.41778803982266954,0.9324486139974223,0.471098721012536,0.9324486139974223
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4300Hz,5.430000000000001,u,1,1,3.0,90,5.43,0.5 1 2 5 10 100,12,6,21.216243999665593,0.60013004824432,0.6874435944077205,0.6166823847166374,0.43272197454392713,0.947470833364529,0.4860418006243192,0.947470833364529
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4300Hz,5.430000000000001,u,1,1,5.0,150,5.43,0.5 1 2 5 10 100,12,6,14.025857001526722,0.6315688263226217,0.7206477613469091,0.6484907035007722,0.4259410186702534,0.9353393102670791,0.4787066107607794,0.9353393102670791
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4300Hz,5.430000000000001,u,1,1,8.0,240,5.43,0.5 1 2 5 10 100,12,6,12.14483786458114,0.5505448976653726,0.6903155903169477,0.5763686838525635,0.4020839739683234,1.0101697587513923,0.4650720267459046,1.0101697587513923
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4400Hz,5.44,u,1,1,1.0,30,5.44,0.5 1 2 5 10 100,12,4,7.6055661123495115,0.6373668354473113,0.6380906107266937,0.6375040440762259,0.4231808385783675,0.8998057308673172,0.47255162576313187,0.8998057308673172
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4400Hz,5.44,u,1,1,2.0,60,5.44,0.5 1 2 5 10 100,12,5,23.615761540924325,0.6057550261162601,0.6455567840101892,0.613300385545565,0.41725896318388234,0.9342481228311953,0.47081084893454084,0.9342481228311953
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4400Hz,5.44,u,1,1,3.0,90,5.44,0.5 1 2 5 10 100,12,6,21.030135555667737,0.603013782666508,0.672565411044072,0.6161989298251013,0.43631462682011035,0.9595581006411066,0.4905143604256567,0.9595581006411066
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4400Hz,5.44,u,1,1,5.0,150,5.44,0.5 1 2 5 10 100,12,6,13.97423723993501,0.6326575901396623,0.693762632027698,0.644265407560393,0.43047395930924703,0.938103623655218,0.4830563496387575,0.938103623655218
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4400Hz,5.44,u,1,1,8.0,240,5.44,0.5 1 2 5 10 100,12,6,12.192957505821424,0.5456615366835856,0.6900887595247328,0.5723456551601034,0.402907257351355,1.0112335634504088,0.4659202243264465,1.0112335634504088
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4500Hz,5.45,u,1,1,1.0,30,5.45,0.5 1 2 5 10 100,12,4,7.4289497863242575,0.6382072766602953,0.6328619579196237,0.6371939457599358,0.4221614781963697,0.901999920168576,0.4718651382127607,0.901999920168576
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4500Hz,5.45,u,1,1,2.0,60,5.45,0.5 1 2 5 10 100,12,5,23.903933003082887,0.6071309933950481,0.6405023821222324,0.6134573250930776,0.4167467782934404,0.9359666639578585,0.47052973191579345,0.9359666639578585
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4500Hz,5.45,u,1,1,3.0,90,5.45,0.5 1 2 5 10 100,12,6,20.693441852102314,0.6055401030063394,0.657210309590567,0.6153354060556023,0.43954147380313574,0.9704483812668786,0.49453501771444197,0.9704483812668786
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4500Hz,5.45,u,1,1,5.0,150,5.45,0.5 1 2 5 10 100,12,6,13.712124745735693,0.6339446765129889,0.6665647792019983,0.640141353326554,0.43413468085242074,0.9361020596260952,0.48613054811003137,0.9361020596260952
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4500Hz,5.45,u,1,1,8.0,240,5.45,0.5 1 2 5 10 100,12,6,12.172090322568026,0.5411621129325815,0.6972808559300767,0.570006336013241,0.4082889417666864,1.002125812479407,0.4698010328067206,1.002125812479407
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_5.4600Hz,5.46,u,1,1,1.0,30,5.46,0.5 1 2 5 10 100,12,4,7.261813145296472,0.6390642873117534,0.6281196155335138,0.6369894673346399,0.4211074510841187,0.9043288878930423,0.47116153576534087,0.9043288878930423
