topology,amplitude,sample,candidate_id,mode_index,raw_feature_name,drive_channel,frequency_hz,decay_time_s,phase,loading
topology_17_prestress,amp=1,sample_0,K1_L8,0,u_f=5.9138Hz_Td=0.500s_cos,u,5.91381623393926,0.5,cos,-0.32080034821832254
topology_17_prestress,amp=1,sample_0,K1_L8,0,u_f=5.9138Hz_Td=0.500s_sin,u,5.91381623393926,0.5,sin,-0.3141912177753584
topology_17_prestress,amp=1,sample_0,K1_L8,0,u_f=5.9138Hz_Td=1.000s_cos,u,5.91381623393926,1.0,cos,-0.32585799107245567
topology_17_prestress,amp=1,sample_0,K1_L8,0,u_f=5.9138Hz_Td=1.000s_sin,u,5.91381623393926,1.0,sin,-0.3256106515838068
topology_17_prestress,amp=1,sample_0,K1_L8,0,u_f=5.9138Hz_Td=2.000s_cos,u,5.91381623393926,2.0,cos,-0.30911299914870277
topology_17_prestress,amp=1,sample_0,K1_L8,0,u_f=5.9138Hz_Td=2.000s_sin,u,5.91381623393926,2.0,sin,-0.3173414132120528
topology_17_prestress,amp=1,sample_0,K1_L8,0,u_f=5.9138Hz_Td=5.000s_cos,u,5.91381623393926,5.0,cos,-0.26911648889313095
topology_17_prestress,amp=1,sample_0,K1_L8,0,u_f=5.9138Hz_Td=5.000s_sin,u,5.91381623393926,5.0,sin,-0.28102227882045516
topology_17_prestress,amp=1,sample_0,K1_L8,0,u_f=5.9138Hz_Td=10.000s_cos,u,5.91381623393926,10.0,cos,-0.2486250106627919
topology_17_prestress,amp=1,sample_0,K1_L8,0,u_f=5.9138Hz_Td=10.000s_sin,u,5.91381623393926,10.0,sin,-0.25980272302529456
topology_17_prestress,amp=1,sample_0,K1_L8,0,u_f=5.9138Hz_Td=100.000s_cos,u,5.91381623393926,100.0,cos,-0.22878698450789914
topology_17_prestress,amp=1,sample_0,K1_L8,0,u_f=5.9138Hz_Td=100.000s_sin,u,5.91381623393926,100.0,sin,-0.23844565170463342
topology_17_prestress,amp=1,sample_0,K1_L8,1,u_f=5.9138Hz_Td=0.500s_cos,u,5.91381623393926,0.5,cos,-0.11237971845364761
topology_17_prestress,amp=1,sample_0,K1_L8,1,u_f=5.9138Hz_Td=0.500s_sin,u,5.91381623393926,0.5,sin,0.14494567941396524
