frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,K,filter_length_s,filter_length_frames,num_topology_sample_pairs,selected_frequencies_hz,decay_times_s,number_raw_features_mean,number_raw_features_std,number_drive_channels_mean,number_drive_channels_std,svd_rank_mean,svd_rank_std,condition_number_mean,condition_number_std,train_nmse_x_mean,train_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,selection_metric_value_mean,selection_metric_value_std
fft_prefix,fft_prefix_K1,nan,u,1,1,1,1.0,30,5,5.9138162,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,8.894153865482295,0.03798806284603812,0.5864787259619242,0.003639293082351569,0.573947311685051,0.008628102969431124,0.5841349400401806,0.004404121264165849,0.3871250811202095,0.004272825887571363,0.9245380578664939,0.01060560819107309,0.44494805044636676,0.003935312178754981,0.9245380578664939,0.01060560819107309
refined_single,refined_5.4000Hz,5.4,u,1,1,1,1.0,30,5,5.4,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,8.342399463139031,0.0203258623194142,0.6400725659794382,0.007029726404922181,0.6756601629320828,0.008164809296762962,0.6467023950547194,0.007122758257033809,0.43302767492162253,0.0033441971763243164,0.8914678903168539,0.00392421432854324,0.4823702382545614,0.0038362649873089354,0.8914678903168539,0.00392421432854324
refined_single,refined_5.4100Hz,5.41,u,1,1,1,1.0,30,5,5.41,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,8.151360834473866,0.020582177614200052,0.6410699583193817,0.0070758753894566125,0.6688607354911396,0.008425459747324943,0.6462460278261501,0.007209265745543615,0.43270085099010436,0.0035037004847915227,0.8922661028176616,0.0040257786057471484,0.48216387756678813,0.0039668398659852095,0.8922661028176616,0.0040257786057471484
refined_single,refined_5.4200Hz,5.42,u,1,1,1,1.0,30,5,5.42,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,7.960031622768736,0.020718557215394402,0.6420587187693816,0.007124585907145421,0.6625552074847753,0.008672609673311465,0.6458747275873293,0.007295783969595762,0.43222822685420415,0.0036570737882624838,0.8933768665770673,0.0041342293571281375,0.48186103927751434,0.004091336859683546,0.8933768665770673,0.0041342293571281375
refined_single,refined_5.4300Hz,5.430000000000001,u,1,1,1,1.0,30,5,5.43,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,7.771226620421087,0.02072681270939997,0.6430429748952637,0.007175179555674148,0.6567485475458666,0.008905084558991418,0.645592779435916,0.0073814507841684735,0.4316322613297768,0.0038032673129880503,0.8947593687205609,0.004249421388559866,0.4814773781162701,0.0042088982693877985,0.8947593687205609,0.004249421388559866
refined_single,refined_5.4400Hz,5.44,u,1,1,1,1.0,30,5,5.44,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,7.587485152580626,0.020589291347176172,0.6440276205003683,0.007226957923949241,0.6514356242974675,0.009122057471489073,0.6454032086200042,0.007465455811691258,0.43093630220908763,0.003941463913078487,0.8963673600193168,0.004370932086102544,0.48102875704013737,0.0043188974146658385,0.8963673600193168,0.004370932086102544
refined_single,refined_5.4500Hz,5.45,u,1,1,1,1.0,30,5,5.45,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,7.411154092270749,0.020270301198164763,0.6450180795937974,0.007279220911566053,0.6466021472193597,0.009323047748394578,0.645307763914115,0.007547058908776888,0.4301638529764831,0.004071086719224779,0.8981519642000608,0.004498046102865724,0.4805308949432471,0.0044209364037533965,0.8981519642000608,0.004498046102865724
refined_single,refined_5.4600Hz,5.46,u,1,1,1,1.0,30,5,5.46,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,7.244601794340065,0.01969984901277888,0.6460200600811821,0.007331282494111228,0.642225976421157,0.00950790051615774,0.645306961425729,0.007625601734145816,0.4293379153143789,0.004191793021881151,0.9000643048525511,0.0046297851964229916,0.4799990624035493,0.004514831149693072,0.9000643048525511,0.0046297851964229916
refined_single,refined_5.4700Hz,5.470000000000001,u,1,1,1,1.0,30,5,5.47,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,7.0906722639940565,0.018741453541009957,0.647039304359272,0.007382483000038108,0.6382786727017342,0.009676750725231918,0.6454001706935623,0.007700512398892788,0.4284804311517341,0.004303456239424201,0.9020577426614478,0.0047649747864174615,0.47944782437565747,0.0046005864115501085,0.9020577426614478,0.0047649747864174615
refined_single,refined_5.4800Hz,5.48,u,1,1,1,1.0,30,5,5.48,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,6.953614652438491,0.017133045204100292,0.6480813422942601,0.007432197391504511,0.6347271468518365,0.009829976616794304,0.6455857212371706,0.00777130386445188,0.4276118375007263,0.004406138858343129,0.9040895930182113,0.0049023320596656,0.4788908276752479,0.004678364271894598,0.9040895930182113,0.0049023320596656
refined_single,refined_5.4900Hz,5.49,u,1,1,1,1.0,30,5,5.49,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,6.840851987426667,0.014432209045651737,0.6491512501412142,0.007479839484165649,0.6315352773020578,0.009968147834482627,0.6458610080441637,0.007837567232698526,0.4267507364190008,0.004500059710847206,0.9061222770577725,0.0050405589492720304,0.47834063028780943,0.00474844951920998,0.9061222770577725,0.0050405589492720304
refined_single,refined_5.5000Hz,5.5,u,1,1,1,1.0,30,5,5.5,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,6.765141633464883,0.010319015150236484,0.6502534170319907,0.007524862426986605,0.6286653922059883,0.010091972894086348,0.6462225779427173,0.007898961313517425,0.42591367265907437,0.004585558879235647,0.9081239312888674,0.005178426096680109,0.47780856856523235,0.004811214983914393,0.9081239312888674,0.005178426096680109
refined_single,refined_5.5100Hz,5.510000000000001,u,1,1,1,1.0,30,5,5.51,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,6.741844594306144,0.006290872873254919,0.6513913189731781,0.0075667560460304685,0.626079547366887,0.010202249710399196,0.6466661840208149,0.007955199881935543,0.42511500412678443,0.004663063019845856,0.9100685519932086,0.005314838932053566,0.4773046572194005,0.004867089162220823,0.9100685519932086,0.005314838932053566
refined_single,refined_5.5200Hz,5.5200000000000005,u,1,1,1,1.0,30,5,5.52,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,4.0,0.0,6.774957178343863,0.005941868117542527,0.6525672990862912,0.007605041821009517,0.6237405669022091,0.010299821670045688,0.6471868008865496,0.008006037908748414,0.42436684575979483,0.004733053175015836,0.9119357775702408,0.00544888226673369,0.4768375159008018,0.004916527650409015,0.9119357775702408,0.00544888226673369
