topology,amplitude,sample,component,Q_mech_abs,Q_mech_norm,actual_nmse,basis_R2,basis_nmse
topology_10_prestress,amp=2.5,sample_0,x,0.36841344785070346,0.6687014554129199,0.3519582145240342,0.6794755695290817,0.3205244304709183
topology_10_prestress,amp=2.5,sample_0,y,0.19799178106598486,0.5956356246168268,0.3863426161817491,0.45288960437796677,0.5471103956220332
topology_10_prestress,amp=2.5,sample_1,x,0.36851274155768327,0.6736751368725342,0.2695030565786426,0.6803090987943186,0.3196909012056815
topology_10_prestress,amp=2.5,sample_1,y,0.21434018240246455,0.6066126333472159,0.40299868364643976,0.46573396050114346,0.5342660394988565
topology_10_prestress,amp=2.5,sample_2,x,0.3626744036245312,0.656058191642875,0.2769939549738056,0.678384400310845,0.32161559968915493
topology_10_prestress,amp=2.5,sample_2,y,0.19486531286764172,0.5792331209857238,0.3944580021687524,0.453127873381569,0.546872126618431
topology_10_prestress,amp=2.5,sample_3,x,0.29278836549010523,0.5325807841968789,0.4847368481147125,0.6901826849303201,0.3098173150696799
topology_10_prestress,amp=2.5,sample_3,y,0.144840579340895,0.4160626994330525,1.0170682325721583,0.31145798318518225,0.6885420168148177
topology_10_prestress,amp=2.5,sample_4,x,0.3691500496785275,0.6710901119414344,0.3179582006582673,0.6816184365484745,0.3183815634515254
topology_10_prestress,amp=2.5,sample_4,y,0.20473546103639292,0.5998937364421939,0.4669302927851891,0.45883899844221554,0.5411610015577845
topology_17_prestress,amp=1,sample_0,x,0.22522300986940622,0.4030030126183146,0.19994542718912808,0.6962624578450685,0.30373754215493154
topology_17_prestress,amp=1,sample_0,y,0.139613134378952,0.21043531451946565,0.08186815766818102,0.3964069144992235,0.6035930855007765
topology_17_prestress,amp=1,sample_2,x,0.2177717328538288,0.3811712074103159,0.20623129342656507,0.6871039783822854,0.3128960216177146
topology_17_prestress,amp=1,sample_2,y,0.13439087126446478,0.2089954405804326,0.09547785000241853,0.397936838550889,0.602063161449111
topology_17_prestress,amp=1,sample_3,x,0.20883772029224856,0.36855840018894753,0.2211013759928742,0.6861858809565937,0.3138141190434062
topology_17_prestress,amp=1,sample_3,y,0.12770739343507256,0.19969894038415187,0.0893112853861896,0.3936952331870076,0.6063047668129924
topology_17_prestress,amp=1,sample_4,x,0.20961034138753648,0.3661879172425367,0.1884825946312015,0.6867166462341006,0.31328335376589944
topology_17_prestress,amp=1,sample_4,y,0.12349793577033491,0.19090709471148584,0.07853634395751155,0.4025274892586823,0.5974725107413177
