topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,exponents,coefficient_x,coefficient_y,p_alpha_norm_sq,c_alpha_x,c_alpha_y,c_alpha
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,0,P1(u[target-32]),1,27,32,27,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-28.93937873840332,2.631833791732788,273.76495361328125,0.04645669377407784,0.011807965530824631,0.04536476998062886
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,1,P1(u[target-31]),1,26,31,26,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0,32.83132553100586,-4.9743971824646,273.54486083984375,0.05974443185654238,0.04214924366489942,0.05918993518059561
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,2,P1(u[target-30]),1,25,30,25,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0,10.29100227355957,3.9558849334716797,273.5621643066406,0.005870342226971397,0.026657759207376952,0.006525439148448448
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,3,P1(u[target-29]),1,24,29,24,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0,-28.452312469482422,5.727239608764648,273.5743103027344,0.044874796604545346,0.05587870432333173,0.04522157495019501
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,4,P1(u[target-28]),1,23,28,23,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0,10.663392066955566,-16.659934997558594,273.552734375,0.0063026596606302315,0.4727896644433512,0.021003581907500398
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,5,P1(u[target-27]),1,22,27,22,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0,26.544322967529297,9.243006706237793,273.5765380859375,0.03905837728709497,0.14554111387228044,0.0424140858387231
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,6,P1(u[target-26]),1,21,26,21,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0,-20.47946548461914,0.5213629603385925,273.6422119140625,0.023254787104717813,0.000463173548003118,0.02253652971417371
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,7,P1(u[target-25]),1,20,25,20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0,-9.594768524169922,4.343848705291748,273.7659606933594,0.0051067017318615045,0.03216689472871625,0.00595947959952655
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,8,P1(u[target-24]),1,19,24,19,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0,-3.450105905532837,-8.570011138916016,274.0484619140625,0.0006609738272964196,0.12533444732616808,0.004589947242124607
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,9,P1(u[target-23]),1,18,23,18,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0,43.636558532714844,-0.3838174045085907,274.460205078125,0.10589425721349996,0.00025177292223150827,0.10256502846412568
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,10,P1(u[target-22]),1,17,22,17,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0,-32.9852180480957,6.652207374572754,274.72119140625,0.06056516725580272,0.07570142043844716,0.0610421727862154
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,11,P1(u[target-21]),1,16,21,16,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0,-20.157495498657227,-1.9689900875091553,274.81304931640625,0.022625726602913836,0.006634446849245652,0.02212177567207039
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,12,P1(u[target-20]),1,15,20,15,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0,58.749271392822266,-10.149412155151367,274.853759765625,0.1922200530842151,0.17630465075187673,0.1917184933626869
topology_10_prestress,amp=2.5,sample_0,10,0,5,27,1,13,P1(u[target-19]),1,14,19,14,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,-21.36783790588379,16.92938232421875,274.8737487792969,0.02543000628425215,0.49056414187674874,0.040088294064198775
