topology_index,topology,amplitude,sample,num_nodes,hidden_node,reference_node,horizon_steps,H_cut,D_cut,actual_test_nmse_2d,actual_test_nmse_x,actual_test_nmse_y,basis_nmse_2d,Q_twIPC_raw,Q_twIPC_clipped,generic_total_ipc_clipped
10,topology_10_prestress,amp=2.5,sample_0,16,10,0,5,27,1,0.3529619213076103,0.35191335198056833,0.386341993483088,0.28643529527246525,6.391672232669707,6.468829424105576,9.190103181575267
10,topology_10_prestress,amp=2.5,sample_1,16,10,0,5,27,1,0.27365660345005494,0.26950050165723355,0.40298700201171234,0.287694525117825,6.210506489068985,6.210506489068985,12.593860933198087
10,topology_10_prestress,amp=2.5,sample_2,16,10,0,5,27,1,0.2805419150320363,0.27698897744733025,0.3944546066679392,0.2858257219810729,6.828203839531147,6.828203839531147,12.024536603375223
10,topology_10_prestress,amp=2.5,sample_3,16,10,0,5,27,1,0.5021185445981431,0.48473034192406866,1.016994785966414,0.28908136795175243,4.286813229787642,6.2199010120236995,5.692784944403795
10,topology_10_prestress,amp=2.5,sample_4,16,10,0,5,27,1,0.32253750817843746,0.31795165082723054,0.46692311408529064,0.286697228055664,6.174578881443987,6.174927588970339,11.102224111398908
11,topology_11_prestress,amp=2.5,sample_0,16,10,0,5,27,1,0.2767780573234402,0.27479048212350843,0.3325447755441885,0.292612237128537,11.347726055376471,11.347726055376471,12.040142791452878
11,topology_11_prestress,amp=2.5,sample_1,16,10,0,5,27,1,1.689666883110027,1.489627318314074,7.230965121434007,0.2920759534083768,5.483424936583248,7.4836887710151,8.457888337135135
11,topology_11_prestress,amp=2.5,sample_2,16,10,0,5,27,1,0.25144612626989143,0.2480903658443254,0.34681014863802845,0.29118453919105247,10.173303354809704,10.173303354809704,11.312330469237201
11,topology_11_prestress,amp=2.5,sample_3,16,10,0,5,27,1,0.2733912415548465,0.2704530846714344,0.35691982259136035,0.2912858337975262,11.415768025770063,11.415768025770063,13.37608879153317
11,topology_11_prestress,amp=2.5,sample_4,16,10,0,5,27,1,0.2661398977618085,0.26436175559234576,0.31622004851487007,0.2911961468221684,11.560595561462465,11.560595561462465,12.880327223836252
