topology_index,topology,amplitude,sample,num_nodes,hidden_node,reference_node,horizon_steps,H_cut,D_cut,actual_test_nmse_2d,actual_test_nmse_x,actual_test_nmse_y,basis_nmse_2d,Q_twIPC_raw,Q_twIPC_clipped,generic_total_ipc_clipped
10,topology_10_prestress,amp=2.5,sample_0,16,10,0,5,1,1,0.3529619213076103,0.35191335198056833,0.386341993483088,0.30325125328419933,1.7333222894984999,1.7333222894984999,1.9659660918126147
10,topology_10_prestress,amp=2.5,sample_1,16,10,0,5,1,1,0.27365660345005494,0.26950050165723355,0.40298700201171234,0.3044741300815233,1.7086871658250564,1.7086871658250564,1.9779559635298702
10,topology_10_prestress,amp=2.5,sample_2,16,10,0,5,1,1,0.2805419150320363,0.27698897744733025,0.3944546066679392,0.30332501579786314,1.7101447532425351,1.7101447532425351,1.9747348682114878
10,topology_10_prestress,amp=2.5,sample_3,16,10,0,5,1,1,0.5021185445981431,0.48473034192406866,1.016994785966414,0.3054779913350076,1.7057733344339034,1.7057733344339034,1.967443424907966
10,topology_10_prestress,amp=2.5,sample_4,16,10,0,5,1,1,0.32253750817843746,0.31795165082723054,0.46692311408529064,0.3034902545822158,1.7269951614304953,1.7269951614304953,1.974446398189554
11,topology_11_prestress,amp=2.5,sample_0,16,10,0,5,1,1,0.2767780573234402,0.27479048212350843,0.3325447755441885,0.31563213102473037,1.4058117099790346,1.4058117099790346,1.98013489228663
11,topology_11_prestress,amp=2.5,sample_1,16,10,0,5,1,1,1.689666883110027,1.489627318314074,7.230965121434007,0.3160939349118648,1.3674028716689608,1.3674028716689608,1.8850339917885992
11,topology_11_prestress,amp=2.5,sample_2,16,10,0,5,1,1,0.25144612626989143,0.2480903658443254,0.34681014863802845,0.31493070671933754,1.3813864473088253,1.3813864473088253,1.980004555970222
11,topology_11_prestress,amp=2.5,sample_3,16,10,0,5,1,1,0.2733912415548465,0.2704530846714344,0.35691982259136035,0.31483721342191284,1.4038897653151956,1.4038897653151956,1.980398435101906
11,topology_11_prestress,amp=2.5,sample_4,16,10,0,5,1,1,0.2661398977618085,0.26436175559234576,0.31622004851487007,0.3144747537976249,1.4057686835284686,1.4057686835284686,1.9791827112456233
12,topology_12_prestress,amp=2.5,sample_0,16,10,0,5,1,1,0.2616250759682317,0.25705864374571985,0.3872794474277292,0.2921387546111201,1.9782040896751854,1.9782040896751854,1.9734231781321339
12,topology_12_prestress,amp=2.5,sample_1,16,10,0,5,1,1,0.2579340389254528,0.2527356265656357,0.4043701523795511,0.29154091398689375,1.9706220686938314,1.9706220686938314,1.9742818985684294
12,topology_12_prestress,amp=2.5,sample_2,16,10,0,5,1,1,0.2599023362823034,0.2537786657204841,0.4320265470136775,0.29105498721078377,1.9500408266580422,1.9500408266580422,1.9746871583383514
12,topology_12_prestress,amp=2.5,sample_3,16,10,0,5,1,1,0.2637194699893686,0.2582231591931328,0.4156599067831777,0.2912387497917125,1.9819316393141968,1.9819316393141968,1.9731307206267412
12,topology_12_prestress,amp=2.5,sample_4,16,10,0,5,1,1,0.2739996242088709,0.2688368960966517,0.4194999059095328,0.2917987506834931,1.9639562423669594,1.9639562423669594,1.9713901897691255
13,topology_13_prestress,amp=2.5,sample_0,16,10,0,5,1,1,0.2921209722054473,0.29257457435654394,0.2820392842762671,0.3197718501749678,1.7818312931811475,1.7818312931811475,1.9767952484503395
13,topology_13_prestress,amp=2.5,sample_1,16,10,0,5,1,1,0.28964085788946614,0.2895559585924568,0.2915127384353023,0.32105158306556164,1.6099758208623896,1.6099758208623896,1.9747711960438976
13,topology_13_prestress,amp=2.5,sample_2,16,10,0,5,1,1,0.3063482902061681,0.3061623305646554,0.31039590634689035,0.3222640901240138,1.6061083116939756,1.6061083116939756,1.973825844268823
