topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,coefficient_x,coefficient_y,exponents
topology_10_prestress,amp=2.5,sample_0,10,0,5,1,1,-1,intercept,0,,,,991.3351440429688,1008.41455078125,
topology_10_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-55.5981559753418,18.885366439819336,0 1
topology_10_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,167.4920196533203,-35.313621520996094,1 0
topology_10_prestress,amp=2.5,sample_1,10,0,5,1,1,-1,intercept,0,,,,991.6561889648438,1008.2078857421875,
topology_10_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-54.46308898925781,19.15560531616211,0 1
topology_10_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,166.312744140625,-36.224853515625,1 0
topology_10_prestress,amp=2.5,sample_2,10,0,5,1,1,-1,intercept,0,,,,990.47119140625,1008.5662841796875,
topology_10_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-54.37128829956055,18.85272979736328,0 1
topology_10_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,165.96434020996094,-35.43344497680664,1 0
topology_10_prestress,amp=2.5,sample_3,10,0,5,1,1,-1,intercept,0,,,,987.963623046875,1003.9959106445312,
topology_10_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-53.689544677734375,20.65109634399414,0 1
topology_10_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,164.69436645507812,-38.432212829589844,1 0
topology_10_prestress,amp=2.5,sample_4,10,0,5,1,1,-1,intercept,0,,,,991.172607421875,1007.8516235351562,
topology_10_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-55.39729309082031,18.974777221679688,0 1
topology_10_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,167.55853271484375,-35.67100524902344,1 0
topology_11_prestress,amp=2.5,sample_0,10,0,5,1,1,-1,intercept,0,,,,1011.5823974609375,1012.4634399414062,
topology_11_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-42.632266998291016,22.085052490234375,0 1
topology_11_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,160.13626098632812,-41.901512145996094,1 0
topology_11_prestress,amp=2.5,sample_1,10,0,5,1,1,-1,intercept,0,,,,1010.6251831054688,1011.7290649414062,
topology_11_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-41.89346694946289,21.096874237060547,0 1
topology_11_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,160.513916015625,-41.092308044433594,1 0
topology_11_prestress,amp=2.5,sample_2,10,0,5,1,1,-1,intercept,0,,,,1011.851318359375,1012.6599731445312,
topology_11_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-41.41069793701172,22.38334846496582,0 1
topology_11_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,159.65208435058594,-42.23470687866211,1 0
topology_11_prestress,amp=2.5,sample_3,10,0,5,1,1,-1,intercept,0,,,,1010.2581176757812,1012.9124755859375,
topology_11_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-42.446197509765625,22.11871337890625,0 1
topology_11_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,159.95321655273438,-41.920223236083984,1 0
topology_11_prestress,amp=2.5,sample_4,10,0,5,1,1,-1,intercept,0,,,,1010.1643676757812,1012.8673706054688,
topology_11_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-42.50541687011719,22.033796310424805,0 1
topology_11_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,159.9361114501953,-41.83564758300781,1 0
topology_12_prestress,amp=2.5,sample_0,10,0,5,1,1,-1,intercept,0,,,,1023.3319702148438,1029.1959228515625,
topology_12_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-69.91297912597656,17.44997215270996,0 1
topology_12_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,189.72799682617188,-37.34927749633789,1 0
topology_12_prestress,amp=2.5,sample_1,10,0,5,1,1,-1,intercept,0,,,,1023.9866333007812,1028.7352294921875,
topology_12_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-69.83171844482422,17.505828857421875,0 1
topology_12_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,190.35418701171875,-37.16140365600586,1 0
topology_12_prestress,amp=2.5,sample_2,10,0,5,1,1,-1,intercept,0,,,,1023.4868774414062,1028.6854248046875,
topology_12_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-69.04312133789062,18.07402229309082,0 1
topology_12_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,189.9727325439453,-37.81983947753906,1 0
topology_12_prestress,amp=2.5,sample_3,10,0,5,1,1,-1,intercept,0,,,,1023.3259887695312,1028.626953125,
