H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,num_topology_sample_pairs,overparameterized_fraction,ill_conditioned_fraction,num_train_rows_mean,num_train_rows_std,num_validation_rows_mean,num_validation_rows_std,terms_per_train_row_mean,terms_per_train_row_std,condition_number_mean,condition_number_std,train_nmse_x_mean,train_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,train_validation_gap_2d_mean,train_validation_gap_2d_std
0,1,5,1,[0],[5],1,5,0.0,0.0,299.0,0.0,299.0,0.0,0.0033444816053511705,0.0,1.0,0.0,0.4516269813924273,0.0014456674839520025,0.6606865263604332,0.00870677106215804,0.4595954644783082,0.0011958020976801154,0.25501825801459804,0.0005679182425973911,0.497810922347082,0.06452513731607838,0.2626099893611991,0.002042279950733006,-0.19698547511710912,0.002582643322761674
1,1,5,1,"[0, 1]","[5, 6]",2,5,0.0,0.0,299.0,0.0,299.0,0.0,0.006688963210702341,0.0,70.91010907251486,0.2116980240677278,0.4445079816144908,0.0014119131319402897,0.637908848232603,0.007970414773704016,0.4518781284973377,0.0012288841403169852,0.2514819402100018,0.0006220400673921965,0.48149415017963654,0.06437916851618673,0.2586763861961913,0.0020461431814744156,-0.19320174230114637,0.0023503966082962487
2,1,5,1,"[0, 1, 2]","[5, 6, 7]",3,5,0.0,0.0,299.0,0.0,299.0,0.0,0.010033444816053512,0.0,402.147100515503,2.102979076572624,0.4442969593307975,0.0013899933892611185,0.6123331171477288,0.008215623728322134,0.45069861366805347,0.0011985986476721272,0.25062153508419255,0.0005783577138511798,0.44621922706267736,0.062452874860804516,0.2567458709723719,0.0020083031732919207,-0.1939527426956815,0.002344098181066206
3,1,5,1,"[0, 1, 2, 3]","[5, 6, 7, 8]",4,5,0.0,0.0,299.0,0.0,299.0,0.0,0.013377926421404682,0.0,1256.7170939674538,17.668984554799383,0.4427125520044135,0.0013381998563055315,0.6018044371159778,0.007962179743684959,0.44877267953920247,0.0011998998133172661,0.251811676031397,0.0006416781921207763,0.45255763586521863,0.06385360619547101,0.2580967997724018,0.002009874487582378,-0.19067587976680062,0.0023868076774206967
4,1,5,1,"[0, 1, 2, 3, 4]","[5, 6, 7, 8, 9]",5,5,0.0,0.0,299.0,0.0,299.0,0.0,0.016722408026755852,0.0,2479.8777727041543,60.18113067532041,0.44169437349193974,0.0013718550171034165,0.5934713437037864,0.007757986722786221,0.4474754776478047,0.0012382285478969846,0.2556866877398424,0.000732568915037773,0.4540320376043244,0.06526223777880172,0.2618983577617961,0.0018663826655636257,-0.18557711988600856,0.0022738355930036975
5,1,5,1,"[0, 1, 2, 3, 4, 5]","[5, 6, 7, 8, 9, 10]",6,5,0.0,0.0,299.0,0.0,299.0,0.0,0.020066889632107024,0.0,4014.2890532073807,132.2058215607884,0.4307866189516725,0.0014783463250946172,0.5862315203220178,0.008037840857953145,0.4367079786640706,0.001421292673122911,0.260272621704091,0.0007431994701665673,0.45766090106483437,0.06665727111446426,0.26645554816184225,0.001882382526781107,-0.17025243050222832,0.002672580433240246
6,1,5,1,"[0, 1, 2, 3, 4, 5, 6]","[5, 6, 7, 8, 9, 10, 11]",7,5,0.0,0.0,299.0,0.0,299.0,0.0,0.023411371237458192,0.0,6135.581356272964,273.33294653041014,0.4307753858560567,0.0014751804679877826,0.5832878978876208,0.008256266282285707,0.436584593210079,0.0014132453860875624,0.26034000218512593,0.0007929171041863855,0.4521979541786335,0.0659356700462172,0.2663505674101175,0.001925187502296392,-0.17023402579996155,0.0026693571240099696
7,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7]","[5, 6, 7, 8, 9, 10, 11, 12]",8,5,0.0,0.0,299.0,0.0,299.0,0.0,0.026755852842809364,0.0,8290.232286067774,468.1802939267296,0.4291743864977463,0.0015006354445393493,0.5799231178054939,0.007998596519456771,0.4349166913438133,0.0014131156020691861,0.25759491918351773,0.0007396139828216803,0.4479359099709027,0.06564809736793563,0.26355804799616794,0.0018993379837343263,-0.17135864334764533,0.0027542419908117032
8,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5, 6, 7, 8, 9, 10, 11, 12, 13]",9,5,0.0,0.0,299.0,0.0,299.0,0.0,0.030100334448160536,0.0,10492.835105811584,696.8577122745847,0.42702461752273246,0.001547970922567846,0.579608384117415,0.008099945736033207,0.43283696844085756,0.0014714688721346938,0.2564016624696024,0.0006891458221596734,0.44806154697378436,0.065284146641836,0.262405454594253,0.00195572764272512,-0.17043151384660452,0.0028926968797363985
9,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",10,5,0.0,0.0,299.0,0.0,299.0,0.0,0.033444816053511704,0.0,12443.064674323168,924.6604389451878,0.42474669219236166,0.0016360785719500696,0.5788416512618991,0.008019081716108557,0.43061681620512804,0.0015464141525678263,0.25555908054304527,0.0006563646251839001,0.44778163430357665,0.06504203364140482,0.26158007904091757,0.002005154131620773,-0.16903673716421053,0.003003863058319463
10,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",11,5,0.0,0.0,299.0,0.0,299.0,0.0,0.03678929765886288,0.0,14130.473988534523,1112.9757515138708,0.42207718583487885,0.0017049832575136577,0.5757483363154579,0.008568367665682792,0.4279305747422302,0.0016315563345456843,0.25257593954215024,0.0005619602830579921,0.4461914236403574,0.06427640628463147,0.25863967675465416,0.0020719517878596853,-0.16929089798757602,0.0031909790984095015
11,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",12,5,0.0,0.0,299.0,0.0,299.0,0.0,0.04013377926421405,0.0,15777.09484581754,1329.077299872348,0.42117685351945305,0.0017174112921330292,0.5757024644857353,0.008577725778489236,0.4270628106596092,0.001639363209242198,0.2507366330001736,0.0005525575479379705,0.44623051078438625,0.0645319600234247,0.25685865792722457,0.0021171345528241798,-0.1702041527323847,0.003237993305637964
12,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",13,5,0.0,0.0,299.0,0.0,299.0,0.0,0.043478260869565216,0.0,17369.872544194688,1555.5386503312338,0.4210264356087964,0.001708916681239139,0.5755995022231813,0.00853648327147393,0.42691427999393794,0.0016305551607986087,0.25116898127134085,0.0006198656211047836,0.4471066175429109,0.06446742525406822,0.25730470658985183,0.002115508663801123,-0.16960957340408606,0.0032212106091713917
13,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",14,5,0.0,0.0,299.0,0.0,299.0,0.0,0.046822742474916385,0.0,19209.731461965766,1853.395328655597,0.4192224576495308,0.001711818641359859,0.5754648558076342,0.008524573798724134,0.4251742478953526,0.0016485968529572697,0.25404620182656895,0.0006235094477024993,0.44761644756929037,0.06463442411630985,0.2601082820933416,0.0022404295905882974,-0.16506596580201097,0.0034132038886914243
14,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",15,5,0.0,0.0,299.0,0.0,299.0,0.0,0.05016722408026756,0.0,21363.988811407045,2239.269857423348,0.41911829365752007,0.001710296704747158,0.575268562454443,0.008543641920239731,0.42506652138534484,0.001648460901361321,0.2528784255925123,0.0006911236069421205,0.44689006885335036,0.06454298171175366,0.2589540450871405,0.0023644131872851584,-0.1661124762982044,0.003495036582704295
15,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,5,0.0,0.0,299.0,0.0,299.0,0.0,0.05351170568561873,0.0,23490.767954347124,2643.4068372673223,0.41909203876850254,0.0016979279266171267,0.5750887257719802,0.00846273329326014,0.4250345284359859,0.0016395187261784739,0.2524906261869675,0.0005649813012290609,0.4488580935214802,0.06469940539803612,0.2586390824637396,0.002335384645741236,-0.16639544597224623,0.0035266876784432245
0,2,5,1,[0],[5],2,5,0.0,0.0,299.0,0.0,299.0,0.0,0.006688963210702341,0.0,2.997701587933708,0.11067227893867494,0.4485492256926876,0.0013640858819205341,0.6604206073490332,0.008651791729552012,0.45662486694042703,0.0011365195105932158,0.28026136730740997,0.00410250851598682,0.5022462182443834,0.06587798969379945,0.2872102311457393,0.0021740214380256448,-0.16941463579468768,0.002381292241463762
