topology,amplitude,H,D,num_samples,number_of_terms,target_time_delays,train_nmse_2d_mean,train_nmse_2d_std,validation_nmse_2d_mean,validation_nmse_2d_std,condition_number_mean,condition_number_std
topology_17_prestress,amp=1,0,1,5,1,[5],0.6235245026677745,0.009832463396034634,0.35458027585501367,0.0028103335384785746,1.0,0.0
topology_17_prestress,amp=1,0,2,5,2,[5],0.6204437913429246,0.009876595967121439,0.37812832550504333,0.0030366665574512604,2.031401564370252,0.030715290958287962
topology_17_prestress,amp=1,0,3,5,3,[5],0.6202106944057093,0.00990679532459826,0.39014320260730556,0.0029057554850195045,27.030695930250992,0.5483005752690437
topology_17_prestress,amp=1,0,4,5,4,[5],0.60650109403658,0.010038952943907723,0.8999773791675996,0.0033669946642231586,156.52473871276908,4.457420490959065
topology_17_prestress,amp=1,1,1,5,2,"[5, 6]",0.6157396584235374,0.010321786456296887,0.348117913358655,0.002915227161080722,74.36670126425098,0.16064306683470586
topology_17_prestress,amp=1,1,2,5,5,"[5, 6]",0.6094318199953548,0.01032922700932186,0.37313153554685413,0.003176916268865798,12410.382489817366,128.97291549302304
topology_17_prestress,amp=1,1,3,5,9,"[5, 6]",0.6055550663657671,0.010305804021291737,0.39899931682776324,0.004600328589918062,15153822.726750309,1916773.8106854307
topology_17_prestress,amp=1,1,4,5,14,"[5, 6]",0.5834803570849445,0.010833255971581442,1.208266468575489,0.02154998448814793,1734098616.1886754,3071421513.2886286
topology_17_prestress,amp=1,2,1,5,3,"[5, 6, 7]",0.5894589153906515,0.008782710987004649,0.3308546811940645,0.0027789827123856094,370.19312298643945,2.0465808307143094
topology_17_prestress,amp=1,2,2,5,9,"[5, 6, 7]",0.5819662123097314,0.00889135401456896,0.348278995464799,0.002568234430897579,233392.59190298416,9441.906789297816
topology_17_prestress,amp=1,2,3,5,19,"[5, 6, 7]",0.5678289852267626,0.00969676604693392,0.3937615142148351,0.001754040679981229,1816919381.4587617,3242589064.2932577
topology_17_prestress,amp=1,2,4,5,34,"[5, 6, 7]",0.5335208321728879,0.010274461719395158,2.0612607419979594,0.10865016099063647,536228080.8505684,249247729.11825368
topology_17_prestress,amp=1,3,1,5,4,"[5, 6, 7, 8]",0.5834334707873603,0.008518439599078088,0.3340507117530413,0.0032558950956612,1006.2902000672481,17.17540324535074
topology_17_prestress,amp=1,3,2,5,14,"[5, 6, 7, 8]",0.5663364330458429,0.009008134844504969,0.3549978042635698,0.003730537671761818,1495855.861753715,59899.12691361308
topology_17_prestress,amp=1,3,3,5,34,"[5, 6, 7, 8]",0.5182557800835434,0.010441223046173877,0.42808228632208883,0.01120315723400524,790407045.4807684,863315555.0804778
topology_17_prestress,amp=1,3,4,5,69,"[5, 6, 7, 8]",0.4647267449183051,0.00914601761588139,2.933582673300163,0.1409530851785485,2887251758.688513,3973666608.214061
topology_17_prestress,amp=1,4,1,5,5,"[5, 6, 7, 8, 9]",0.5694927760570355,0.007745107321695436,0.34293844179394384,0.0038123510294306505,1804.1565479782282,53.92460447671058
