topology,amplitude,sample,H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,num_train_rows,num_validation_rows,terms_per_train_row,condition_number,overparameterized,ill_conditioned,condition_warning,train_nmse_x,train_nmse_y,train_nmse_2d,validation_nmse_x,validation_nmse_y,validation_nmse_2d,train_validation_gap_2d
topology_17_prestress,amp=1,sample_0,0,1,5,1,[0],[5],1,299,299,0.0033444816053511705,1.0,False,False,,0.5230566633434093,0.9848662082129155,0.6106035252988552,0.28182598990468605,0.9304591793259698,0.3490141113687224,-0.2615894139301328
topology_17_prestress,amp=1,sample_0,1,1,5,1,"[0, 1]","[5, 6]",2,299,299,0.006688963210702341,74.36838853561122,False,False,,0.517586198362265,0.9612124784362055,0.60168599476733,0.2742141476350074,0.9319770576105535,0.3423479634969511,-0.25933803127037885
topology_17_prestress,amp=1,sample_0,2,1,5,1,"[0, 1, 2]","[5, 6, 7]",3,299,299,0.010033444816053512,371.98397482307735,False,False,,0.48914608997662873,0.9532683467197615,0.5771313808675365,0.25470374587440425,0.9368955188336833,0.32536800488996426,-0.2517633759775722
topology_17_prestress,amp=1,sample_0,3,1,5,1,"[0, 1, 2, 3]","[5, 6, 7, 8]",4,299,299,0.013377926421404682,998.1900361176764,False,False,,0.48716029288791635,0.9330760955794045,0.5716941221594931,0.25749112563200344,0.9350059418889908,0.32767092603502185,-0.24402319612447126
topology_17_prestress,amp=1,sample_0,4,1,5,1,"[0, 1, 2, 3, 4]","[5, 6, 7, 8, 9]",5,299,299,0.016722408026755852,1772.9758562527986,False,False,,0.4743379066938552,0.9201982623477909,0.5588612246752339,0.2651993957452453,0.9452459862889919,0.3356414478508784,-0.2232197768243555
topology_17_prestress,amp=1,sample_0,5,1,5,1,"[0, 1, 2, 3, 4, 5]","[5, 6, 7, 8, 9, 10]",6,299,299,0.020066889632107024,2711.3155553196452,False,False,,0.4515703232440895,0.9177833490491575,0.5399519685899434,0.2665763326851611,0.949402880308315,0.3373063442985134,-0.20264562429143002
topology_17_prestress,amp=1,sample_0,6,1,5,1,"[0, 1, 2, 3, 4, 5, 6]","[5, 6, 7, 8, 9, 10, 11]",7,299,299,0.023411371237458192,3945.0004149548936,False,False,,0.4479976294866682,0.8755243012240247,0.5290453664351058,0.2677256764426964,0.9557293780396269,0.33899195918077846,-0.19005340725432734
topology_17_prestress,amp=1,sample_0,7,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7]","[5, 6, 7, 8, 9, 10, 11, 12]",8,299,299,0.026755852842809364,5128.409706391046,False,False,,0.4338573885947863,0.8707876537473213,0.5166877978672363,0.25613481357672163,0.9524350116237539,0.328260481897143,-0.18842731597009327
topology_17_prestress,amp=1,sample_0,8,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5, 6, 7, 8, 9, 10, 11, 12, 13]",9,299,299,0.030100334448160536,6270.494164817978,False,False,,0.433857359667681,0.8435308289283289,0.5115206021420327,0.2561537235753887,0.9700330221457668,0.330100308186333,-0.18142029395569964
topology_17_prestress,amp=1,sample_0,9,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",10,299,299,0.033444816053511704,7251.616539073753,False,False,,0.4337435601481994,0.8260469446334443,0.5081138944726855,0.2564164037053466,0.9800329115229964,0.33137160891772843,-0.17674228555495708
topology_17_prestress,amp=1,sample_0,10,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",11,299,299,0.03678929765886288,8132.86336687591,False,False,,0.43372150539582577,0.8202094920979545,0.5069893942802153,0.2563934910795425,0.9804556470305446,0.33139485837767985,-0.17559453590253543
topology_17_prestress,amp=1,sample_0,11,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",12,299,299,0.04013377926421405,9001.389662993934,False,False,,0.4327338288041716,0.7914520357060844,0.5007373027241856,0.256268889138151,0.9788340964734475,0.3311151962773916,-0.16962210644679399
topology_17_prestress,amp=1,sample_0,12,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",13,299,299,0.043478260869565216,9864.852504023436,False,False,,0.4196189250732965,0.7833417759308202,0.4885711469747791,0.25002576933895077,0.9805944575443862,0.3257011102889922,-0.16287003668578692
topology_17_prestress,amp=1,sample_0,13,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",14,299,299,0.046822742474916385,10850.950650227736,False,False,,0.4191420604534832,0.77265914737396,0.48615953973980597,0.2523939554801567,0.9909762429199165,0.3288993783432133,-0.15726016139659266
topology_17_prestress,amp=1,sample_0,14,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",15,299,299,0.05016722408026756,11954.989648006755,False,False,,0.409051335634836,0.727267095940146,0.4693766181002909,0.26161014183994086,0.9997998739463573,0.3380749021901194,-0.13130171591017153
topology_17_prestress,amp=1,sample_0,15,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,299,299,0.05351170568561873,13057.528685062267,False,False,,0.4072790634243722,0.7257768819973099,0.4676578166690559,0.26275519691305793,1.000310928103755,0.3391542848134939,-0.12850353185556201
topology_17_prestress,amp=1,sample_0,16,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",17,299,299,0.056856187290969896,14147.53886692248,False,False,,0.4052140839715501,0.6896408787146825,0.45913387322762306,0.26221727927520355,0.9873359463077843,0.3373280843820053,-0.12180578884561777
topology_17_prestress,amp=1,sample_0,17,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",18,299,299,0.06020066889632107,15116.161127301591,False,False,,0.4025252869081706,0.6869399762627569,0.45644278130310123,0.2580448191614224,0.981503919832824,0.3329837194874154,-0.12345906181568583
topology_17_prestress,amp=1,sample_0,18,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",19,299,299,0.06354515050167224,15957.76771005401,False,False,,0.40116589085507615,0.6769605298917615,0.45344925195065366,0.2620354198671783,0.9959997226119776,0.3380624926832986,-0.11538675926735509
topology_17_prestress,amp=1,sample_0,19,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",20,299,299,0.06688963210702341,16715.868916722335,False,False,,0.3985965066631698,0.6519996084289534,0.4466350251733051,0.2614429908003109,0.9815994091297974,0.3360397855634613,-0.1105952396098438
topology_17_prestress,amp=1,sample_0,20,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",21,299,299,0.07023411371237458,17401.700531362236,False,False,,0.39651452719500846,0.6518997412934997,0.44492880172123195,0.26099539888273887,0.9808823939525788,0.3355642856649383,-0.10936451605629366
topology_17_prestress,amp=1,sample_0,21,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",22,299,299,0.07357859531772576,18053.337064668773,False,False,,0.39538517048429594,0.6246831764281806,0.43885400107916966,0.26093984723566327,0.9796038264736647,0.33538204895517665,-0.10347195212399302
topology_17_prestress,amp=1,sample_0,22,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",23,299,299,0.07692307692307693,18678.183752901936,False,False,,0.3870622763157734,0.6072259524872168,0.42879947984375844,0.25742668002602886,0.9672704107252628,0.33095524374515795,-0.09784423609860049
topology_17_prestress,amp=1,sample_0,23,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",24,299,299,0.0802675585284281,19283.164055048226,False,False,,0.3870145893640567,0.5979141315093026,0.4269955583755869,0.25792526074442684,0.9744392727476052,0.3321447599225456,-0.09485079845304129
topology_17_prestress,amp=1,sample_0,24,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",25,299,299,0.08361204013377926,19840.454069334064,False,False,,0.37790658590163434,0.5665528148669433,0.41366891595548394,0.26466323477879833,0.9733631956177945,0.33807332206232443,-0.07559559389315951
topology_17_prestress,amp=1,sample_0,25,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",26,299,299,0.08695652173913043,20349.167633393386,False,False,,0.37675942634844073,0.5665527158732163,0.4127392087125984,0.26393182545381244,0.9733291276971372,0.33741414625813276,-0.07532506245446563
