H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,num_topology_sample_pairs,overparameterized_fraction,ill_conditioned_fraction,num_train_rows_mean,num_train_rows_std,num_validation_rows_mean,num_validation_rows_std,terms_per_train_row_mean,terms_per_train_row_std,condition_number_mean,condition_number_std,train_nmse_x_mean,train_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,train_validation_gap_2d_mean,train_validation_gap_2d_std
0,1,5,1,[0],[5],1,4,0.0,0.0,299.0,0.0,299.0,0.0,0.0033444816053511705,0.0,1.0,0.0,0.5430277154904669,0.012801509682215256,0.9853096234222529,0.00040443527539993596,0.6256511207669928,0.009911314133016755,0.2845011232597169,0.0015693854563200034,0.9346225383497296,0.0024481086000792715,0.3543914727319945,0.0031135566721296327,-0.27125964803499836,0.00739632642616473
1,1,5,1,"[0, 1]","[5, 6]",2,4,0.0,0.0,299.0,0.0,299.0,0.0,0.006688963210702341,0.0,74.33957944203351,0.16905554545945145,0.5385830039502418,0.013318002058680044,0.9630747326851071,0.0011888370940756887,0.617883339677843,0.010497487697608212,0.2771321052734539,0.001708179764241701,0.9356750452963084,0.0022856164438896597,0.3479269709335729,0.0032312368688162205,-0.26995636874427015,0.007810609818988683
2,1,5,1,"[0, 1, 2]","[5, 6, 7]",3,4,0.0,0.0,299.0,0.0,299.0,0.0,0.010033444816053512,0.0,370.4746547987734,2.1998444408704967,0.507620134108476,0.011580228085597803,0.9550870880855007,0.0010539342686256233,0.5912095765095717,0.009005328621714458,0.25749216223788046,0.0016328337096849189,0.9379902382175368,0.0008139350800880692,0.3306438133567534,0.0030710104071154246,-0.2605657631528183,0.006391312608035511
3,1,5,1,"[0, 1, 2, 3]","[5, 6, 7, 8]",4,4,0.0,0.0,299.0,0.0,299.0,0.0,0.013377926421404682,0.0,1009.2894327526944,17.99350194634864,0.5047644723558126,0.011164301430890793,0.9351319276179119,0.0011998458431762198,0.5851589528858969,0.008707371827484824,0.2613072397494444,0.0022187964212326207,0.9367567532595278,0.001423201680491658,0.3339158594353406,0.003627690774375904,-0.25124309345055634,0.00572287039217045
4,1,5,1,"[0, 1, 2, 3, 4]","[5, 6, 7, 8, 9]",5,4,0.0,0.0,299.0,0.0,299.0,0.0,0.016722408026755852,0.0,1810.4954780155845,58.59964624355347,0.49024760078020263,0.010033591716397922,0.9231175068749785,0.0016981103351902016,0.5711072756162312,0.007870852250392468,0.2705082346849321,0.003136306830390595,0.943559483646904,0.0013654146155525283,0.34285239674006085,0.004257993272424524,-0.2282548788761704,0.004395632706848265
5,1,5,1,"[0, 1, 2, 3, 4, 5]","[5, 6, 7, 8, 9, 10]",6,4,0.0,0.0,299.0,0.0,299.0,0.0,0.020066889632107024,0.0,2786.428769569886,132.02544276840092,0.4667585548407023,0.009718088048196762,0.9199216083746183,0.001313598853153928,0.5514086452817338,0.007494651553247046,0.2709008061767452,0.0025866355204344628,0.9472645435930571,0.0016850951447117464,0.34360177519854385,0.0037523854332950444,-0.20780687008319,0.004097162218567139
6,1,5,1,"[0, 1, 2, 3, 4, 5, 6]","[5, 6, 7, 8, 9, 10, 11]",7,4,0.0,0.0,299.0,0.0,299.0,0.0,0.023411371237458192,0.0,4101.6584048139475,270.57302984309086,0.4614511441238486,0.009034980768089973,0.8786070595595338,0.0018061686501292934,0.539373675810005,0.007168204435241452,0.2726233619781975,0.0029025732075725237,0.9496423010269232,0.0039960290167163175,0.3453884316896405,0.0037876715399348415,-0.19398524412036433,0.003871835239078076
7,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7]","[5, 6, 7, 8, 9, 10, 11, 12]",8,4,0.0,0.0,299.0,0.0,299.0,0.0,0.026755852842809364,0.0,5401.842251318624,434.220051831036,0.4458692013129915,0.007844827212846574,0.8729522584547762,0.0012743603647240686,0.5256454590762143,0.006058282598568189,0.2603722660841207,0.0024923746436613177,0.9456367063095532,0.004090123301014732,0.3340237919339703,0.003390871048236889,-0.1916216671422441,0.003257203233574414
8,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5, 6, 7, 8, 9, 10, 11, 12, 13]",9,4,0.0,0.0,299.0,0.0,299.0,0.0,0.030100334448160536,0.0,6656.107907967961,614.3706733046622,0.44583175249158286,0.007820020622312776,0.8478705812186869,0.002511500182749826,0.5209282080678903,0.006266267720609043,0.26093088641265716,0.002833460717734111,0.9620902295942955,0.004605726336574992,0.3362889010061518,0.003663458469308059,-0.18463930706173848,0.0032335349697793438
9,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",10,4,0.0,0.0,299.0,0.0,299.0,0.0,0.033444816053511704,0.0,7746.379147465688,763.8718408949976,0.44521140106894486,0.007510286909973177,0.8302657206254417,0.002599510197311847,0.5171354727571829,0.0060251503067977755,0.26174297401196445,0.0031820476897646923,0.9687425890556428,0.006587375449465574,0.33772390657573814,0.003811999052432531,-0.17941156618144471,0.002948942663361826
10,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",11,4,0.0,0.0,299.0,0.0,299.0,0.0,0.03678929765886288,0.0,8703.94142084325,887.991119170319,0.44512035165202846,0.007482594442788265,0.8251993576977074,0.0030575547808365106,0.5161144573233852,0.0060875434733039776,0.26169177190528253,0.0031751696347823532,0.9699632543651538,0.006229477508199251,0.33781069692550786,0.0038744733514996165,-0.17830376039787738,0.0029643191397331803
11,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",12,4,0.0,0.0,299.0,0.0,299.0,0.0,0.04013377926421405,0.0,9659.25991974325,1009.7869583440101,0.44356071235239936,0.007205255824508399,0.7984068250302649,0.0043300083312190155,0.5098397362677133,0.006081028869499749,0.26169560499671324,0.0032705741729133634,0.9676305877041207,0.006691309094325332,0.33756233644693945,0.003924577778113142,-0.17227739982077386,0.003034384629577844
12,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",13,4,0.0,0.0,299.0,0.0,299.0,0.0,0.043478260869565216,0.0,10594.610396250284,1130.1021961314366,0.4288195808225144,0.006229194867843602,0.7902986458255524,0.004274566993173182,0.49633610994209176,0.005271921145806982,0.25592796116310335,0.0034995284184517203,0.9671094349306626,0.007927510724931164,0.33235505987875225,0.003994684809220451,-0.16398105006333946,0.0025021041640104886
13,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",14,4,0.0,0.0,299.0,0.0,299.0,0.0,0.046822742474916385,0.0,11648.897413639701,1266.7742817872643,0.42834323564209487,0.006259626120677401,0.7816667466089848,0.005298658546935496,0.4943344928506499,0.005498506533766554,0.25839715018928844,0.003490772645711251,0.976099574612104,0.008705235370886017,0.33552340431686434,0.003896695757969706,-0.15881108853378562,0.0026121846587280543
14,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",15,4,0.0,0.0,299.0,0.0,299.0,0.0,0.05016722408026756,0.0,12820.336520999033,1420.0883713989847,0.41682810180460594,0.005322119648074464,0.7374039695981727,0.0059698700803787795,0.4767008964551128,0.004970490585884257,0.2689630704403739,0.004395999618676785,0.9793919695950923,0.011851464499730851,0.3452981203416265,0.004383898080157014,-0.1314027761134863,0.002219419601854207
15,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,4,0.0,0.0,299.0,0.0,299.0,0.0,0.05351170568561873,0.0,13968.99943167671,1585.4069244662876,0.4147586883689222,0.005156960244336049,0.7363591679630382,0.006228257254039633,0.4748222351542943,0.004898336190449022,0.27009128345734584,0.004414173427147113,0.97999938395679,0.011784403070922348,0.34637042183995875,0.004404688708130313,-0.12845181331433558,0.0022320183893581986
16,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",17,4,0.0,0.0,299.0,0.0,299.0,0.0,0.056856187290969896,0.0,15119.410124577658,1780.3484032060924,0.41188382705691146,0.0047796620782565545,0.7020951945077059,0.007238673973564997,0.4660818499907948,0.0047416950899156545,0.2695908927422608,0.004485565292178442,0.9679296899652267,0.011454539473258363,0.34462758132232857,0.004521478299137367,-0.12145426866846624,0.0023599673307644815
17,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",18,4,0.0,0.0,299.0,0.0,299.0,0.0,0.06020066889632107,0.0,16253.36532933935,2071.9489276663057,0.4088763685325732,0.004418838236673423,0.6992210882240868,0.007158885983102582,0.4630993604753579,0.004428155478633762,0.26484131225359003,0.004100818827423997,0.9612601678677112,0.011897804244087219,0.33967123755459694,0.004122129309076441,-0.12342812292076089,0.0023201810288486836
18,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",19,4,0.0,0.0,299.0,0.0,299.0,0.0,0.06354515050167224,0.0,17281.65003769309,2370.3698447017623,0.40755460859154713,0.004374740227764627,0.6900897412996027,0.00763589365679901,0.4603181916319944,0.004464649694149915,0.26885536770209895,0.004087610532601578,0.9748728901876159,0.012323302535457274,0.34471602117764527,0.004064112648298191,-0.11560217045434906,0.001781627452689626
19,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",20,4,0.0,0.0,299.0,0.0,299.0,0.0,0.06688963210702341,0.0,18216.99006819348,2651.361847325682,0.4040368449712393,0.003963709007453178,0.6661300442328837,0.008242796377303898,0.4529807946380107,0.004314632852017378,0.26822562069554556,0.004169728116326856,0.9604093220508227,0.012607069514539979,0.34259919139370654,0.004159361861628019,-0.11038160324430416,0.002459576036933899
20,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",21,4,0.0,0.0,299.0,0.0,299.0,0.0,0.07023411371237458,0.0,19144.267266065322,2978.8455854213853,0.4020317533258199,0.0038713908183270465,0.6660249476796593,0.008233743184880711,0.45133080962737854,0.004237718972444657,0.2673556523368018,0.003852940726343987,0.9595375084681333,0.012702334987052396,0.3417294053466385,0.003850112444210301,-0.10960140428074004,0.0021264406535642815
21,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",22,4,0.0,0.0,299.0,0.0,299.0,0.0,0.07357859531772576,0.0,20029.46854697296,3246.2350778120635,0.40074134494044833,0.0037701977262987007,0.6398109705253506,0.008810075659463795,0.4453842333162722,0.0043050443320922045,0.26726858434888356,0.0038039232476586426,0.9590375676548037,0.012076985994797418,0.341598776216661,0.003804796028792162,-0.10378545709961118,0.0018696908410145022
