topology,amplitude,sample,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,exponents,coefficient_x,coefficient_y,p_alpha_norm_sq,c_alpha_x,c_alpha_y,c_alpha
topology_17_prestress,amp=1,sample_0,0,P1(u[target-7]),1,2,7,0 0 1,114.9606704711914,-14.63740348815918,296.48870849609375,0.877480779440988,0.09303379788264418,0.7734418614392954
topology_17_prestress,amp=1,sample_0,1,P1(u[target-6]),1,1,6,0 1 0,-241.87742614746094,-7.140462875366211,296.313720703125,3.8821589848780627,0.02212631015198737,3.370214095840572
topology_17_prestress,amp=1,sample_0,2,P1(u[target-5]),1,0,5,1 0 0,228.0035858154297,10.45975399017334,296.03717041015625,3.4463586975491514,0.047434430171526765,2.995569273329328
topology_17_prestress,amp=1,sample_2,0,P1(u[target-7]),1,2,7,0 0 1,117.67369079589844,-16.762887954711914,301.33245849609375,0.9268521382864613,0.12080082230115974,0.8182600198814983
topology_17_prestress,amp=1,sample_2,1,P1(u[target-6]),1,1,6,0 1 0,-244.6095428466797,-3.2529208660125732,301.0870361328125,4.001701033817832,0.0045453292171451845,3.463199828064591
topology_17_prestress,amp=1,sample_2,2,P1(u[target-5]),1,0,5,1 0 0,226.9572296142578,8.874312400817871,300.7160949707031,3.4407293109472628,0.03378721462462479,2.981742330607828
topology_17_prestress,amp=1,sample_3,0,P1(u[target-7]),1,2,7,0 0 1,121.03691864013672,-19.545549392700195,296.3307800292969,0.9552695759747674,0.15818280405014254,0.8468222993810139
topology_17_prestress,amp=1,sample_3,1,P1(u[target-6]),1,1,6,0 1 0,-250.1466522216797,0.9250585436820984,296.0458068847656,4.076258979394638,0.00035398437501505303,3.521713587432528
topology_17_prestress,amp=1,sample_3,2,P1(u[target-5]),1,0,5,1 0 0,230.02984619140625,7.3197021484375,295.68426513671875,3.442786224066461,0.022136133928952296,2.9773912388255455
topology_17_prestress,amp=1,sample_4,0,P1(u[target-7]),1,2,7,0 0 1,119.05587005615234,-18.462581634521484,297.9273681640625,0.9325475440424137,0.14320466512372348,0.8256718769253165
topology_17_prestress,amp=1,sample_4,1,P1(u[target-6]),1,1,6,0 1 0,-247.2047576904297,-0.031351953744888306,297.6021423339844,4.016138294456757,4.1250306647590665e-07,3.472360138180692
topology_17_prestress,amp=1,sample_4,2,P1(u[target-5]),1,0,5,1 0 0,228.78451538085938,7.261462688446045,297.2767333984375,3.4361580428188407,0.02210400902073068,2.973901003221761
