H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,num_topology_sample_pairs,overparameterized_fraction,condition_warning,selected_alpha,selected_alpha_std_across_samples,min_training_rows_per_fold,min_training_rows_per_fold_std_across_samples,terms_per_training_row,terms_per_training_row_std_across_samples,train_nmse_x_mean,train_nmse_x_mean_std_across_samples,val_nmse_x_mean,val_nmse_x_mean_std_across_samples,train_nmse_y_mean,train_nmse_y_mean_std_across_samples,val_nmse_y_mean,val_nmse_y_mean_std_across_samples,train_nmse_2d_mean,train_nmse_2d_mean_std_across_samples,val_nmse_2d_mean,val_nmse_2d_mean_std_across_samples,train_validation_gap_2d,train_validation_gap_2d_std_across_samples
0,1,5,1,[0],[5],1,5,0.0,,1e-10,0.0,448.0,0.0,0.002232142857142857,0.0,0.3678145825722987,0.005821722072276345,0.4820473701041797,0.005143333290180066,0.9547561086001786,0.0014665792257637757,0.9674895849446397,0.002886078742799598,0.4484357917810781,0.005774846839844272,0.559265293411795,0.004368470136780718,0.11082950163071685,0.002962456620998253
1,1,5,1,"[0, 1]","[5, 6]",2,5,0.0,,1.0,0.0,447.0,0.0,0.0044742729306487695,0.0,0.36017713652449623,0.005819532133986646,0.4760235694141947,0.005225428953167805,0.9432281981170814,0.0013842799415916976,0.9566144754299785,0.002651425591803801,0.4401046834295067,0.005687160833649752,0.5519636157257555,0.004359249184781636,0.11185893229624884,0.002976241199458401
2,1,5,1,"[0, 1, 2]","[5, 6, 7]",3,5,0.0,,0.01,0.0,447.0,0.0,0.006711409395973154,0.0,0.3380104249825152,0.00483583727445487,0.4465411409356446,0.004254773896091453,0.9389560215186661,0.0011048010939043488,0.9555603878887975,0.002287953516233827,0.42033960012747407,0.004818293394439687,0.5269251879186648,0.0035704281813003806,0.1065855877911908,0.0031713036470891933
3,1,5,1,"[0, 1, 2, 3]","[5, 6, 7, 8]",4,5,0.0,,0.00402000004,0.004882786056996559,446.0,0.0,0.008968609865470852,0.0,0.3371073112485416,0.005221428643583727,0.44609360443117574,0.004799487759681705,0.9256670148664826,0.0014393675533488292,0.9443621063998691,0.0027019795645972355,0.41758488220750933,0.005186924895436302,0.5239894249898113,0.004112351380432299,0.10640454278230194,0.002704136161635815
4,1,5,1,"[0, 1, 2, 3, 4]","[5, 6, 7, 8, 9]",5,5,0.0,,0.01,0.0,445.0,0.0,0.011235955056179775,0.0,0.33412529751649905,0.005014179067191948,0.4450600780271735,0.005436878844661006,0.9212328379257618,0.0011265334691875628,0.9444820160148997,0.0030317008543253466,0.41419366352213594,0.004900928568568039,0.5227693415221621,0.004600759895386181,0.10857567800002624,0.0022459447793120326
5,1,5,1,"[0, 1, 2, 3, 4, 5]","[5, 6, 7, 8, 9, 10]",6,5,0.0,,0.01,0.0,444.0,0.0,0.013513513513513514,0.0,0.324308711564025,0.0048450754330416615,0.433295936220497,0.004879277800663071,0.9205862888742791,0.0009947123626992773,0.9460984836969315,0.0023579854384723088,0.40560935604097176,0.004830497666011958,0.5134801050585057,0.004128187771745991,0.10787074901753395,0.0026554780878927783
6,1,5,1,"[0, 1, 2, 3, 4, 5, 6]","[5, 6, 7, 8, 9, 10, 11]",7,5,0.0,,0.01,0.0,444.0,0.0,0.015765765765765764,0.0,0.3234655388615525,0.004707189931200172,0.4345948504361695,0.004746616505565631,0.8994194666568329,0.0006803670566570048,0.9282890379832225,0.0029038065069112336,0.4017543796890302,0.00457849321678541,0.5104361302109086,0.0038578124649857833,0.10868175052187834,0.002527036658298439
7,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7]","[5, 6, 7, 8, 9, 10, 11, 12]",8,5,0.0,,0.01,0.0,443.0,0.0,0.01805869074492099,0.0,0.312935213626265,0.0039115894212936415,0.4165223019326083,0.0036851017551744855,0.8953528026681756,0.0005213636599308823,0.9233385027860018,0.0032788912649190185,0.39197557495988683,0.0038631899650458414,0.49458328941389523,0.0029637281166515687,0.10260771445400843,0.002885350790567747
8,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5, 6, 7, 8, 9, 10, 11, 12, 13]",9,5,0.0,,0.01,0.0,442.0,0.0,0.020361990950226245,0.0,0.3118500187955645,0.004200994870522768,0.4160465203725253,0.00416028532538926,0.8845644240317231,0.0008883503038399298,0.9159044639717038,0.0022587456235723365,0.3894913918208583,0.0041971830809931256,0.4926611652267379,0.003463771718275195,0.1031697734058796,0.0024230653967184284
9,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",10,5,0.0,,0.01,0.0,441.0,0.0,0.022675736961451247,0.0,0.311031931923573,0.0037602752838198153,0.4166251510087178,0.00412645937782262,0.8751158991545795,0.0007287875547740348,0.9117780777171424,0.003317711058376614,0.38725541991432777,0.0037060250332737977,0.4915213435864221,0.0032963763832969018,0.10426592367209438,0.0022900875949596897
10,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",11,5,0.0,,0.01,0.0,441.0,0.0,0.024943310657596373,0.0,0.3101007509799694,0.004023859438697941,0.41830408061344687,0.004321666841540274,0.872700746067866,0.0010821747740334892,0.9117185786790752,0.0028634937042075446,0.3860605097469515,0.004083265489844951,0.4928684805228357,0.003657806397661405,0.1068079707758843,0.0022083781748201566
11,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",12,5,0.0,,0.01,0.0,440.0,0.0,0.02727272727272727,0.0,0.3095495400024298,0.004152238928266336,0.41935814480863237,0.0047720621767291015,0.8570614729711152,0.0011323431208912734,0.9003609326605992,0.0018979370949013183,0.3833247334404148,0.004115628884951014,0.49103371659914224,0.004006423175571291,0.10770898315872746,0.0020742446816240006
12,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",13,5,0.0,,0.01,0.0,439.0,0.0,0.029612756264236907,3.469446951953614e-18,0.30222629369581605,0.003792774642688058,0.4090428739807955,0.003969488079393272,0.8522363694207055,0.0008980999662257932,0.9027751385707141,0.0023496353562846893,0.376204950870983,0.00375883216829385,0.48246076587843884,0.00327835171282794,0.10625581500745587,0.0023493709768876033
13,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",14,5,0.0,,0.01,0.0,438.0,0.0,0.0319634703196347,0.0,0.30098193524154065,0.0038712870096049203,0.4146581317788165,0.003847908286951131,0.8495308173686802,0.0014040351003992235,0.900643379105472,0.002454016459131342,0.3747765976694623,0.00395377736676997,0.4866917127292981,0.003344270175816077,0.11191511505983578,0.002587553342580632
14,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",15,5,0.0,,0.01,0.0,438.0,0.0,0.03424657534246575,0.0,0.29995160156985806,0.0038406912598356237,0.4179913371453884,0.0042576432398656276,0.8268533926285327,0.0006745623136608464,0.8839361214222455,0.003637058472105621,0.37059902850045107,0.003735433196501917,0.4853896528631867,0.00347462537228541,0.11479062436273568,0.0023411423140199026
15,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,5,0.0,,0.01,0.0,437.0,0.0,0.036613272311212815,0.0,0.29963584196920034,0.003960320842052439,0.4196189460971234,0.004565548777529152,0.8255839092366788,0.001058067544993546,0.8846852596704338,0.002592204381020736,0.3700466589540834,0.0039333108924434635,0.4865366883670399,0.00383211254884368,0.11649002941295654,0.002304191830452468
16,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",17,5,0.0,,0.01,0.0,436.0,0.0,0.0389908256880734,0.0,0.2986898704027686,0.003663571389603627,0.41952679750539534,0.003991554912005313,0.8028462259482811,0.0020295832663061904,0.866415652515452,0.0031190035236928594,0.3660506328814512,0.0037124002498503117,0.482299066498006,0.0034223869830052192,0.11624843361655487,0.0025922743054361866
