topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,coefficient_x,coefficient_y,exponents
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,-1,intercept,0,,,,1191.1500244140625,1191.3388671875,
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,0,P1(u[target-32]),1,27,32,27,28.299144744873047,-35.150779724121094,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,1,P1(u[target-31]),1,26,31,26,-52.245330810546875,36.64301681518555,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,2,P1(u[target-30]),1,25,30,25,0.5565325617790222,8.62818717956543,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,3,P1(u[target-29]),1,24,29,24,5.2414398193359375,25.628633499145508,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,4,P1(u[target-28]),1,23,28,23,47.207515716552734,-49.072914123535156,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,5,P1(u[target-27]),1,22,27,22,6.681340217590332,-20.56890869140625,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,6,P1(u[target-26]),1,21,26,21,-61.488037109375,28.269697189331055,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,7,P1(u[target-25]),1,20,25,20,7.700421333312988,24.263025283813477,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,8,P1(u[target-24]),1,19,24,19,1.5254019498825073,10.589448928833008,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,9,P1(u[target-23]),1,18,23,18,54.629638671875,-45.974693298339844,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,10,P1(u[target-22]),1,17,22,17,-20.734752655029297,5.456407070159912,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,11,P1(u[target-21]),1,16,21,16,-13.811206817626953,-27.599647521972656,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,12,P1(u[target-20]),1,15,20,15,-33.891151428222656,61.47753143310547,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,13,P1(u[target-19]),1,14,19,14,32.995147705078125,12.57325553894043,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,14,P1(u[target-18]),1,13,18,13,19.4676570892334,-51.56752014160156,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,15,P1(u[target-17]),1,12,17,12,27.461946487426758,4.684354305267334,0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
topology_17_prestress,amp=1,sample_2,10,0,5,27,1,16,P1(u[target-16]),1,11,16,11,-71.32395935058594,-20.51595115661621,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
