topology,amplitude,sample,H,D,fold,selected_alpha,number_of_terms,min_training_rows_per_fold,terms_per_training_row,overparameterized,condition_warning,train_nmse_x,val_nmse_x,train_nmse_y,val_nmse_y,train_nmse_2d,val_nmse_2d
topology_10_prestress,amp=2.5,sample_0,0,1,0,0.0001,1,448,0.002232142857142857,False,,0.28884294430407165,0.42498125608777393,0.49720654766584005,0.7255074316465664,0.2954713539747699,0.43655109376577705
topology_10_prestress,amp=2.5,sample_0,0,1,1,0.0001,1,448,0.002232142857142857,False,,0.26019453724410607,0.5912429276602812,0.5162971136772991,0.6555227423497796,0.26819242386582737,0.5937366856849797
topology_10_prestress,amp=2.5,sample_0,0,1,2,0.0001,1,448,0.002232142857142857,False,,0.3748198079693828,0.23741079176373325,0.6270727135866521,0.4400732059573645,0.3838987175024951,0.24285204379827607
topology_10_prestress,amp=2.5,sample_0,0,1,3,0.0001,1,448,0.002232142857142857,False,,0.3254667091497154,0.3867213328787658,0.5464263525742086,0.6460241160726293,0.3324329991295589,0.3978205637334049
topology_10_prestress,amp=2.5,sample_0,1,1,0,0.01,2,447,0.0044742729306487695,False,,0.2832382574545769,0.41776829266092663,0.4796389025742971,0.6981947822069944,0.28948674337105107,0.42858081042237295
topology_10_prestress,amp=2.5,sample_0,1,1,1,0.01,2,447,0.0044742729306487695,False,,0.25417884588111955,0.5874277803518976,0.49562471667450914,0.6435652812375577,0.2617181284508639,0.5896070021963516
topology_10_prestress,amp=2.5,sample_0,1,1,2,0.01,2,447,0.0044742729306487695,False,,0.36913898083234553,0.23116317549827606,0.6008369731629994,0.43215584522685824,0.37747719129395646,0.23655959682010985
topology_10_prestress,amp=2.5,sample_0,1,1,3,0.01,2,447,0.0044742729306487695,False,,0.3185035994261137,0.3830902148868329,0.5300017849082918,0.6146606379858595,0.3251707177894969,0.39300238610776816
topology_10_prestress,amp=2.5,sample_0,2,1,0,0.01,3,447,0.006711409395973154,False,,0.28274516462045374,0.41913063405781065,0.44829211113788914,0.6748470330840598,0.2880120402114121,0.429018414268943
topology_10_prestress,amp=2.5,sample_0,2,1,1,0.01,3,447,0.006711409395973154,False,,0.25393405843154987,0.5858711704654386,0.4645304749571352,0.6212985948294081,0.26051084402653035,0.58724644039817
topology_10_prestress,amp=2.5,sample_0,2,1,2,0.01,3,447,0.006711409395973154,False,,0.36884864227126485,0.23041472734892923,0.5622326327806252,0.4124507848556194,0.3758086893291398,0.2353021855005036
topology_10_prestress,amp=2.5,sample_0,2,1,3,0.01,3,447,0.006711409395973154,False,,0.3182111490560533,0.38227606219830707,0.5095902000567303,0.554996689385268,0.3242457436263948,0.38966921891993345
topology_10_prestress,amp=2.5,sample_0,3,1,0,0.01,4,446,0.008968609865470852,False,,0.28169017182630723,0.42273015370900274,0.4458879038443584,0.6678671386370875,0.28691540393244036,0.43222573033216954
topology_10_prestress,amp=2.5,sample_0,3,1,1,0.01,4,446,0.008968609865470852,False,,0.25431290397443085,0.5802341058440443,0.46330263330461524,0.6118890860581835,0.260836096413998,0.5814667718279224
topology_10_prestress,amp=2.5,sample_0,3,1,2,0.01,4,446,0.008968609865470852,False,,0.3695988853692274,0.2284709473972732,0.5593525874237307,0.4087682745928254,0.3764630800496078,0.2332540470266179
topology_10_prestress,amp=2.5,sample_0,3,1,3,0.01,4,446,0.008968609865470852,False,,0.315792386049384,0.38408379840751894,0.5004013991716307,0.5712540546356946,0.3215846003230093,0.39215925614312913
topology_10_prestress,amp=2.5,sample_0,4,1,0,0.01,5,445,0.011235955056179775,False,,0.280047548692194,0.4273407732513709,0.44382331029973804,0.661021008736629,0.28525931897516654,0.43637752496209203
topology_10_prestress,amp=2.5,sample_0,4,1,1,0.01,5,445,0.011235955056179775,False,,0.25282937462997973,0.5870898407472184,0.4604647858485359,0.6055845711546118,0.2593081137240028,0.5878113458024332
topology_10_prestress,amp=2.5,sample_0,4,1,2,0.01,5,445,0.011235955056179775,False,,0.36945605251141284,0.2279873934134635,0.5499586102180719,0.4209884831054092,0.37598950583866486,0.2331102403656812
topology_10_prestress,amp=2.5,sample_0,4,1,3,0.01,5,445,0.011235955056179775,False,,0.3156921430306649,0.3823650941980441,0.49904922571302146,0.5635336799102024,0.32144503031905386,0.3901816099544543
topology_10_prestress,amp=2.5,sample_0,5,1,0,0.01,6,444,0.013513513513513514,False,,0.2781349295565251,0.4185245711621662,0.44050718673032346,0.6647754531402202,0.2832990978293776,0.4280184289923613
topology_10_prestress,amp=2.5,sample_0,5,1,1,0.01,6,444,0.013513513513513514,False,,0.251200911387674,0.5776175690700436,0.4607041541094636,0.5902745859339724,0.25773717686122644,0.5781103152464179
topology_10_prestress,amp=2.5,sample_0,5,1,2,0.01,6,444,0.013513513513513514,False,,0.3645782890191057,0.22843993958577866,0.5443240549505421,0.4277936554966657,0.37108112892924017,0.23373140492204908
