H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,num_topology_sample_pairs,overparameterized_fraction,condition_warning,selected_alpha,selected_alpha_std_across_samples,min_training_rows_per_fold,min_training_rows_per_fold_std_across_samples,terms_per_training_row,terms_per_training_row_std_across_samples,train_nmse_x_mean,train_nmse_x_mean_std_across_samples,val_nmse_x_mean,val_nmse_x_mean_std_across_samples,train_nmse_y_mean,train_nmse_y_mean_std_across_samples,val_nmse_y_mean,val_nmse_y_mean_std_across_samples,train_nmse_2d_mean,train_nmse_2d_mean_std_across_samples,val_nmse_2d_mean,val_nmse_2d_mean_std_across_samples,train_validation_gap_2d,train_validation_gap_2d_std_across_samples
0,1,5,1,[0],[5],1,35,0.0,,0.08604571432857143,0.2798451044314646,448.0,0.0,0.0022321428571428575,4.336808689942018e-19,0.34254257351136197,0.06475752723102453,0.4564721494343539,0.11109811892047497,0.6579912525413658,0.14436951045519136,0.7284194476126523,0.13656236325304694,0.35384433348800487,0.06322945244076693,0.4676645584247697,0.10804172600643315,0.11382022493676486,0.04575206479029147
1,1,5,1,"[0, 1]","[5, 6]",2,35,0.0,,0.01,0.0,447.0,0.0,0.00447427293064877,8.673617379884035e-19,0.3327353411689183,0.06346871590384766,0.44714927363609264,0.11105980777775475,0.6426939764343499,0.1483777049861784,0.713971400670771,0.13850190183908825,0.34384681788708077,0.061587871710346645,0.45813876681634674,0.10743107187653894,0.11429194892926602,0.04667339810315124
2,1,5,1,"[0, 1, 2]","[5, 6, 7]",3,35,0.0,,0.01,0.0,447.0,0.0,0.006711409395973153,8.673617379884035e-19,0.32928290641976016,0.06492938446986156,0.442703684692676,0.1133790934701429,0.6268592046392459,0.14777780738564653,0.7011886480987014,0.14064934959272002,0.3399715173817237,0.06270189305687254,0.45334692239662683,0.10924253096428724,0.11337540501490313,0.047340417993754574
3,1,5,1,"[0, 1, 2, 3]","[5, 6, 7, 8]",4,35,0.0,,0.007725714297142857,0.004178198008582461,446.0,0.0,0.008968609865470854,1.734723475976807e-18,0.3265552805582495,0.06565868677523046,0.44029486746966323,0.11587908489414066,0.6246580271381879,0.14748222651723691,0.7008451398979982,0.14038268831520884,0.33725756040830124,0.06339609797634076,0.4510364252537219,0.11166518465409682,0.11377886484542067,0.0490415919332935
4,1,5,1,"[0, 1, 2, 3, 4]","[5, 6, 7, 8, 9]",5,35,0.0,,0.01,0.0,445.0,0.0,0.011235955056179777,1.734723475976807e-18,0.3246615017217043,0.06439626104990989,0.4403231541874175,0.11478760970785792,0.6209323865676893,0.14605598108216566,0.6980317933863206,0.13912353375517464,0.335288198811094,0.0622666995447841,0.45089068954153755,0.11077484530446792,0.11560249073044357,0.049250075817539395
5,1,5,1,"[0, 1, 2, 3, 4, 5]","[5, 6, 7, 8, 9, 10]",6,35,0.0,,0.01,0.0,444.0,0.0,0.013513513513513513,1.734723475976807e-18,0.32347481903942826,0.06484918056915707,0.44031417125237404,0.11700135029768016,0.6177558951904094,0.1433255262198756,0.6979595816505152,0.1390798531737905,0.3340321757170916,0.06276516604222825,0.4508585124751217,0.11296041956477688,0.11682633675803013,0.05085014621106095
6,1,5,1,"[0, 1, 2, 3, 4, 5, 6]","[5, 6, 7, 8, 9, 10, 11]",7,35,0.0,,0.009434285714285716,0.002297942291597029,444.0,0.0,0.01576576576576576,3.469446951953614e-18,0.32262818995973175,0.06497493610734338,0.4402213414663283,0.11670461765601858,0.6145707371167093,0.14315849083307428,0.6962466898511158,0.13888053958897226,0.33309881000845126,0.06282825589465559,0.45066255414513384,0.11259591977082613,0.11756374413668265,0.05039820506790526
7,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7]","[5, 6, 7, 8, 9, 10, 11, 12]",8,35,0.0,,0.01,0.0,443.0,0.0,0.018058690744920988,3.469446951953614e-18,0.32172081403726666,0.06399222210642905,0.4393020837972179,0.11693826345657331,0.6127291719704049,0.14289377832427466,0.6959674264777874,0.1400981791768998,0.3321577436187605,0.06190517326719518,0.44976745034331206,0.1129792917681225,0.11760970672455152,0.05170353789734455
8,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5, 6, 7, 8, 9, 10, 11, 12, 13]",9,35,0.0,,0.00971714285714286,0.0016493263931133854,442.0,0.0,0.02036199095022625,3.469446951953614e-18,0.32081911721295303,0.06449421290585296,0.43869236475262974,0.11936965458411385,0.6107159064868994,0.14150194048858947,0.6956942591356667,0.13939084063097368,0.3312092125976573,0.06244377006963874,0.44918117532856683,0.11538789620893025,0.11797196273090957,0.05354786867045819
9,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",10,35,0.0,,0.01,0.0,441.0,0.0,0.022675736961451243,3.469446951953614e-18,0.31781392966776995,0.06473152069808809,0.4345094318008006,0.12050915570652651,0.607698060996682,0.1418011560788431,0.6962269702633899,0.14078145235714715,0.3281844966728158,0.06261427654864318,0.4452079756623973,0.11646180201924584,0.1170234789895815,0.054476385792401126
