topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,task_alpha_selected,basis_nmse_x,basis_nmse_y,basis_nmse_2d,basis_adequacy_label,Q_twIPC_raw,Q_twIPC_clipped,generic_total_ipc_raw,generic_total_ipc_clipped
topology_10_prestress,amp=2.5,sample_0,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.2961083984106402,0.5181062994263687,0.30325125328419933,weak,1.7333222894984999,1.7333222894984999,1.9659660918126147,1.9659660918126147
topology_10_prestress,amp=2.5,sample_1,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.29765033521515877,0.5017309785174122,0.3044741300815233,weak,1.7086871658250564,1.7086871658250564,1.9779559635298702,1.9779559635298702
topology_10_prestress,amp=2.5,sample_2,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.2964645142524613,0.5088722581923845,0.30332501579786314,weak,1.7101447532425351,1.7101447532425351,1.9747348682114878,1.9747348682114878
topology_10_prestress,amp=2.5,sample_3,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.2974069459424694,0.512004770276427,0.3054779913350076,weak,1.7057733344339034,1.7057733344339034,1.967443424907966,1.967443424907966
topology_10_prestress,amp=2.5,sample_4,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.29641828772366546,0.512947797817526,0.3034902545822158,weak,1.7269951614304953,1.7269951614304953,1.974446398189554,1.974446398189554
topology_11_prestress,amp=2.5,sample_0,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.3079780503497576,0.4995399911264523,0.31563213102473037,weak,1.4058117099790346,1.4058117099790346,1.98013489228663,1.98013489228663
topology_11_prestress,amp=2.5,sample_1,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.30837726721207015,0.5018346749871346,0.3160939349118648,weak,1.3674028716689608,1.3674028716689608,1.8850339917885992,1.8850339917885992
topology_11_prestress,amp=2.5,sample_2,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.30739635040637586,0.49771601804528065,0.31493070671933754,weak,1.3813864473088253,1.3813864473088253,1.980004555970222,1.980004555970222
topology_11_prestress,amp=2.5,sample_3,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.3072780984151693,0.4973227091413417,0.31483721342191284,weak,1.4038897653151956,1.4038897653151956,1.980398435101906,1.980398435101906
topology_11_prestress,amp=2.5,sample_4,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.3069569415701297,0.4961532576459336,0.3144747537976249,weak,1.4057686835284686,1.4057686835284686,1.9791827112456233,1.9791827112456233
topology_12_prestress,amp=2.5,sample_0,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.28231821383467537,0.5233932108255732,0.2921387546111201,weak,1.9782040896751854,1.9782040896751854,1.9734231781321339,1.9734231781321339
topology_12_prestress,amp=2.5,sample_1,10,0,5,1,1,1,"[0, 1]","[5, 6]",2,0.01,0.2817763161858739,0.5274679661287421,0.29154091398689375,weak,1.9706220686938314,1.9706220686938314,1.9742818985684294,1.9742818985684294
