topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,exponents,coefficient_x,coefficient_y,p_alpha_norm_sq,c_alpha_x,c_alpha_y,c_alpha
topology_10_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-55.5981559753418,18.885366439819336,276.48223876953125,0.1698378625238616,0.5894382354583289,0.1833386413828007
topology_10_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,167.4920196533203,-35.313621520996094,276.1565856933594,1.539537054656805,2.058544005587508,1.556236272585913
topology_10_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-54.46308898925781,19.15560531616211,274.4093933105469,0.162876676268781,0.5824414130822065,0.17690556039442842
topology_10_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,166.312744140625,-36.224853515625,274.05352783203125,1.516847224811286,2.0802243981751554,1.5356847304228964
topology_10_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-54.37128829956055,18.85272979736328,277.27587890625,0.16324130670526735,0.588024051419768,0.17696125223323386
topology_10_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,165.96434020996094,-35.43344497680664,277.0474853515625,1.5197162419420394,2.075465325496393,1.5376662346111338
topology_10_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-53.689544677734375,20.65109634399414,272.56451416015625,0.16086289104019888,0.6089887015806594,0.17771694708510763
topology_10_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,164.69436645507812,-38.432212829589844,272.19952392578125,1.511652489643874,2.1063563155155967,1.534019359338961
topology_10_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-55.39729309082031,18.974777221679688,274.69012451171875,0.1677926063559504,0.5830487811186817,0.18135508984587997
topology_10_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,167.55853271484375,-35.67100524902344,274.3441162109375,1.5331386543652943,2.0579500123326127,1.5502792673419137
topology_11_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-42.632266998291016,22.085052490234375,282.3900146484375,0.0898235618057282,0.5791853193828627,0.10937658134893738
topology_11_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,160.13626098632812,-41.901512145996094,282.08721923828125,1.2659800435109194,2.082639684690502,1.2986106315715686
topology_11_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-41.89346694946289,21.096874237060547,277.2083740234375,0.08507107660189486,0.5192815887263562,0.1023909521877298
topology_11_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,160.513916015625,-41.092308044433594,277.0428161621094,1.248116866946434,1.968921107696796,1.276868450390273
topology_11_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-41.41069793701172,22.38334846496582,280.3984375,0.08382420579389584,0.5941411009115323,0.10402658092432918
topology_11_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,159.65208435058594,-42.23470687866211,280.20001220703125,1.2450479953702385,2.1138346583403145,1.279441436468427
topology_11_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-42.446197509765625,22.11871337890625,283.6198425292969,0.08910339562111928,0.5841088605382866,0.10879247401159757
topology_11_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,159.95321655273438,-41.920223236083984,283.35369873046875,1.264139215040384,2.096107347307229,1.297231144191758
topology_11_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-42.50541687011719,22.033796310424805,284.0020446777344,0.08951450472176359,0.5812936577849799,0.10905560048308195
topology_11_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,159.9361114501953,-41.83564758300781,283.7223815917969,1.266105947224643,2.0935437726581787,1.2989846117280472
topology_12_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-69.91297912597656,17.44997215270996,282.2686767578125,0.2376947032702567,0.3486968870653452,0.24221653873988547
topology_12_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,189.72799682617188,-37.34927749633789,281.9690856933594,1.7486606546109795,1.5957388282476357,1.742431161506532
topology_12_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-69.83171844482422,17.505828857421875,281.0518493652344,0.23481801953780282,0.35654528723470713,0.23965586327711466
topology_12_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,190.35418701171875,-37.16140365600586,280.6971130371094,1.7426185328371775,1.604667518494494,1.7371359038116805
topology_12_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-69.04312133789062,18.07402229309082,279.7261962890625,0.22807081293091838,0.37447099645708987,0.23393629735251442
topology_12_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,189.9727325439453,-37.81983947753906,279.5376892089844,1.725514633538159,1.6385328488192452,1.7220297314639739
topology_12_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-70.17585754394531,17.31210708618164,282.51220703125,0.23850604391104702,0.3423145567328662,0.24272879678250062
topology_12_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,190.3557891845703,-37.16435241699219,282.19384765625,1.7529375081300536,1.575756004056355,1.7457300673840337
topology_12_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-69.67415618896484,17.35556411743164,281.51824951171875,0.23378115141810077,0.3436589799601952,0.23823126035663122
topology_12_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,190.1298370361328,-37.10415267944336,281.28533935546875,1.7394307908775664,1.5694078067715784,1.7325447720021951
topology_13_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-58.52376174926758,14.21231460571289,272.0035400390625,0.19794059357858498,0.2501155197208241,0.20026713339523244
topology_13_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,167.02490234375,-29.30440330505371,271.7378234863281,1.610676752188741,1.0623125624902836,1.5862245638352972
topology_13_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-51.050071716308594,13.58872127532959,269.5474548339844,0.15254881999545183,0.22535223828393505,0.15588091237044321
topology_13_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,158.89202880859375,-29.655567169189453,269.3123779296875,1.4765271579944559,1.0723541642089427,1.4580288267013604
topology_13_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-51.12598419189453,13.612841606140137,268.2540283203125,0.15236245663498788,0.21605960755277562,0.15539531241578766
topology_13_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,159.21226501464844,-29.69208335876465,268.000244140625,1.4761707055597015,1.0269428604088109,1.4547813145519228
topology_13_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-56.33950424194336,14.017619132995605,268.99066162109375,0.183579421704224,0.23549413890539114,0.18596937166049027
topology_13_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,164.67164611816406,-30.09597396850586,268.7850341796875,1.5671244614808764,1.084716576058119,1.5449162945712687
topology_13_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-56.203948974609375,13.990692138671875,268.5390625,0.18219102064735124,0.23710799009305816,0.1846869437650979
topology_13_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,164.71913146972656,-30.128965377807617,268.3402099609375,1.5637224861576042,1.0987895295406094,1.5425917331984498
topology_14_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-53.06621170043945,-4.8545756340026855,274.408447265625,0.14633265941637694,0.05463000270641166,0.144322038038989
topology_14_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,166.3209228515625,1.7499631643295288,274.1695861816406,1.4362189982087112,0.00709264614043228,1.4048847697626918
topology_14_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-53.20319366455078,-4.453579902648926,268.9453125,0.1469928338286757,0.04823820684933703,0.14492826242131956
topology_14_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,166.64353942871094,0.6328788995742798,268.756591796875,1.441095842559881,0.0009734396613543988,1.4109885389624568
topology_14_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-53.61655044555664,-4.625932216644287,268.62664794921875,0.14958078429279037,0.05301411939914315,0.1475942997802955
topology_14_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,167.19940185546875,0.7112748622894287,268.45281982421875,1.4536718617356206,0.0012525262029134158,1.423793968377065
topology_14_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-47.366294860839844,-5.723114490509033,270.6473388671875,0.11755661906758964,0.08222798558582926,0.11683433299752534
topology_14_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,160.37985229492188,2.0156872272491455,270.4130554199219,1.3465787951787818,0.010191191555793459,1.3192566472445337
topology_14_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-53.463768005371094,-5.269498348236084,270.12615966796875,0.14915495513496999,0.06668339836322391,0.147401042892443
topology_14_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,166.79995727539062,1.511453628540039,269.91162109375,1.4506591043197965,0.005481807407885248,1.4199247002064959
topology_15_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-128.2581024169922,18.109037399291992,282.59552001953125,0.7709454794316161,0.3113864143584004,0.7493300752405637
