topology,amplitude,sample,target_component,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,coefficient_x,exponents
topology_10_prestress,amp=2.5,sample_0,x,10,0,5,2,1,-1,intercept,0,,,,991.2897004963398,
topology_10_prestress,amp=2.5,sample_0,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,15.091229438781738,0 0 1
topology_10_prestress,amp=2.5,sample_0,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,-76.8019027709961,0 1 0
topology_10_prestress,amp=2.5,sample_0,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,173.9992218017578,1 0 0
topology_10_prestress,amp=2.5,sample_1,x,10,0,5,2,1,-1,intercept,0,,,,990.9999496509238,
topology_10_prestress,amp=2.5,sample_1,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,14.564745903015137,0 0 1
topology_10_prestress,amp=2.5,sample_1,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,-74.80377197265625,0 1 0
topology_10_prestress,amp=2.5,sample_1,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,172.4798583984375,1 0 0
topology_10_prestress,amp=2.5,sample_2,x,10,0,5,2,1,-1,intercept,0,,,,991.135252044172,
topology_10_prestress,amp=2.5,sample_2,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,14.710368156433105,0 0 1
topology_10_prestress,amp=2.5,sample_2,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,-75.02592468261719,0 1 0
topology_10_prestress,amp=2.5,sample_2,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,172.2958984375,1 0 0
topology_10_prestress,amp=2.5,sample_3,x,10,0,5,2,1,-1,intercept,0,,,,986.6142325250648,
topology_10_prestress,amp=2.5,sample_3,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,14.063085556030273,0 0 1
topology_10_prestress,amp=2.5,sample_3,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,-73.29244232177734,0 1 0
topology_10_prestress,amp=2.5,sample_3,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,170.62057495117188,1 0 0
topology_10_prestress,amp=2.5,sample_4,x,10,0,5,2,1,-1,intercept,0,,,,990.506606691022,
topology_10_prestress,amp=2.5,sample_4,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,13.944554328918457,0 0 1
topology_10_prestress,amp=2.5,sample_4,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,-74.77090454101562,0 1 0
topology_10_prestress,amp=2.5,sample_4,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,173.35494995117188,1 0 0
topology_17_prestress,amp=1,sample_0,x,10,0,5,2,1,-1,intercept,0,,,,1186.937594460675,
topology_17_prestress,amp=1,sample_0,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,105.79817199707031,0 0 1
topology_17_prestress,amp=1,sample_0,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,-223.00376892089844,0 1 0
topology_17_prestress,amp=1,sample_0,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,218.10409545898438,1 0 0
topology_17_prestress,amp=1,sample_1,x,10,0,5,2,1,-1,intercept,0,,,,1184.9343375243875,
topology_17_prestress,amp=1,sample_1,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,106.47850036621094,0 0 1
topology_17_prestress,amp=1,sample_1,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,-222.69241333007812,0 1 0
topology_17_prestress,amp=1,sample_1,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,216.41612243652344,1 0 0
topology_17_prestress,amp=1,sample_2,x,10,0,5,2,1,-1,intercept,0,,,,1182.263424574056,
topology_17_prestress,amp=1,sample_2,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,108.96117401123047,0 0 1
topology_17_prestress,amp=1,sample_2,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,-225.9169921875,0 1 0
topology_17_prestress,amp=1,sample_2,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,216.84310913085938,1 0 0
topology_17_prestress,amp=1,sample_3,x,10,0,5,2,1,-1,intercept,0,,,,1182.1491660516406,
topology_17_prestress,amp=1,sample_3,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,113.03312683105469,0 0 1
topology_17_prestress,amp=1,sample_3,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,-232.42721557617188,0 1 0
topology_17_prestress,amp=1,sample_3,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,220.23452758789062,1 0 0
topology_17_prestress,amp=1,sample_4,x,10,0,5,2,1,-1,intercept,0,,,,1181.8526766611565,
topology_17_prestress,amp=1,sample_4,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,111.34761047363281,0 0 1
topology_17_prestress,amp=1,sample_4,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,-230.01889038085938,0 1 0
topology_17_prestress,amp=1,sample_4,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,219.24949645996094,1 0 0
