topology,amplitude,sample,target_component,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,exponents,coefficient_x,p_alpha_centered_norm_sq,target_x_centered_norm_sq,c_alpha_x
topology_10_prestress,amp=2.5,sample_0,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,15.091229438781738,276.4783020019531,5031260.056144705,0.012515077367424965
topology_10_prestress,amp=2.5,sample_0,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,-76.8019027709961,276.1458740234375,5031260.056144705,0.32374700903892517
topology_10_prestress,amp=2.5,sample_0,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,173.9992218017578,275.9836730957031,5031260.056144705,1.660738468170166
topology_10_prestress,amp=2.5,sample_1,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,14.564745903015137,274.37042236328125,4996387.245677497,0.011648956686258316
topology_10_prestress,amp=2.5,sample_1,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,-74.80377197265625,274.0180969238281,4996387.245677497,0.3068811297416687
topology_10_prestress,amp=2.5,sample_1,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,172.4798583984375,273.8158264160156,4996387.245677497,1.630344033241272
topology_10_prestress,amp=2.5,sample_2,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,14.710368156433105,277.2646789550781,5020667.434608974,0.011950337328016758
topology_10_prestress,amp=2.5,sample_2,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,-75.02592468261719,277.0022277832031,5020667.434608974,0.3105592727661133
topology_10_prestress,amp=2.5,sample_2,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,172.2958984375,276.8877868652344,5020667.434608974,1.6371642351150513
topology_10_prestress,amp=2.5,sample_3,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,14.063085556030273,272.4413757324219,4882826.937836627,0.011034761555492878
topology_10_prestress,amp=2.5,sample_3,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,-73.29244232177734,272.0899353027344,4882826.937836627,0.29933640360832214
topology_10_prestress,amp=2.5,sample_3,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,170.62057495117188,271.8310241699219,4882826.937836627,1.6206547021865845
topology_10_prestress,amp=2.5,sample_4,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,13.944554328918457,274.650146484375,5023044.608521014,0.010632174089550972
topology_10_prestress,amp=2.5,sample_4,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,-74.77090454101562,274.3050842285156,5023044.608521014,0.3053037226200104
topology_10_prestress,amp=2.5,sample_4,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,173.35494995117188,274.1311340332031,5023044.608521014,1.640075445175171
topology_17_prestress,amp=1,sample_0,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,105.79817199707031,296.0281066894531,4462452.350472821,0.7425328493118286
topology_17_prestress,amp=1,sample_0,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,-223.00376892089844,295.6388854980469,4462452.350472821,3.294673204421997
topology_17_prestress,amp=1,sample_0,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,218.10409545898438,295.4255676269531,4462452.350472821,3.1492133140563965
topology_17_prestress,amp=1,sample_2,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,108.96117401123047,300.6812438964844,4501053.776138764,0.7931140661239624
topology_17_prestress,amp=1,sample_2,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,-225.9169921875,300.38739013671875,4501053.776138764,3.4061617851257324
topology_17_prestress,amp=1,sample_2,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,216.84310913085938,300.23565673828125,4501053.776138764,3.1364567279815674
topology_17_prestress,amp=1,sample_3,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,113.03312683105469,295.63287353515625,4544095.647246754,0.8312214612960815
topology_17_prestress,amp=1,sample_3,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,-232.42721557617188,295.41119384765625,4544095.647246754,3.511991500854492
topology_17_prestress,amp=1,sample_3,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,220.23452758789062,295.27252197265625,4544095.647246754,3.1517109870910645
topology_17_prestress,amp=1,sample_4,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,111.34761047363281,297.2049255371094,4528251.350149674,0.8137429356575012
topology_17_prestress,amp=1,sample_4,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,-230.01889038085938,297.0198974609375,4528251.350149674,3.4704198837280273
topology_17_prestress,amp=1,sample_4,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,219.24949645996094,296.8961181640625,4528251.350149674,3.151745557785034
