H,D,number_of_terms,number_of_terms_std,selected_alpha,selected_alpha_std,validation_nmse_2d,validation_nmse_2d_std,train_nmse_x,train_nmse_x_std,test_nmse_x,test_nmse_x_std,train_nmse_y,train_nmse_y_std,test_nmse_y,test_nmse_y_std,train_nmse_2d,train_nmse_2d_std,test_nmse_2d,test_nmse_2d_std,num_train_rows,num_train_rows_std,num_test_rows,num_test_rows_std,terms_per_train_row,terms_per_train_row_std,num_samples
0,1,1.0,0.0,1.0,0.0,0.7084186212191932,0.010842128771025718,0.451697585548927,0.0014453169820883222,0.2576437619516681,0.0005976552171018968,0.6607302202731229,0.008705033738879887,0.4994885435277091,0.06484108662126606,0.4596650421038156,0.0011955533471537877,0.26520629066515855,0.0020330456581980753,299.0,0.0,299.0,0.0,0.0033444816053511705,0.0,5
1,1,2.0,0.0,0.00800000002,0.003999999960000001,0.6969530145158481,0.012748781845788051,0.44450839720792673,0.0014119469886621702,0.2515174254713511,0.0006317305257669096,0.6379095221845581,0.00797026082157769,0.4815441896379409,0.06438171835365698,0.4518785540639862,0.0012289193373869341,0.25871232427989777,0.00205491691405827,299.0,0.0,299.0,0.0,0.006688963210702341,0.0,5
2,1,3.0,0.0,0.01,0.0,0.6951901950760855,0.012744705227686774,0.44429844166836147,0.0013900201461033823,0.2507178429652188,0.0005785286428939934,0.6123460784820113,0.008215327123150845,0.4467371541840242,0.06248740303889495,0.4507005348589316,0.0011986202759225319,0.2568552991340448,0.0020086715760446114,299.0,0.0,299.0,0.0,0.010033444816053512,0.0,5
3,1,4.0,0.0,1e-10,0.0,0.6888122095508205,0.012371471522301955,0.442712559754295,0.0013381952334040061,0.25181163491032954,0.000641779179726578,0.6018045692560062,0.007962170410590561,0.45255444624122954,0.06384519872659133,0.44877269205986847,0.0011998965899894885,0.2580966540411391,0.0020094841183462275,299.0,0.0,299.0,0.0,0.013377926421404682,0.0,5
4,1,5.0,0.0,0.00400000006,0.004898979436576562,0.6843491529627095,0.012715836345598716,0.4416959039744328,0.001371290060691341,0.25573223931184685,0.0006809908237367335,0.5934868485574702,0.007749453065680421,0.45413542148957375,0.06533374102168141,0.4474775518040982,0.0012373307552903828,0.26194572265054106,0.0018912243895326186,299.0,0.0,299.0,0.0,0.016722408026755852,0.0,5
5,1,6.0,0.0,0.00400000006,0.004898979436576562,0.6535660679835845,0.010844880891378795,0.43080254087444125,0.0014660170968089996,0.2603354964803814,0.0006765566735910401,0.5862666643722922,0.008013917456675065,0.4576696800565679,0.06664785273403397,0.43672464803115674,0.001407126012772344,0.26651670341412675,0.001915141519939125,299.0,0.0,299.0,0.0,0.020066889632107024,0.0,5
6,1,7.0,0.0,0.01,0.0,0.6548188807562505,0.010862566639388525,0.4308188856920925,0.0014718875510092834,0.2606412986236032,0.0007820026855771631,0.5834215536695357,0.00824205208747819,0.4525189517258183,0.06597881019226864,0.43663154578183205,0.0014088077504666701,0.2666524972718622,0.0019299476491252618,299.0,0.0,299.0,0.0,0.023411371237458192,0.0,5
7,1,8.0,0.0,0.00604,0.004849989690710693,0.6550530822757168,0.010948184348382557,0.4291912407307542,0.0014885896471834544,0.257738864390723,0.0006537278031458854,0.5799898716346034,0.007994776865805235,0.4480613975237139,0.06568629490915544,0.43493546135660954,0.0013994969262021305,0.2637014063749226,0.0019342101813067238,299.0,0.0,299.0,0.0,0.026755852842809364,0.0,5
8,1,9.0,0.0,0.008020000000000001,0.003959999999999999,0.6542294858320744,0.011297805373945922,0.42706164190570506,0.0015284456027676225,0.2565435182925517,0.0006398529896598853,0.5796975370565715,0.008098769029792953,0.4482027791804203,0.06530114409190346,0.43287599108444647,0.0014506633446940659,0.2625472879079891,0.001964183774922218,299.0,0.0,299.0,0.0,0.030100334448160536,0.0,5
9,1,10.0,0.0,0.004020000040000001,0.0048827860569965595,0.6507198938921108,0.011894502670282565,0.42476279446994064,0.001622082470563641,0.2556454230994331,0.0005659004160597791,0.5788952110324862,0.007991699366796483,0.4478547117249068,0.06509737793545811,0.430634375370892,0.0015301896916529126,0.26166600087075065,0.0020537323466345596,299.0,0.0,299.0,0.0,0.033444816053511704,0.0,5
