Q_extra,D,horizon_steps,lag_stride_frames,target_delay_frames_min,target_delay_frames_max,target_delay_set_frames,status,number_of_terms,number_of_terms_std_across_samples,selected_alpha,selected_alpha_std_across_samples,min_cv_train_rows,min_cv_train_rows_std_across_samples,window_rows,window_rows_std_across_samples,terms_per_min_cv_train_row,terms_per_min_cv_train_row_std_across_samples,train_nmse_x_mean,train_nmse_x_mean_std_across_samples,val_nmse_x_mean,val_nmse_x_mean_std_across_samples,train_nmse_y_mean,train_nmse_y_mean_std_across_samples,val_nmse_y_mean,val_nmse_y_mean_std_across_samples,train_nmse_2d_mean,train_nmse_2d_mean_std_across_samples,val_nmse_2d_mean,val_nmse_2d_mean_std_across_samples,train_val_gap_2d,train_val_gap_2d_std_across_samples,val_nmse_2d_cv_std_mean,num_samples,num_ok_samples
0,1,5,1,5,5,[5],ok,1.0,0.0,0.20006000002,0.39997000186513687,449.0,0.0,599.0,0.0,0.0022271714922048997,0.0,0.3129990288385859,0.0007936321228503785,0.4079589214034147,0.0014998778399508256,0.5409822783978132,0.005648290580982224,0.644032162906455,0.05463609131132328,0.32077294946021345,0.0010110469517966563,0.41694971346288295,0.0021198757424939897,0.09617676400266949,0.0012961841452690025,0.12370232311707094,5,5
1,1,5,1,5,6,"[5, 6]",ok,2.0,0.0,0.01,0.0,448.0,0.0,598.0,0.0,0.004464285714285714,0.0,0.30702453175363004,0.0007324758024560676,0.4025824221430506,0.0014273832897829049,0.5213901010209713,0.0057311195360477294,0.6255117781431677,0.05393346732864285,0.314326703383645,0.0009057736420267529,0.41105010792525726,0.001790723350983687,0.09672340454161235,0.0011641714479386088,0.12423136870428204,5,5
2,1,5,1,5,7,"[5, 6, 7]",ok,3.0,0.0,0.01,0.0,447.0,0.0,597.0,0.0,0.006711409395973154,0.0,0.3067026513442038,0.000743544916115601,0.40225839982460004,0.001432501718634279,0.49026691643258874,0.0057013557435180075,0.5918722971218182,0.05306625059566483,0.31293930188909524,0.0008698063649643204,0.4094255508898265,0.0018618390659638408,0.09648624900073131,0.0012429697089527021,0.12296105903250995,5,5
3,1,5,1,5,8,"[5, 6, 7, 8]",ok,4.0,0.0,0.01,0.0,447.0,0.0,596.0,0.0,0.008948545861297539,0.0,0.30620658891767405,0.0008369505968757853,0.40191253200971877,0.0014655072498842093,0.4866586791917576,0.005514535808887453,0.5924266256586168,0.05479421275057549,0.31234122723866253,0.0009706517442266532,0.4091418501543257,0.002133258454372586,0.09680062291566315,0.0013804320575007253,0.12235034609689477,5,5
4,1,5,1,5,9,"[5, 6, 7, 8, 9]",ok,5.0,0.0,0.01,0.0,446.0,0.0,595.0,0.0,0.011210762331838564,0.0,0.3053084165029125,0.0007761180373982283,0.4038593057189256,0.0014358212973500848,0.48161196918492644,0.0057129239353370075,0.5876347114164393,0.05275065016557707,0.3112909414414903,0.0008970032195263085,0.41078869886970104,0.0021864211752948433,0.09949775742821074,0.00150242232037276,0.12512421926888728,5,5
5,1,5,1,5,10,"[5, 6, 7, 8, 9, 10]",ok,6.0,0.0,0.01,0.0,445.0,0.0,594.0,0.0,0.01348314606741573,0.0,0.3021363491362389,0.000722923625299185,0.3999528010383949,0.0013354865466921055,0.47912916775289327,0.00556528727083193,0.5859238255175612,0.05375654506809831,0.30814054235210697,0.0008474769275437756,0.4069525466044862,0.0021211281424804705,0.09881200425237924,0.0014714902435495453,0.12110688568691239,5,5
6,1,5,1,5,11,"[5, 6, 7, 8, 9, 10, 11]",ok,7.0,0.0,0.01,0.0,444.0,0.0,593.0,0.0,0.015765765765765764,0.0,0.30208428574439117,0.0007279339116638123,0.4001408713944847,0.0013755805516619069,0.4748033992912923,0.005590302365491393,0.5820904034029272,0.05456221177219741,0.3079335684956812,0.00083969067867157,0.40696230852942206,0.0021537513334478984,0.09902874003374085,0.0015031076163451315,0.12046118190017426,5,5
7,1,5,1,5,12,"[5, 6, 7, 8, 9, 10, 11, 12]",ok,8.0,0.0,0.01,0.0,444.0,0.0,592.0,0.0,0.018018018018018018,0.0,0.30045958011477214,0.0006922121942835661,0.3974503170501489,0.001486737910299374,0.472309222180016,0.005652074986033497,0.5797077605392593,0.055728699022384094,0.3062746481472116,0.0007961868147369997,0.40426269558543665,0.0022297893516494624,0.09798804743822513,0.0015878655271900723,0.11888382907167125,5,5
8,1,5,1,5,13,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",ok,9.0,0.0,0.01,0.0,443.0,0.0,591.0,0.0,0.020316027088036117,0.0,0.29976430691459577,0.0006839569338915133,0.39642775876875325,0.0015207770887993098,0.47215959461889573,0.005726756981739527,0.5798491938580198,0.0552565225938687,0.3056019449685013,0.00079131389322699,0.4033015943400578,0.0021083487079142853,0.09769964937155654,0.001433171470141299,0.11841517307499552,5,5
9,1,5,1,5,14,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",ok,10.0,0.0,0.01,0.0,442.0,0.0,590.0,0.0,0.02262443438914027,0.0,0.29898104850986273,0.0007916325261475829,0.3955480811666985,0.0015710449494126155,0.4716123724657355,0.005690532265483756,0.5812865337959319,0.05554360699361507,0.30482893479369527,0.0009049469246212468,0.4025124811864823,0.001985663769077487,0.09768354639278712,0.0012577314455860659,0.11711492210873883,5,5
