sample,basis_index,basis_term,total_degree,Q_extra,max_effective_delay_Q,target_delay_frames,max_lag_frames,c_alpha_x,c_alpha_y
sample_0,-1,intercept,0,0,0,,0,991.4508666992188,1008.4255981445312
sample_0,0,P1(u[target-5]),1,0,0,5,0,112.71427154541016,-16.70892333984375
sample_1,-1,intercept,0,0,0,,0,991.7936401367188,1008.20947265625
sample_1,0,P1(u[target-5]),1,0,0,5,0,112.62904357910156,-17.36373519897461
sample_2,-1,intercept,0,0,0,,0,990.5623168945312,1008.5903930664062
sample_2,0,P1(u[target-5]),1,0,0,5,0,112.43107604980469,-16.848329544067383
sample_3,-1,intercept,0,0,0,,0,988.108154296875,1003.9795532226562
sample_3,0,P1(u[target-5]),1,0,0,5,0,111.3519515991211,-18.027938842773438
sample_4,-1,intercept,0,0,0,,0,991.3041381835938,1007.8619384765625
sample_4,0,P1(u[target-5]),1,0,0,5,0,112.96759796142578,-16.98240852355957
