sample,node,dim,train_min_px,train_max_px,train_mean_px,test_min_px,test_max_px,final_test_px,final_outside_train_px,max_test_outside_train_px,max_test_outside_time_s,emphasized_node
sample_0,0,x,914.4020787047677,1312.867340558566,1162.1789341044284,899.2789947794042,1442.2127971102168,1148.7729703711627,0.0,129.34545655165084,19.419399976730347,False
sample_0,0,y,323.4129375354169,339.8528733283962,329.2536669402156,317.5399756262219,339.43864093902476,330.0092255856241,0.0,5.8729619091949985,19.419399976730347,False
sample_0,1,x,1521.0180237814966,1807.4426968384782,1689.5670843276116,1514.4177785965558,1904.759607145211,1680.3824262885437,0.0,97.31691030673278,19.419399976730347,False
sample_0,1,y,353.52558378110206,473.32676936816245,407.349976483337,352.0076949629143,502.2485317599935,401.7120594193113,0.0,28.921762391831066,20.553866624832153,False
sample_0,2,x,2104.877119375669,2235.0884771073215,2183.6203650190414,2099.1956535015397,2269.999327278843,2179.6473534563956,0.0,34.91085017152136,19.419399976730347,False
sample_0,2,y,303.56596889797396,401.3555078484401,344.3244137032056,299.1795631568459,453.72904626486866,336.543692397074,0.0,52.37353841642857,19.419399976730347,False
sample_0,3,x,2682.306037808642,2686.6103114304437,2684.919820974419,2682.075150461845,2686.8114183345087,2685.3675814017324,0.0,0.2308873467968624,16.349666595458984,True
sample_0,3,y,271.3707066048499,272.7140355949627,271.99239745335893,269.2349957056052,272.5821032986742,271.957839836591,0.0,2.135710899244714,16.182833433151245,True
sample_0,4,x,962.0000505241885,1308.4708988281786,1157.3799135680235,927.6544825778521,1422.7562255859375,1097.5792556764745,0.0,114.28532675775887,20.553866624832153,False
sample_0,4,y,859.74505788769,881.4052088575743,870.1785153046044,848.9575595197202,884.5070982252322,870.548372072193,0.0,10.78749836796976,19.419399976730347,False
sample_0,5,x,1638.0666891704748,1772.401649787499,1722.4828010646083,1649.0149781918233,1821.8986503620636,1738.5865441263106,0.0,49.49700057456448,19.519500017166138,False
sample_0,5,y,841.8444914995773,949.067226738934,892.4048864432168,838.4985587367602,954.5526470295999,882.8906653615031,0.0,5.485420290665957,20.553866624832153,False
sample_0,6,x,2127.2338329957233,2225.500231314421,2190.5188190405183,2127.461379292281,2250.6357504386897,2204.7144525437457,0.0,25.13551912426874,19.519500017166138,False
sample_0,6,y,830.1614184628191,925.031929110982,885.1278073591387,828.5943615257047,933.8222168446313,881.2507863856397,0.0,8.79028773364928,19.35266661643982,False
sample_0,7,x,2617.3978160741085,2695.132317400054,2664.038325218412,2608.9341662460033,2698.3499670141177,2674.4127772172956,0.0,8.46364982810519,17.183833360671997,False
sample_0,7,y,807.5002216716651,818.1292670217182,813.9062778362116,805.3664974272184,819.830982318963,814.7141276836758,0.0,2.1337242444467392,16.31629991531372,False
sample_0,8,x,1054.3859412351035,1266.5595911662713,1159.1247086818641,1036.7369156906193,1308.1521967744784,1110.733954504343,0.0,41.59260560820712,19.5528666973114,False
sample_0,8,y,1381.6119264808303,1395.128765621771,1387.9083950919726,1368.7030029296875,1399.964501601522,1387.7910885851293,0.0,12.908923551142834,19.98663330078125,False
sample_0,9,x,1679.2419144599287,1764.2659601171385,1725.9105452334077,1678.9203341054256,1787.9270912677484,1736.2092691820058,0.0,23.66113115060989,19.519500017166138,False
sample_0,9,y,1313.9906831483086,1397.2587480973154,1356.0255127479518,1309.1618116668521,1404.1933156814007,1338.9010244593132,0.0,6.934567584085244,19.652966737747192,False
sample_0,10,x,2154.8159731286655,2223.5167494134976,2193.3919362449224,2152.5454045079673,2236.154685998777,2200.8566659309126,0.0,12.637936585279476,19.519500017166138,False
sample_0,10,y,1308.4745020507617,1399.928717696156,1357.5295707412783,1302.4032001617543,1399.2175466954022,1347.378048780488,0.0,6.071301889007373,17.150466680526733,False
sample_0,11,x,2679.9168489590033,2735.093455657492,2709.970725514712,2669.553092282413,2746.024549833844,2717.4182035430413,0.0,10.931094176351962,22.022000074386597,False
sample_0,11,y,1333.3995950286271,1340.3708395872022,1335.9386396687498,1332.1650513950071,1339.1736162534364,1334.6873776992743,0.0,1.2345436336199782,21.32130002975464,False
sample_0,12,x,1152.9434116445352,1155.6328666564475,1154.201849393198,1152.270027982615,1155.9161370462066,1154.13081671415,0.0,0.6733836619202975,17.150466680526733,True
sample_0,12,y,1935.6836986698004,1938.276722475381,1937.2315937533522,1934.8145242354544,1938.1631227398425,1937.1112298195628,0.0,0.8691744343459504,20.019999980926514,True
sample_0,13,x,1679.1608978551424,1700.8761587047416,1689.7550040977344,1678.3224745563125,1701.5498828004067,1689.7608012836924,0.0,0.8384232988298663,16.31629991531372,False
sample_0,13,y,1785.0715897488694,1878.3268208022955,1828.6881943013275,1782.0500696372806,1873.8074099413204,1804.617572250388,0.0,3.0215201115888703,17.150466680526733,False
sample_0,14,x,2199.404313684247,2210.3239101571144,2205.0840260033474,2198.1383209296255,2210.52319944281,2204.1729810435386,0.0,1.265992754621493,16.75006675720215,False
sample_0,14,y,1783.7229626489316,1874.0697294161084,1826.7048436669033,1768.5552321182179,1872.8827090327527,1810.5243998897981,0.0,15.167730530713698,17.150466680526733,False
sample_0,15,x,2763.7973729543496,2766.9268246510746,2765.6143872377247,2763.252210678285,2767.013074259728,2765.916978663706,0.0,0.5451622760647297,16.14946675300598,True
sample_0,15,y,1891.7230699059369,1894.1550459663258,1893.1914977210272,1890.953105523318,1894.0919243320502,1893.1090225240343,0.0,0.7699643826188094,16.31629991531372,True
sample_1,0,x,917.1277721088435,1314.286938032121,1163.1741955138612,897.6117029050922,1442.5493715236717,1153.3020626309287,0.0,128.2624334915506,19.45276665687561,False
sample_1,0,y,322.8038661255836,338.93380102040817,328.6646157482843,318.274853340338,339.0376828041577,329.45094984870457,0.0,4.529012785245641,19.419399976730347,False
sample_1,1,x,1522.6626644821054,1808.1493475018642,1690.4120846384897,1513.6514222604853,1906.5921327965918,1682.8924142764718,0.0,98.44278529472763,19.419399976730347,False
sample_1,1,y,352.8959390004734,477.9658152451947,407.1779955124312,352.56891863450767,500.9755798404574,405.65255912587156,0.0,23.00976459526271,20.587233304977417,False
sample_1,2,x,2106.3035403516974,2234.6141412887137,2184.1174548194044,2099.5239884166863,2271.7361831005956,2180.72213095932,0.0,37.1220418118819,19.419399976730347,False
sample_1,2,y,304.9672474165172,408.0050578105781,344.88798005902,302.48512684779126,454.20535723176494,339.6205465175843,0.0,46.200299421186855,19.486133337020874,False
sample_1,3,x,2682.855292151972,2686.6470097312363,2685.1416767527135,2682.479328789856,2686.535066197012,2685.168676059975,0.0,0.3759633621161811,17.31730008125305,True
sample_1,3,y,270.676083547537,272.07223170565555,271.44311967943645,270.65063799907995,271.9506736937111,271.4590858470924,0.0,0.025445548457071254,17.417400121688843,True
sample_1,4,x,952.3717709584281,1298.527297266899,1157.6493482015503,923.1798114628509,1392.929554263566,1089.0936169080069,0.0,94.40225699666689,19.45276665687561,False
sample_1,4,y,860.2275303370975,882.3756377170791,869.6392902809586,845.6849365234375,883.9795448446602,868.1851309625213,0.0,14.542593813660005,19.786433458328247,False
sample_1,5,x,1637.931035082683,1775.2242876564103,1723.4905915905229,1647.9111836530828,1815.6739678160918,1734.6001889432546,0.0,40.44968015968152,19.519500017166138,False
sample_1,5,y,843.9511606169185,942.8012726653221,892.0702128083567,836.9640644991823,954.2045317192453,886.2836822544851,0.0,11.403259053923193,20.587233304977417,False
sample_1,6,x,2127.2865762098595,2223.8266774349263,2191.45148399228,2123.7178300448386,2247.049739575699,2200.730755360759,0.0,23.223062140772527,19.519500017166138,False
sample_1,6,y,834.796553974677,926.0967596489119,884.526971549171,827.6400588946732,932.2538575044218,881.1728758079281,0.0,7.156495080003765,17.283933401107788,False
sample_1,7,x,2617.61602255476,2693.857121547155,2665.1842838726157,2604.9578907271293,2698.361608082509,2671.6849895222495,0.0,12.658131827630768,17.183833360671997,False
sample_1,7,y,807.6997117051204,818.0340640389709,813.4189728909589,806.0595331966567,818.6565877384746,814.0041030517548,0.0,1.6401785084636913,17.85116672515869,False
sample_1,8,x,1049.9099930268733,1264.2198827272252,1159.5215593308842,1028.5115160442638,1303.2168259023354,1095.8406289372424,0.0,38.99694317511012,20.587233304977417,False
sample_1,8,y,1381.4555288360123,1394.5541604577147,1387.4195026310124,1367.9102783203125,1398.1889576911535,1388.2514386896855,0.0,13.545250515699763,19.686333417892456,False
sample_1,9,x,1680.7226925891084,1763.7196600354907,1726.5152213907058,1678.4753086419753,1787.0656946344207,1733.8862528407008,0.0,23.34603459892992,19.519500017166138,False
sample_1,9,y,1316.7249809014515,1393.022147348359,1355.4829287466657,1309.5727991127133,1401.5954877831282,1341.8194505534784,0.0,8.57334043476908,19.652966737747192,False
sample_1,10,x,2152.782738886231,2220.8486668633077,2193.8723756128384,2156.9071391526727,2236.149759710304,2199.757519967758,0.0,15.301092846996198,19.519500017166138,False
sample_1,10,y,1312.5531245122015,1393.0249938007164,1356.8030809537652,1307.3112649104921,1396.0868026848023,1347.903559390342,0.0,5.241859601709393,17.150466680526733,False
sample_1,11,x,2673.295435741276,2738.924335273014,2711.0563461110205,2674.5880947487412,2746.2153616396736,2713.701624815362,0.0,7.29102636665948,22.022000074386597,False
sample_1,11,y,1332.065891072044,1339.3491908804144,1335.4519833231402,1331.5417251963997,1338.67986924775,1335.0481225219621,0.0,0.5241658756442575,15.048366785049438,False
sample_1,12,x,1152.8756255745072,1155.8797187834327,1154.2641113658497,1152.1436047995915,1155.7763528041949,1154.0168697839647,0.0,0.7320207749157817,17.150466680526733,True
sample_1,12,y,1934.9820735444332,1937.5663054893823,1936.8027210346577,1935.2058935893845,1937.6149576918806,1936.787304743936,0.0,0.04865220249826052,23.189833402633667,True
sample_1,13,x,1679.7041443083256,1700.1627620767813,1689.886699148749,1677.5873922604453,1700.31754120551,1688.5102151632389,0.0,2.1167520478802544,17.283933401107788,False
sample_1,13,y,1785.155120597981,1876.7196184583656,1828.0508206167685,1783.5259067133532,1872.691507965654,1808.0068383900086,0.0,1.6292138846279158,16.616600036621094,False
sample_1,14,x,2199.4685535423,2210.4831622791494,2205.2670796338757,2199.278180386327,2210.401798642025,2204.0862136094147,0.0,0.19037315597279303,15.215199947357178,False
sample_1,14,y,1785.573674729349,1870.2425627074472,1825.9268829428293,1770.7156520820122,1870.4974410560496,1813.6090611450313,0.0,14.858022647336838,17.150466680526733,False
sample_1,15,x,2763.9916722702114,2767.044230421648,2765.843995862955,2763.85824012124,2766.9038648716155,2765.90257840201,0.0,0.1334321489712238,16.14946675300598,True
sample_1,15,y,1890.9841741617558,1893.6311814901878,1892.7328654426956,1891.3393548387096,1893.6273273195652,1892.8651330510515,0.0,0.0,14.948266744613647,True
sample_2,0,x,914.5545435107974,1312.31990778058,1163.0758674083227,897.3175155813453,1444.1423843668742,1139.2428516625182,0.0,131.82247658629421,19.419399976730347,False
sample_2,0,y,322.1567643464469,339.3283643361129,328.1431377344726,318.76751393827647,339.07011390500753,330.02200929618425,0.0,3.389250408170426,19.319299936294556,False
sample_2,1,x,1523.224296675192,1807.3866068859245,1690.4086811255484,1514.7090460540503,1908.3458464360583,1673.044827954691,0.0,100.95923955013382,19.386033296585083,False
sample_2,1,y,353.34944872835496,481.86471518987344,406.6910081670459,355.21935825906945,503.53336456238,394.15606967300704,0.0,21.668649372506536,20.553866624832153,False
sample_2,2,x,2105.4024524746196,2235.7894143813132,2184.170844806922,2100.9151666493253,2272.901151874968,2176.3450839579946,0.0,37.1117374936548,19.386033296585083,False
sample_2,2,y,301.9582198237466,413.03299922596824,344.7358763635327,302.35163653704427,454.7358665708468,330.71246352501265,0.0,41.70286734487854,19.45276665687561,False
sample_2,3,x,2682.662891712039,2686.761440219821,2685.1151751038406,2681.9288915566226,2686.7260994418093,2684.988679123659,0.0,0.7340001554161972,16.449766635894775,True
sample_2,3,y,267.9765753160282,274.9311589832662,270.9978525382914,268.80199130217284,272.10464480874316,271.43568855906597,0.0,0.0,14.948266744613647,True
sample_2,4,x,923.7700755736182,1292.6632073510457,1158.1067689088259,927.7190423610575,1380.5682502934922,1155.8664828346891,0.0,87.90504294244647,21.42140007019043,False
sample_2,4,y,861.4233548084196,885.3570789561128,869.1728911871799,846.9390632537027,883.1403675457291,871.4769520658118,0.0,14.484291554716947,20.52049994468689,False
sample_2,5,x,1640.3986594456392,1776.4101401597877,1723.5442718224822,1646.2720143840065,1822.4566962163371,1738.1716534716534,0.0,46.046556056549434,19.519500017166138,False
sample_2,5,y,843.4770923520923,950.5918422930988,891.494107795201,839.065484218473,958.4935075861682,877.7343252343252,0.0,7.901665293069414,20.553866624832153,False
sample_2,6,x,2130.5991598755104,2226.4822688906174,2191.564839674182,2122.920711254424,2247.6632958801497,2205.445257275151,0.0,21.181026989532256,19.519500017166138,False
sample_2,6,y,830.9677889981631,927.6860862848946,883.8772954006467,829.56837201958,933.3068119259409,879.4179404704297,0.0,5.620725641046306,19.35266661643982,False
sample_2,7,x,2620.6769983686786,2692.4256208119828,2665.4035423475243,2604.2086548725215,2696.649107634248,2675.1149532131126,0.0,16.468343496157104,17.150466680526733,False
sample_2,7,y,806.044190826009,818.0029030916155,812.8961421702877,805.1323555852362,818.567237405927,814.729893147071,0.0,0.9118352407728025,16.85016679763794,False
sample_2,8,x,1021.6140364952441,1248.48575389948,1159.0326882931852,1025.1602816876887,1300.696305545027,1182.5127704444271,0.0,52.21055164554696,20.15346670150757,False
sample_2,8,y,1381.0034223309215,1399.7866178161687,1386.9810399033656,1366.2550048828125,1398.488592344989,1386.7544238763483,0.0,14.748417448108967,19.45276665687561,False
sample_2,9,x,1677.441057181146,1764.9558178848743,1726.4888127686822,1674.393817031455,1783.3424596135872,1738.2691677832365,0.0,18.386641728712902,19.486133337020874,False
sample_2,9,y,1318.3817151752098,1394.0259809304675,1354.8929225756845,1311.969346997054,1398.9641419685327,1335.7290084859312,0.0,6.41236817815593,17.11710000038147,False
sample_2,10,x,2150.424945495653,2220.2439753495214,2193.8225950578967,2151.792565068291,2234.1184361788037,2201.4202838294805,0.0,13.87446082928227,19.486133337020874,False
sample_2,10,y,1313.8349204641236,1395.9793550839183,1356.0981939258138,1309.1946981669478,1396.6193216636027,1344.5641018533915,0.0,4.6402222971757965,17.150466680526733,False
sample_2,11,x,2671.8527197295634,2736.7955370683303,2711.5558542907274,2670.6148091146165,2743.747960806443,2723.803155218907,0.0,6.952423738112884,15.281933307647705,False
sample_2,11,y,1330.9609694012834,1339.2157515536433,1334.944571365037,1330.7853865804702,1338.4253894320177,1333.2944813727006,0.0,0.17558282081313337,15.015000104904175,False
sample_2,12,x,1152.6113714144283,1155.6688698906894,1154.2587773173511,1152.1701083622982,1156.0701187172763,1154.6678170028204,0.0,0.4412630521301253,17.11710000038147,True
sample_2,12,y,1932.918845830038,1939.7079607803291,1936.2525980126768,1933.1573295985058,1937.6769528882514,1936.4800821425222,0.0,0.0,14.948266744613647,True
sample_2,13,x,1680.310712062688,1700.1260606060605,1689.8446447642912,1677.6550383674846,1700.571501549864,1692.5662362505977,0.0,2.6556736952034043,17.250566720962524,False
sample_2,13,y,1787.9049577570988,1871.8587368621047,1827.4111550539724,1782.3060764023962,1869.6814473032507,1803.9441825510692,0.0,5.598881354702598,16.58323335647583,False
sample_2,14,x,2198.920112599495,2210.077683764277,2205.2376122141586,2199.05163064833,2210.571648550724,2204.894869457996,0.0,0.4939647864471226,22.288933277130127,False
sample_2,14,y,1783.4122308040216,1865.937571729789,1825.1204070763897,1770.4314707221076,1865.5393876298017,1805.738210118122,0.0,12.980760081914013,16.58323335647583,False
sample_2,15,x,2764.1353273050468,2767.1836367083806,2765.795491691956,2763.631314823885,2766.8448894279154,2765.740383375042,0.0,0.5040124811616806,16.282933473587036,True
sample_2,15,y,1889.216481628676,1895.8610052022434,1892.2382430082127,1888.9839413181144,1893.7842265367146,1892.65776596751,0.0,0.23254031056171698,16.116100072860718,True
sample_3,0,x,915.1035533254826,1314.828295274799,1163.455196327489,899.0099475678495,1442.9184036448066,1150.2623557821305,0.0,128.09010837000756,19.419399976730347,False
sample_3,0,y,322.4874674690253,338.7506574370981,328.53897408919767,317.4919875585929,338.75580132235075,329.6736875055898,0.0,4.9954799104324366,19.419399976730347,False
sample_3,1,x,1521.2483169938823,1809.6073346430908,1690.6589422738243,1514.2526853549907,1906.466640254313,1681.0859663336032,0.0,96.85930561122223,19.419399976730347,False
sample_3,1,y,352.70420112805726,473.2202423839346,407.1359360485541,351.71279000394935,502.5614548608288,402.7868575029255,0.0,29.341212476894214,20.553866863250732,False
sample_3,2,x,2105.7382343521426,2235.8202542417953,2184.2376027956393,2099.1114573785517,2271.2262682659957,2180.0547737853226,0.0,35.40601402420043,19.419399976730347,False
sample_3,2,y,304.8774327443078,402.24252787277226,345.2666704385965,301.8466313896382,454.82151731754453,337.5515572335014,0.0,52.578989444772276,19.419399976730347,False
sample_3,3,x,2682.5027094422867,2686.6219942158964,2685.0676910831894,2681.9739979461506,2686.649118142338,2685.1137020837864,0.0,0.5287114961361112,17.250566720962524,True
sample_3,3,y,270.7083658282966,272.24060664574785,271.3754733139278,270.64794315933955,272.05058019163175,271.3700311722205,0.0,0.06042266895707371,17.183833360671997,True
sample_3,4,x,925.80966063195,1287.2102045169088,1158.737623351369,929.2424234721974,1423.6822509765625,1104.754344134966,0.0,136.4720464596537,20.553866863250732,False
sample_3,4,y,861.6544949481672,885.5333096013019,869.519453828008,848.4970861147692,883.1088715485176,869.7153914237201,0.0,13.157408833397994,19.419399976730347,False
sample_3,5,x,1638.3512450281555,1773.1829947454114,1723.7798815344704,1649.4444622350313,1821.5130939386304,1737.681944782456,0.0,48.330099193218985,19.519500017166138,False
sample_3,5,y,841.2876753129572,946.7103070590248,891.8980317249825,837.5915146615465,953.7330089169204,883.7141505097212,0.0,7.02270185789564,20.553866863250732,False
sample_3,6,x,2127.736692015209,2225.034927718124,2191.7754439188457,2126.5106968322607,2251.0804851937137,2203.910905349794,0.0,26.045557475589703,19.519500017166138,False
sample_3,6,y,830.4815781602632,924.4326157936927,884.2080896669822,828.426972770396,933.232161906487,881.0805555555555,0.0,8.79954611279436,19.3526668548584,False
sample_3,7,x,2618.4487771774593,2695.5515082876805,2665.5768128593036,2607.948658672899,2700.400866415862,2673.9323648487734,0.0,10.500118504560305,17.183833360671997,False
sample_3,7,y,807.2105336613108,817.8821107983216,813.2976260995574,806.2558584656769,819.5660279007305,814.3200144655252,0.0,1.683917102408941,17.350666761398315,False
sample_3,8,x,1027.9739212771228,1252.4675437208496,1160.0021346842695,1038.0504563938773,1310.6926780633707,1120.3219645410106,0.0,58.22513434252119,19.45276665687561,False
sample_3,8,y,1380.5249016417433,1397.666413558794,1387.3268923660212,1368.4912109375,1400.4110100526568,1387.2194827541928,0.0,12.033690704243327,19.98663330078125,False
sample_3,9,x,1680.9771679859277,1764.7369609434772,1726.531773886861,1680.582349493427,1788.7031148986189,1735.7825894707753,0.0,23.966153955141635,19.519500017166138,False
sample_3,9,y,1313.0325065963061,1396.3439463540842,1355.2227456400062,1308.863290338191,1402.267668410377,1338.9034314402836,0.0,5.923722056292718,19.652966737747192,False
sample_3,10,x,2156.2002374670183,2223.3835983157282,2193.862061939881,2153.7166985942854,2237.282222222222,2200.589149209849,0.0,13.898623906493867,19.519500017166138,False
sample_3,10,y,1307.3064983930392,1397.0213584710743,1356.372372746374,1303.2997810019162,1397.5075466192736,1347.0605567805953,0.0,4.0067173911229474,17.150466680526733,False
sample_3,11,x,2678.2574866195673,2738.1336304249626,2711.908240375509,2672.371628938277,2748.323619934329,2716.7853171824067,0.0,10.189989509366569,22.022000074386597,False
sample_3,11,y,1332.851052505065,1339.3023463402194,1335.3445167717664,1332.0346156522949,1339.1136402213394,1334.554777405995,0.0,0.816436852770039,15.048366785049438,False
