H,D,number_of_terms,number_of_terms_std,selected_alpha,selected_alpha_std,validation_nmse_2d,validation_nmse_2d_std,train_nmse_x,train_nmse_x_std,test_nmse_x,test_nmse_x_std,train_nmse_y,train_nmse_y_std,test_nmse_y,test_nmse_y_std,train_nmse_2d,train_nmse_2d_std,test_nmse_2d,test_nmse_2d_std,num_train_rows,num_train_rows_std,num_test_rows,num_test_rows_std,terms_per_train_row,terms_per_train_row_std,num_samples
0,1,1.0,0.0,1.0,0.0,0.8280273373458465,0.005739495725510481,0.5406963848776474,0.012401764065799,0.2871939764202714,0.0014478751724282582,0.985166245552749,0.0004636053648526554,0.9343322018360686,0.0025880175437385023,0.6235675912315481,0.009831503867891245,0.3568591841552151,0.0028053605808931502,299.0,0.0,299.0,0.0,0.0033444816053511705,0.0,5
1,1,2.0,0.0,0.00602000002,0.0048745871373071185,0.8157680594828609,0.006223146153190789,0.5362177755217109,0.012816940793226327,0.27737220013093694,0.0015630144598141951,0.9627226227132635,0.0012753604655376457,0.9349185199023937,0.002520967753928701,0.6157398799114127,0.010321654945940185,0.34815732568303537,0.002900751962480974,299.0,0.0,299.0,0.0,0.006688963210702341,0.0,5
2,1,3.0,0.0,0.8019999999999999,0.396,0.8135428880988309,0.004274913889095385,0.5177991466427168,0.014483509452293226,0.27268433107052037,0.007124604662553571,0.9552164985021818,0.0010416603952862825,0.9347261577073283,0.0010139314718855261,0.5993501947221287,0.01181812391256928,0.34395389248043495,0.006609731900420934,299.0,0.0,299.0,0.0,0.010033444816053512,0.0,5
3,1,4.0,0.0,0.01,0.0,0.8049665318922375,0.0035838198418898237,0.5028624259011545,0.010703308109049533,0.26141985623265207,0.0019746412713429304,0.93511871334221,0.0010744024217276796,0.9354605760392497,0.0020555495398425733,0.5834542810849364,0.008519586252003076,0.3339776233076404,0.0032303195214130106,299.0,0.0,299.0,0.0,0.013377926421404682,0.0,5
4,1,5.0,0.0,0.406,0.48499896907106926,0.7883499685683676,0.0019780731562965225,0.4954771874853897,0.01743419033139433,0.2735323545642808,0.005713159143143353,0.9246718067042184,0.0030419455740787497,0.938866752704482,0.004320114666663272,0.5754991478790206,0.014475131296035235,0.3451382155559374,0.005845724705055506,299.0,0.0,299.0,0.0,0.016722408026755852,0.0,5
5,1,6.0,0.0,0.20800000000000002,0.396,0.7538015467573548,0.0034422449711582494,0.4688629934861475,0.014938255599066414,0.27288612363274656,0.005366657440920078,0.9208300915224535,0.002138062244318118,0.944893398730934,0.00294860568476191,0.5531273199812828,0.012337176851490184,0.3452161645196479,0.00553996341154784,299.0,0.0,299.0,0.0,0.020066889632107024,0.0,5
6,1,7.0,0.0,0.20800000000000002,0.396,0.7489798673453432,0.002389651283854547,0.46494107304779975,0.016787754709308843,0.2737786233290467,0.005204353683619039,0.8833592764895881,0.010090659663234488,0.9421619252794349,0.008054310627793592,0.5429502092891478,0.015385082989314085,0.3457105584726744,0.004861689937428017,299.0,0.0,299.0,0.0,0.023411371237458192,0.0,5
7,1,8.0,0.0,0.406,0.48499896907106926,0.745372930083727,0.003466201497620982,0.45352394319579686,0.01766775166956345,0.26514978653281673,0.007617291418645181,0.8781768121224671,0.0065692192728165144,0.9368432833645712,0.00918681767861925,0.5326968930533538,0.015369002841433613,0.3374297381421411,0.006888929250169142,299.0,0.0,299.0,0.0,0.026755852842809364,0.0,5
8,1,9.0,0.0,0.01,0.0,0.7389981358088035,0.004627512275426273,0.444634447033536,0.00741741626778942,0.26077129594494136,0.0025022076390074565,0.8480489050743876,0.0022648500233808325,0.9595348921892526,0.0045662719081304174,0.5198445708374881,0.006036699041309569,0.3359789589014234,0.0032503678477512456,299.0,0.0,299.0,0.0,0.030100334448160536,0.0,5
9,1,10.0,0.0,0.20800000000000002,0.396,0.737662109343789,0.0035140386821108345,0.44826276774745244,0.014427856281085937,0.2630502751114644,0.004751377221123079,0.8331812425995215,0.007122486471238787,0.9602952497970078,0.014763231289916454,0.5200245230810836,0.01293739732817057,0.33808085471561866,0.004021238044191983,299.0,0.0,299.0,0.0,0.033444816053511704,0.0,5
