sample,Q_extra,D,horizon_steps,lag_stride_frames,target_delay_frames_min,target_delay_frames_max,target_delay_set_frames,max_lag_frames,number_of_terms,status,selected_alpha,min_cv_train_rows,window_rows,terms_per_min_cv_train_row,train_nmse_x_mean,train_nmse_x_std,val_nmse_x_mean,val_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,val_nmse_y_mean,val_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,val_nmse_2d_mean,val_nmse_2d_std,train_val_gap_2d
sample_0,0,1,5,1,5,5,[5],0,1,ok,1e-10,449,599,0.0022271714922048997,0.3582931681666566,0.05281045765798591,0.47086226189952474,0.1377409725492396,0.9533366724599073,0.013165035129846379,0.968432887291802,0.03279407001279626,0.4389705282134531,0.05806635085750673,0.5495527280869589,0.14524091056312508,0.11058219987350576
sample_0,1,1,5,1,5,6,"[5, 6]",1,2,ok,1.0,448,598,0.004464285714285714,0.35054790265171254,0.05446202092508276,0.4644676239286894,0.13929613503788132,0.9417911219219248,0.009538554361677663,0.9569479497254413,0.024794086612780267,0.43065597863343225,0.0589651698196483,0.5419751823057933,0.14499769737367077,0.11131920367236109
sample_0,2,1,5,1,5,7,"[5, 6, 7]",2,3,ok,0.01,447,597,0.006711409395973154,0.3297037850080712,0.050201074281206404,0.43649975424415755,0.13611511199138634,0.9379936966923147,0.007316441020529355,0.9563933590856675,0.012661285296456675,0.41207291801922113,0.055240853871173216,0.518201598114169,0.14121168904188397,0.10612868009494786
sample_0,3,1,5,1,5,8,"[5, 6, 7, 8]",3,4,ok,0.0001,447,596,0.008948545861297539,0.3284635520358891,0.049546285835610715,0.4359245842565638,0.13563074760801172,0.9233795832136816,0.003933580127546725,0.9439799749896216,0.005497601814573807,0.40889653325766107,0.05391815999623844,0.5150886777250168,0.1383572076954077,0.1061921444673557
sample_0,4,1,5,1,5,9,"[5, 6, 7, 8, 9]",4,5,ok,0.01,446,595,0.011210762331838564,0.32569446940013747,0.048028822669581875,0.4334227088048065,0.13016508888708042,0.9194001269952433,0.0023787497553160743,0.9434134661596503,0.008514438322609133,0.40586193693117806,0.052209856213475445,0.5125434350497866,0.13308155700659463,0.10668149811860855
sample_0,5,1,5,1,5,10,"[5, 6, 7, 8, 9, 10]",5,6,ok,0.01,445,594,0.01348314606741573,0.31638032536894367,0.04515541509051147,0.42309896127901436,0.12324081059481891,0.9189391134328329,0.002670378106735721,0.9472368040168304,0.010787836522329263,0.3976063077138865,0.04992040264848064,0.5046251175219071,0.12786625364551474,0.10701880980802059
sample_0,6,1,5,1,5,11,"[5, 6, 7, 8, 9, 10, 11]",6,7,ok,0.01,444,593,0.015765765765765764,0.3159133216329222,0.04461849023369412,0.4242684811433649,0.1226058592660747,0.8986296625938466,0.009010290090796342,0.9318783659745637,0.036746281136510184,0.39431221022382407,0.047890809712788494,0.5018239715029749,0.12323255684088251,0.1075117612791508
sample_0,7,1,5,1,5,12,"[5, 6, 7, 8, 9, 10, 11, 12]",7,8,ok,0.01,444,592,0.018018018018018018,0.306208332107211,0.04271084500179223,0.4088783443347962,0.11636335426420191,0.8958488459956299,0.010783495971039649,0.9298950360453555,0.04359750099781826,0.3854139301807972,0.04609691704236652,0.48856342121281054,0.11791202358969988,0.10314949103201332
sample_0,8,1,5,1,5,13,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",8,9,ok,0.01,443,591,0.020316027088036117,0.3046554378485791,0.04285630070159695,0.4068869476385011,0.1162941891322032,0.8834963679985567,0.01042070818405457,0.9162438205142842,0.042130607598857776,0.38231432764471107,0.04569264500405972,0.4846833520128725,0.11649570923773092,0.10236902436816142
sample_0,9,1,5,1,5,14,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",9,10,ok,0.01,442,590,0.02262443438914027,0.3044880723923771,0.0429300759951207,0.40753088873133986,0.11674615738547418,0.8746419448278453,0.01564430790688042,0.9142891961945809,0.060273676065130774,0.3808536367790772,0.04492347027150465,0.4839129035091397,0.11447030116163649,0.1030592667300625
