Q_extra,D,horizon_steps,lag_stride_frames,target_delay_frames_min,target_delay_frames_max,target_delay_set_frames,status,number_of_terms,number_of_terms_std_across_samples,selected_alpha,selected_alpha_std_across_samples,min_cv_train_rows,min_cv_train_rows_std_across_samples,window_rows,window_rows_std_across_samples,terms_per_min_cv_train_row,terms_per_min_cv_train_row_std_across_samples,train_nmse_x_mean,train_nmse_x_mean_std_across_samples,val_nmse_x_mean,val_nmse_x_mean_std_across_samples,train_nmse_y_mean,train_nmse_y_mean_std_across_samples,val_nmse_y_mean,val_nmse_y_mean_std_across_samples,train_nmse_2d_mean,train_nmse_2d_mean_std_across_samples,val_nmse_2d_mean,val_nmse_2d_mean_std_across_samples,train_val_gap_2d,train_val_gap_2d_std_across_samples,val_nmse_2d_cv_std_mean,num_samples,num_ok_samples
0,1,5,1,5,5,[5],ok,1.0,0.0,2.0000079999999997e-05,3.999996000000001e-05,449.0,0.0,599.0,0.0,0.0022271714922048997,0.0,0.3678657368325381,0.005973128872945398,0.481231054208555,0.005638149506825541,0.9553587322662441,0.0016821868433043966,0.9689722852667856,0.003179715783421246,0.44872124491670773,0.006075186547337773,0.5587171358187784,0.005005801844697796,0.10999589090207065,0.0025059534462792553,0.14772371035832568,5,5
1,1,5,1,5,6,"[5, 6]",ok,2.0,0.0,1.0,0.0,448.0,0.0,598.0,0.0,0.004464285714285714,0.0,0.36026064455803525,0.0060426770379931275,0.4752091316595016,0.005809504381961954,0.9434980098965833,0.0015288092816674829,0.9574137300188108,0.0030157062780065435,0.44035859752499196,0.006033456930236731,0.5512323452145002,0.005040718206209506,0.1108737476895082,0.002478779252070725,0.14793737426439477,5,5
2,1,5,1,5,7,"[5, 6, 7]",ok,3.0,0.0,0.01,0.0,447.0,0.0,597.0,0.0,0.006711409395973154,0.0,0.33806333634582303,0.005018234166244761,0.44532500777472694,0.004657467775471269,0.9391717171023073,0.001271333672685108,0.9562712924907162,0.002636946719021642,0.4205611909747876,0.0051359075739869555,0.5258649386093065,0.004084475286564418,0.10530374763451882,0.00261628118426517,0.14255262343684488,5,5
3,1,5,1,5,8,"[5, 6, 7, 8]",ok,4.0,0.0,0.00404000002,0.004866456599868122,447.0,0.0,596.0,0.0,0.008948545861297539,0.0,0.33724566545368506,0.005382940915420193,0.4457440542391639,0.005197689862840928,0.9260661614501796,0.0018087045087464909,0.945376396629354,0.003334777670145598,0.4179487953551083,0.00551058865722917,0.5239361227919502,0.0046988435010698795,0.105987327436842,0.0023222446515724798,0.14011208626816846,5,5
4,1,5,1,5,9,"[5, 6, 7, 8, 9]",ok,5.0,0.0,0.01,0.0,446.0,0.0,595.0,0.0,0.011210762331838564,0.0,0.3342049130119465,0.005123686011476303,0.44431117974369017,0.005742505734769457,0.921335817838677,0.001473826351582681,0.9436970661114434,0.0031526581759392667,0.4144599523308846,0.005181638334534393,0.5220773959454034,0.005055228137209066,0.1076174436145187,0.0020534866505369487,0.13420673368718164,5,5
5,1,5,1,5,10,"[5, 6, 7, 8, 9, 10]",ok,6.0,0.0,0.01,0.0,445.0,0.0,594.0,0.0,0.01348314606741573,0.0,0.32430627819501634,0.004939221064561216,0.43265244391449287,0.005178225061596786,0.9206265201742516,0.0012577402336879334,0.9456843570225519,0.002231207351135947,0.4057986117444698,0.005086069694372538,0.51291483103087,0.004515747094322654,0.10711621928640014,0.002431922919633553,0.1285217524354519,5,5
6,1,5,1,5,11,"[5, 6, 7, 8, 9, 10, 11]",ok,7.0,0.0,0.01,0.0,444.0,0.0,593.0,0.0,0.015765765765765764,0.0,0.3234179757504546,0.004788569936099651,0.43300391736469745,0.004923286966280369,0.8991825690987479,0.0007515597950025315,0.9264233865384378,0.0031767565630088294,0.40186160761405365,0.004800440076768,0.5089779559742837,0.004104886131301405,0.10711634836023017,0.002359375821302992,0.12283278404373146,5,5
7,1,5,1,5,12,"[5, 6, 7, 8, 9, 10, 11, 12]",ok,8.0,0.0,0.01,0.0,444.0,0.0,592.0,0.0,0.018018018018018018,0.0,0.3129530558289601,0.004058768841710445,0.41591501060615704,0.003995436726548996,0.8953526968384914,0.0006477421408644372,0.9238204484552635,0.0031315198102002968,0.39217846985544935,0.004128548873468713,0.49421625113780554,0.003310120524142017,0.10203778128235619,0.00254537944948045,0.11631542295629846,5,5
8,1,5,1,5,13,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",ok,9.0,0.0,0.01,0.0,443.0,0.0,591.0,0.0,0.020316027088036117,0.0,0.31182609885171453,0.004366900499111636,0.41498690060031584,0.004564942461707619,0.8842217563668815,0.0007111332940756026,0.9135800505487575,0.0021244685727338456,0.3896076271472722,0.0044008611776639355,0.4915370953327298,0.0038544213434246557,0.10192946818545759,0.0021682709604112066,0.11559405460999617,5,5
9,1,5,1,5,14,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",ok,10.0,0.0,0.01,0.0,442.0,0.0,590.0,0.0,0.02262443438914027,0.0,0.31102411162404253,0.003936799973345165,0.41606013814512927,0.0047769619986303725,0.8748881371689956,0.0006529160307315879,0.9097611765209492,0.0030187660715016796,0.38738443359634206,0.0039460517145707965,0.49075128935485157,0.0038666567349682256,0.1033668557585096,0.0018580104715126462,0.1152550914250309,5,5
