sample,basis_index,basis_term,total_degree,Q_extra,max_effective_delay_Q,target_delay_frames,max_lag_frames,c_alpha_x,c_alpha_y
sample_0,-1,intercept,0,5,0,,0,1195.64404296875,1192.8927001953125
sample_0,0,P1(u[target-10]),1,5,5,10,5,-82.61837768554688,3.902442693710327
sample_0,1,P1(u[target-9]),1,5,4,9,4,103.2955551147461,15.341509819030762
sample_0,2,P1(u[target-8]),1,5,3,8,3,-34.79426956176758,7.313399314880371
sample_0,3,P1(u[target-7]),1,5,2,7,2,129.7084503173828,-60.78266525268555
sample_0,4,P1(u[target-6]),1,5,1,6,1,-247.9738006591797,24.082069396972656
sample_0,5,P1(u[target-5]),1,5,0,5,0,231.4674072265625,-0.1275053322315216
sample_1,-1,intercept,0,5,0,,0,1194.214111328125,1193.216796875
sample_1,0,P1(u[target-10]),1,5,5,10,5,-87.01158905029297,6.80251932144165
sample_1,1,P1(u[target-9]),1,5,4,9,4,113.95760345458984,11.386216163635254
sample_1,2,P1(u[target-8]),1,5,3,8,3,-51.91111755371094,7.467712879180908
sample_1,3,P1(u[target-7]),1,5,2,7,2,149.13430786132812,-59.03788375854492
sample_1,4,P1(u[target-6]),1,5,1,6,1,-259.81048583984375,23.49201011657715
sample_1,5,P1(u[target-5]),1,5,0,5,0,233.89866638183594,-0.32671961188316345
sample_2,-1,intercept,0,5,0,,0,1190.2672119140625,1191.630859375
sample_2,0,P1(u[target-10]),1,5,5,10,5,-89.38702392578125,8.748442649841309
sample_2,1,P1(u[target-9]),1,5,4,9,4,115.95521545410156,8.893317222595215
sample_2,2,P1(u[target-8]),1,5,3,8,3,-49.66688537597656,8.400444030761719
sample_2,3,P1(u[target-7]),1,5,2,7,2,147.61672973632812,-61.373348236083984
sample_2,4,P1(u[target-6]),1,5,1,6,1,-259.9061279296875,26.478553771972656
sample_2,5,P1(u[target-5]),1,5,0,5,0,233.21493530273438,-1.1273822784423828
sample_3,-1,intercept,0,5,0,,0,1191.152587890625,1191.626708984375
sample_3,0,P1(u[target-10]),1,5,5,10,5,-86.75247955322266,9.173075675964355
sample_3,1,P1(u[target-9]),1,5,4,9,4,105.16802978515625,9.364489555358887
sample_3,2,P1(u[target-8]),1,5,3,8,3,-32.52897644042969,7.683990478515625
sample_3,3,P1(u[target-7]),1,5,2,7,2,135.79800415039062,-64.79170227050781
sample_3,4,P1(u[target-6]),1,5,1,6,1,-256.1429748535156,31.279052734375
sample_3,5,P1(u[target-5]),1,5,0,5,0,233.1322021484375,-2.7999823093414307
sample_4,-1,intercept,0,5,0,,0,1191.01904296875,1191.9224853515625
sample_4,0,P1(u[target-10]),1,5,5,10,5,-88.21337890625,9.775346755981445
sample_4,1,P1(u[target-9]),1,5,4,9,4,111.71443176269531,7.939333915710449
sample_4,2,P1(u[target-8]),1,5,3,8,3,-44.24687576293945,7.55230188369751
sample_4,3,P1(u[target-7]),1,5,2,7,2,145.41993713378906,-62.263938903808594
sample_4,4,P1(u[target-6]),1,5,1,6,1,-260.55633544921875,29.749910354614258
sample_4,5,P1(u[target-5]),1,5,0,5,0,234.27056884765625,-2.7807958126068115
