sample,basis_index,basis_term,total_degree,Q_extra,max_effective_delay_Q,target_delay_frames,p_alpha_norm_sq,basis_contribution_weight_x,basis_contribution_weight_y,basis_contribution_weight_2d
sample_0,0,P1(u[target-10]),1,5,5,10,300.99383544921875,0.460279657484773,0.006751080298946112,0.4004002385072704
sample_0,1,P1(u[target-9]),1,5,4,9,300.48870849609375,0.7182940673958528,0.10416143773978703,0.6372100808759394
sample_0,2,P1(u[target-8]),1,5,3,8,300.1798400878906,0.0814156367792971,0.023646273006469692,0.07378834246659596
sample_0,3,P1(u[target-7]),1,5,2,7,299.9393615722656,1.1305267909854608,1.632057838740605,1.196743980484528
sample_0,4,P1(u[target-6]),1,5,1,6,299.7398986816406,4.129210353707214,0.25602051525806835,3.617832749775379
sample_0,5,P1(u[target-5]),1,5,0,5,299.6480712890625,3.5966819475445675,7.174816282771979e-06,3.1218126526957723
sample_1,0,P1(u[target-10]),1,5,5,10,305.07769775390625,0.5151046797517469,0.020453874166322494,0.4491224573699656
sample_1,1,P1(u[target-9]),1,5,4,9,304.58819580078125,0.8821257876708601,0.057213362015119285,0.772089466087003
sample_1,2,P1(u[target-8]),1,5,3,8,304.3250427246094,0.18288971529364567,0.02458886409390611,0.16177372427706443
sample_1,3,P1(u[target-7]),1,5,2,7,304.0704345703125,1.508204234526664,1.5355406201319166,1.5118506765292905
sample_1,4,P1(u[target-6]),1,5,1,6,303.90032958984375,4.574834169498781,0.2429948565017406,3.997003543034851
sample_1,5,P1(u[target-5]),1,5,0,5,303.807861328125,3.7066820398135545,4.6986702540849274e-05,3.212248359324501
sample_2,0,P1(u[target-10]),1,5,5,10,305.0272216796875,0.5417372123945091,0.03344896690309916,0.47347275294228425
sample_2,1,P1(u[target-9]),1,5,4,9,304.629638671875,0.9104452687312993,0.03452091785392984,0.7928063052807955
sample_2,2,P1(u[target-8]),1,5,3,8,304.380615234375,0.1668983166678527,0.03077542698964768,0.14861665155876935
sample_2,3,P1(u[target-7]),1,5,2,7,304.1449279785156,1.473169951051197,1.6414317277975723,1.495767953932333
sample_2,4,P1(u[target-6]),1,5,1,6,304.02508544921875,4.565029319910174,0.3054081006957046,3.9929508927968778
sample_2,5,P1(u[target-5]),1,5,0,5,303.95697021484375,3.6747342717106948,0.0005535248538049329,3.181282052740983
sample_3,0,P1(u[target-10]),1,5,5,10,300.97564697265625,0.4988490456828396,0.035519775685509326,0.4359690376695626
sample_3,1,P1(u[target-9]),1,5,4,9,300.6505126953125,0.7323242583996206,0.03697763003993314,0.6379563770794652
sample_3,2,P1(u[target-8]),1,5,3,8,300.3936767578125,0.07000121504154476,0.024875586424921693,0.0638770608541053
sample_3,3,P1(u[target-7]),1,5,2,7,300.181396484375,1.2191146316848103,1.7673861987363686,1.2935224508365175
sample_3,4,P1(u[target-6]),1,5,1,6,300.08111572265625,4.335883053233044,0.41177005032637876,3.8033281877284377
sample_3,5,P1(u[target-5]),1,5,0,5,300.00921630859375,3.5909811411350923,0.003298785495876704,3.1040844353150905
sample_4,0,P1(u[target-10]),1,5,5,10,302.7751770019531,0.5206295492782466,0.04095885895534212,0.4558664307133611
sample_4,1,P1(u[target-9]),1,5,4,9,302.48980712890625,0.8341976048179206,0.026992438475698356,0.7252121592848246
sample_4,2,P1(u[target-8]),1,5,3,8,302.2278747558594,0.13074929956722414,0.02440374279854738,0.1163909699031327
sample_4,3,P1(u[target-7]),1,5,2,7,302.045166015625,1.4114302680879829,1.6577090605675453,1.4446817945188215
sample_4,4,P1(u[target-6]),1,5,1,6,301.9564208984375,4.529884992476816,0.378337013115684,3.9693604504536633
sample_4,5,P1(u[target-5]),1,5,0,5,301.8965759277344,3.661282867899815,0.003304909929839785,3.167398073645929
