sample,node,dim,train_min_px,train_max_px,train_mean_px,test_min_px,test_max_px,final_test_px,final_outside_train_px,max_test_outside_train_px,max_test_outside_time_s,emphasized_node
sample_0,0,x,808.3395979084285,1166.623798981149,1033.215228937692,790.8999963740526,1266.2917410282323,1028.1135561164685,0.0,99.66794204708322,19.45276689529419,False
sample_0,0,y,176.96804302094327,183.97241419152638,180.1218037557822,176.95022805587726,182.59854933981933,179.11931626144298,0.0,0.01781496506600888,19.419400215148926,False
sample_0,1,x,1514.3086485754407,1764.5376136596203,1668.9383554644226,1513.4476786798734,1826.6386751187106,1678.4621409921672,0.0,62.10106145909026,19.45276689529419,False
sample_0,1,y,194.52234958043206,364.96144845883265,278.2751488202158,205.1775292070594,367.888347406875,252.83820432915016,0.0,2.9268989480423784,21.087733507156372,False
sample_0,2,x,2164.192986979502,2300.349261411268,2247.8659800460823,2171.874487779511,2308.9789711261574,2254.060284932789,0.0,8.629709714889486,19.486133337020874,False
sample_0,2,y,207.51296504261688,381.8776823088786,288.8087631397304,209.13066603330884,388.44630998527595,258.1786973247327,0.0,6.568627676397341,21.087733507156372,False
sample_0,3,x,2870.529738136574,2872.302295715914,2871.6202928186667,2870.707044245744,2872.248270733151,2872.058973746844,0.0,0.0,14.948266744613647,True
sample_0,3,y,175.76721906497187,176.93389364215136,176.3123897186244,175.78358165858165,176.58948558016212,175.7835868944014,0.0,0.0,14.948266744613647,True
sample_0,4,x,979.2079125462777,1226.759516684706,1132.3384336472404,1002.4688633215704,1282.1107593582888,1183.4630825116762,0.0,55.35124267358265,19.486133337020874,False
sample_0,4,y,786.4266380868322,862.5582110709476,824.3082366347286,794.8786392782478,853.1577821547324,824.3102093063483,0.0,0.0,14.948266744613647,False
sample_0,5,x,1572.7898242236245,1783.4737124658118,1697.5026491624194,1588.6415462573793,1816.2684710012345,1748.6960052693166,0.0,32.794758535422716,19.45276689529419,False
sample_0,5,y,767.1246648411203,930.3961037075748,847.1871341723551,765.4197855813057,939.0450291753826,831.8321736632261,0.0,8.648925467807885,21.087733507156372,False
sample_0,6,x,2111.026597596765,2302.855777286104,2220.61102323137,2129.8216575798097,2306.0856920370716,2262.215852735389,0.0,3.2299147509675095,19.98663353919983,False
sample_0,6,y,749.8594711984482,924.991453539303,836.4187327711526,755.9009156380787,933.6249319068268,812.012139991935,0.0,8.633478367523708,21.087733507156372,False
sample_0,7,x,2700.666368444073,2870.8179565458727,2794.3658168081956,2721.6936892240524,2865.828732086118,2827.972630620497,0.0,0.0,14.948266744613647,False
sample_0,7,y,786.0813738036204,868.7605378587284,823.4197690830606,797.2175858109981,860.6184331429027,815.6237781527008,0.0,0.0,14.948266744613647,False
sample_0,8,x,1018.6636769759449,1187.8164181396776,1119.1158532040843,1028.9835233430738,1208.1816553682986,1171.0636868612576,0.0,20.365237228621027,19.45276689529419,False
sample_0,8,y,1333.6043153887067,1401.7949971788603,1370.3165266350652,1339.2499877853857,1394.2455511485355,1370.1151084679989,0.0,0.0,14.948266744613647,False
sample_0,9,x,1586.5132705277952,1753.821742815628,1686.4462629764516,1596.4759233766854,1772.824202000953,1734.9430425027956,0.0,19.002459185324824,19.45276689529419,False
sample_0,9,y,1299.1638508084238,1452.677249664745,1371.2363995719152,1293.9199745886017,1448.8832759998609,1359.504435044142,0.0,5.243876219822141,17.150466680526733,False
sample_0,10,x,2135.289977830338,2299.623709160357,2226.2795482578153,2144.365894997933,2296.010827051013,2269.559334206413,0.0,0.0,14.948266744613647,False
sample_0,10,y,1294.7448900016418,1456.6010667569742,1372.9437648341254,1296.2782565178345,1457.580879223917,1346.8577584385957,0.0,0.9798124669428034,21.087733507156372,False
sample_0,11,x,2733.8451792533556,2888.3598998771336,2814.5636725845916,2745.6787585650945,2886.66528405986,2859.373544865927,0.0,0.0,14.948266744613647,False
